N	2gram	Medvedev_I	Komedia
1	и в	1	77
2	и не	2	47
3	в этом	2	27
4	что в	2	23
5	если бы	1	22
6	так и	1	21
7	а в	1	21
8	тем что	1	17
9	он не	2	16
10	и сам	1	16
11	и с	3	14
12	все это	1	14
13	только что	1	13
14	в них	1	13
15	того же	1	13
16	того чтобы	1	13
17	для того	1	12
18	с другой	1	12
19	по отношению	1	11
20	более чем	1	10
21	ничего не	2	10
22	в целом	1	10
23	говорить о	1	9
24	и еще	1	9
25	а также	1	9
26	отношению к	1	9
27	другой стороны	1	8
28	по поводу	1	8
29	бы в	1	8
30	что для	1	8
31	первую очередь	1	8
32	в первую	1	7
33	и тот	1	7
34	после смерти	1	7
35	тех же	1	7
36	и о	1	7
37	не слишком	1	6
38	не дает	1	6
39	это было	1	6
40	а по	1	6
41	себя в	1	5
42	никогда не	1	5
43	от нее	1	5
44	не так	1	5
45	по существу	1	5
46	и без	1	5
47	жизни и	1	5
48	не остается	1	4
49	я не	1	4
50	не случайно	1	4
51	то и	1	4
52	в основе	1	4
53	только для	1	3
54	о ней	1	3
55	от этого	1	3
56	в эту	1	3
57	а с	1	3
58	в руки	1	3
59	перед отцом	1	3
60	как о	1	3
61	и и	1	3
62	нисколько не	1	3
63	должен быть	2	3
64	стало быть	1	3
65	он с	1	3
66	вплоть до	1	3
67	и очень	1	2
68	бы искать	1	2
69	что последний	1	2
70	чтобы доказать	1	2
71	как только	1	2
72	к отцу	1	2
73	этим и	1	2
74	стали бы	1	2
75	очевидно что	1	2
76	слишком много	1	2
77	а для	1	2
78	мы стали	1	2
79	и та	1	2
80	стр и	7	2
81	бы его	1	2
82	них не	1	2
83	со всеми	1	2
84	напрасно мы	1	2
85	стороны он	1	2
86	это был	1	2
87	для него	1	2
88	того что	1	2
89	все эти	1	2
90	и со	1	2
91	бы столь	1	1
92	с жизнью	1	1
93	эпизод с	1	1
94	следующим образом	1	1
95	причина того	1	1
96	на котором	1	1
97	и чрезвычайно	1	1
98	что при	1	1
99	видит в	1	1
100	то она	1	1
101	не кто	1	1
102	человеке и	1	1
103	могло бы	1	1
104	понятий и	1	1
105	ибо и	1	1
106	оба они	2	1
107	а позднее	1	1
108	и др	1	1
109	как отец	1	1
110	преступления и	1	1
111	о творчестве	1	1
112	дает и	1	1
113	утверждает что	1	1
114	нам в	1	1
115	автор не	1	1
116	в художественном	1	1
117	в значительной	1	1
118	эти произведения	1	1
119	его цель	1	1
120	произведения и	1	1
121	свою жену	1	1
122	нее и	1	1
123	всего творчества	1	1
124	и гоголя	1	1
125	знать и	1	1
126	ненависть к	1	1
127	как смерть	1	1
128	творчестве так	1	1
129	и гоголь	1	1
130	во многом	1	1
131	жил в	1	1
132	же это	1	1
133	и ничего	1	1
134	автора и	1	1
