N	4gram	Propp_Morf	formyVre
1	в то же время	1	18
2	одно и то же	1	5
3	в то время как	3	4
4	в связи с этим	4	4
5	не может войти в	1	2
6	все более и более	1	2
7	не может быть и	1	2
8	похожи друг на друга	1	2
9	и до известной степени	1	2
10	здесь как и в	1	2
11	с этой точки зрения	1	1
12	с другой стороны так	1	1
13	в точном смысле слова	1	1
14	в целом может быть	1	1
15	как мы увидим дальше	1	1
16	в тех случаях когда	2	1
17	с другой стороны они	1	1
18	бы они ни были	1	1
19	но все же в	1	1
20	или во всяком случае	1	1
21	в этом случае он	1	1
22	в том что он	1	1
23	но это и не	1	1
24	вплоть до наших дней	1	1
25	и т д он	2	1
26	но наряду с этими	1	1
27	во всех этих случаях	1	1
28	в том что все	1	1
29	до сих пор не	1	1
30	и т д но	4	1
