N	3gram	Bakhtin_KF	EvropaiC
1	в том что	2	16
2	до сих пор	1	15
3	по отношению к	22	11
4	с точки зрения	10	8
5	на то что	1	7
6	для того чтобы	1	7
7	на самом деле	3	7
8	сих пор не	1	5
9	не может быть	11	4
10	тем не менее	2	4
11	в том случае	1	4
12	может быть и	1	4
13	вместе с тем	1	3
14	в том же	1	3
15	представляют из себя	1	3
16	в настоящее время	1	3
17	одного и того	1	3
18	не подлежит сомнению	1	3
19	то ни было	2	3
20	и то что	1	3
21	и того же	1	3
22	не может не	1	3
23	бы то ни	2	3
24	время от времени	1	2
25	в свою очередь	1	2
26	во всяком случае	1	2
27	и может быть	2	2
28	во всех этих	2	2
29	несмотря на то	1	2
30	он не может	1	2
31	а следовательно и	1	2
32	в то же	2	2
33	лишь при условии	1	2
34	совершенно иной чем	1	2
35	то же время	2	2
36	в моем сознании	2	1
37	только по отношению	2	1
38	что и для	1	1
39	и всех других	1	1
40	на задний план	1	1
41	в противоречие с	1	1
42	в данный момент	3	1
43	ее наличности в	1	1
44	если мы возьмем	1	1
45	во всех отношениях	2	1
46	это может быть	1	1
47	и в нем	2	1
48	только в том	1	1
49	все же будет	1	1
50	я тем самым	1	1
51	не в том	1	1
52	но для того	1	1
53	только в этом	1	1
54	в целом есть	1	1
55	независимо от того	1	1
56	различия между отдельными	1	1
57	именно в этой	1	1
58	я не могу	1	1
59	того что в	1	1
60	дело в том	1	1
61	о том кто	1	1
62	смысле этого слова	1	1
63	в лучшем случае	1	1
64	конечно не стоит	1	1
65	в зависимости от	1	1
66	между тем как	3	1
67	но все они	2	1
68	все остальное в	1	1
69	отношению к таким	1	1
70	как бы он	1	1
71	как бы ни	1	1
72	в разные стороны	1	1
73	не менее в	1	1
74	ввиду того что	1	1
75	тогда когда оно	1	1
76	в нем не	1	1
77	к которой он	1	1
78	же самое что	1	1
79	а не в	2	1
80	то же самое	1	1
81	и все же	1	1
82	и в ту	1	1
83	к тому что	1	1
84	жизни и культуры	1	1
85	вместо того чтобы	1	1
86	никогда не было	1	1
87	только тогда когда	1	1
88	образом и в	1	1
89	из него все	1	1
90	нет и не	1	1
91	и жизни культуры	1	1
92	пока еще не	1	1
93	в другом случае	1	1
94	в этом последнем	1	1
