N	4gram	Propp_Isto	VLabPisa
1	с одной стороны и	1	2
2	и не может быть	1	2
3	с этой точки зрения	3	1
4	может идти только о	2	1
5	и т д наконец	1	1
6	чтобы ответить на эти	1	1
7	и т д что	1	1
8	но вместе с тем	2	1
9	но с другой стороны	1	1
10	речь может идти только	2	1
11	как это происходит в	2	1
12	невозможно речь может идти	1	1
13	ответить на эти вопросы	1	1
14	а в том что	1	1
15	это одна из форм	1	1
16	с другой стороны он	2	1
17	так же как и	1	1
18	в то время как	4	1
19	и вместе с тем	2	1
20	ответ на этот вопрос	1	1
21	говорит о том что	1	1
22	и т д но	2	1
