N	2gram	Tiupa_Narr	NovoeSre
1	а не	12	17
2	не может	10	16
3	и в	19	16
4	совсем не	1	12
5	нового времени	2	12
6	и не	20	11
7	и есть	2	10
8	что в	3	9
9	истории и	2	9
10	в том	18	8
11	как не	1	8
12	жизни и	3	8
13	он не	3	8
14	в этом	17	7
15	может быть	25	7
16	не будет	3	7
17	как и	7	7
18	ни в	3	6
19	не знает	1	6
20	не в	14	6
21	лишь в	1	6
22	с его	6	6
23	но это	1	6
24	никогда не	3	6
25	и к	1	5
26	не только	32	5
27	в ней	3	5
28	истории в	3	5
29	в нем	4	5
30	с ее	3	5
31	культуры в	1	5
32	и потому	2	4
33	по своему	1	4
34	быть может	2	4
35	потому что	1	4
36	это не	2	4
37	прежде всего	4	4
38	в них	1	4
39	то что	11	4
40	не было	2	4
41	и все	2	4
42	не менее	3	4
43	не имеет	2	4
44	и для	2	4
45	о том	6	4
46	во всех	1	3
47	истории не	1	3
48	до мировой	1	3
49	и пр	1	3
50	должна быть	2	3
51	она не	2	3
52	тому как	2	3
53	в ее	3	3
54	в прошлом	3	3
55	к реальному	1	3
56	стремится к	1	3
57	подобно тому	2	3
58	не существует	3	3
59	с другой	8	3
60	в основе	5	3
61	в россии	1	3
62	сказать что	4	3
63	наряду с	2	3
64	к жизни	1	3
65	не есть	3	3
66	на власть	1	3
67	в мире	9	3
68	как в	7	3
69	жизни в	3	3
70	но и	23	3
71	это было	1	3
72	к ее	1	3
73	жизни не	1	3
74	к тому	7	3
75	еще не	7	3
76	более не	2	2
77	и от	1	2
78	в религиозном	1	2
79	это и	3	2
80	не могли	1	2
81	на протяжении	6	2
82	ли это	1	2
83	и было	1	2
84	зависит от	2	2
85	с одной	7	2
86	хотя бы	4	2
87	такого рода	7	2
88	мы не	1	2
89	живого бога	1	2
90	хотя и	3	2
91	к вечности	1	2
92	так и	9	2
93	как это	6	2
94	но она	1	2
95	одной стороны	7	2
96	не могла	1	2
97	можно было	2	2
98	ни одна	1	2
99	другой стороны	4	2
100	времени и	7	2
101	этом смысле	1	2
102	у него	4	2
103	место в	1	2
104	а в	11	2
105	в будущем	2	2
106	все время	1	2
107	когда мы	2	2
108	и даже	3	2
109	и формы	1	2
110	и с	4	2
111	по существу	2	2
112	жизни как	3	2
113	нет и	2	2
114	могут быть	3	2
115	в себе	8	2
116	том чтобы	1	2
117	и на	3	2
118	уже не	5	2
119	что все	1	2
120	времени в	2	2
121	все эти	2	2
122	есть в	2	2
123	же как	3	2
124	который в	2	2
125	одна из	3	2
126	мира и	2	2
127	роль в	2	2
128	как будто	3	2
129	но не	6	2
130	в то	3	2
131	в новом	1	2
132	том что	14	2
133	бытия в	3	2
134	так же	2	2
135	можно назвать	1	2
136	в смысле	1	2
137	себя в	5	2
138	но в	6	2
139	и т.п	8	2
140	мысли и	1	2
141	связаны с	1	2
142	к содержанию	3	2
143	в той	6	1
144	она сама	1	1
145	своего рода	12	1
146	мир не	1	1
147	в самом	1	1
148	к одному	1	1
149	нет ничего	1	1
150	всего они	1	1
151	и того	2	1
152	может иметь	1	1
153	можно сказать	5	1
154	человека в	2	1
155	то они	2	1
156	умер он	1	1
157	ночь и	1	1
158	и быть	1	1
159	до сих	1	1
160	как ни	2	1
161	и более	1	1
162	не верят	1	1
163	культура нового	1	1
164	бы он	1	1
165	в котором	1	1
166	мы переходим	1	1
167	тоже не	1	1
168	ничем не	1	1
169	что этот	1	1
170	отличие от	5	1
171	христианской культуры	1	1
172	мир в	1	1
173	возможно лишь	1	1
174	нельзя сказать	1	1
175	они не	2	1
176	из них	3	1
177	к ней	1	1
178	есть нарушение	1	1
179	все еще	1	1
180	жить в	1	1
181	и сейчас	2	1
182	который не	1	1
183	свидетельствует о	1	1
184	мы уже	1	1
185	жизни а	2	1
186	которая в	2	1
187	своей природе	1	1
188	и старые	1	1
189	без обращения	1	1
190	уже в	3	1
191	на ее	1	1
192	и про	2	1
193	может идти	1	1
194	к себе	5	1
195	в свою	3	1
196	в значительной	2	1
197	есть прежде	1	1
198	в состоянии	1	1
199	для себя	1	1
200	иного мира	1	1
201	из этих	3	1
202	том числе	6	1
203	процесс в	1	1
204	одну из	2	1
205	но во	1	1
206	но также	1	1
207	не по	1	1
208	быть не	1	1
209	этой системе	1	1
210	не быть	1	1
211	истину и	1	1
212	вступление в	1	1
213	лишь для	1	1
214	не всегда	2	1
215	он и	1	1
216	было бы	4	1
217	в сущности	3	1
218	в его	9	1
219	особое место	1	1
220	значительной степени	2	1
221	когда она	1	1
222	истории как	1	1
223	и через	1	1
224	бытия как	1	1
225	говорить о	2	1
226	не с	3	1
227	одному из	1	1
228	бытия и	1	1
229	и ему	1	1
230	как результат	1	1
231	у нас	1	1
232	и когда	2	1
233	с богом	1	1
234	не столько	4	1
235	с другими	1	1
236	часто не	1	1
237	в виду	1	1
238	есть переход	1	1
239	в мир	1	1
240	и до	2	1
241	слова а	1	1
242	только в	4	1
243	не на	2	1
244	не могут	1	1
245	есть уже	1	1
246	по своей	3	1
247	от того	1	1
248	от других	1	1
249	чего он	1	1
250	оно существует	1	1
251	было и	1	1
252	а во	3	1
253	оно не	2	1
254	что нет	2	1
255	а на	1	1
256	сами по	2	1
257	вот этот	1	1
258	но он	1	1
259	быть признана	1	1
260	перед ними	1	1
261	в этой	5	1
262	а во-вторых	1	1
263	числе и	4	1
264	человеческой жизни	1	1
265	а по	2	1
266	а также	7	1
267	веры не	1	1
268	в отличие	5	1
269	будто бы	3	1
270	и формального	1	1
271	на путь	1	1
272	оно есть	1	1
273	переход от	4	1
274	нем не	1	1
275	быть только	1	1
276	что не	4	1
277	но все	4	1
278	и культурный	1	1
279	тем что	3	1
280	есть всегда	2	1
281	и во	1	1
282	мира но	1	1
283	она неизбежно	1	1
284	истории но	1	1
285	в конце	1	1
286	это предполагает	1	1
287	как того	1	1
288	к которому	2	1
289	в своем	2	1
290	в последние	2	1
291	день был	1	1
292	переходим от	1	1
293	сих пор	1	1
294	что он	6	1
295	на себя	3	1
296	известном смысле	2	1
297	их в	1	1
298	в силу	4	1
299	он может	1	1
300	что мы	2	1
301	и никакой	2	1
