N	2gram	Voloshinov	SlovoVZh
1	не может	40	16
2	может быть	50	14
3	точки зрения	48	14
4	как бы	31	13
5	и его	33	13
6	таким образом	29	12
7	и в	32	12
8	отношению к	9	11
9	по отношению	10	11
10	в нашем	4	11
11	и не	42	10
12	так как	5	9
13	если бы	12	9
14	прежде всего	19	8
15	сказать что	7	7
16	все время	1	6
17	в ней	5	6
18	слова и	8	6
19	с помощью	11	6
20	в том	13	6
21	в процессе	31	6
22	только в	14	6
23	в нем	17	6
24	при этом	13	6
25	и др	3	5
26	можно сказать	4	5
27	что мы	1	5
28	героя и	1	5
29	хотя бы	8	5
30	должна быть	6	5
31	то же	19	5
32	к предмету	1	5
33	а не	15	5
34	в виду	2	5
35	то что	12	5
36	мы ни	4	5
37	в жизни	2	5
38	как и	19	5
39	как в	5	5
40	отнюдь не	14	5
41	том что	12	5
42	и следовательно	8	5
43	но в	13	5
44	никогда не	7	5
45	в самом	14	4
46	и к	3	4
47	высказывания как	7	4
48	в литературе	2	4
49	и на	8	4
50	свое выражение	2	4
51	не только	18	4
52	ни было	15	4
53	социального общения	15	4
54	и является	4	4
55	на самом	10	4
56	как если	6	4
57	за пределы	8	4
58	от того	4	4
59	его в	7	4
60	мы все	1	4
61	с другой	6	4
62	не в	13	4
63	дело в	1	4
64	отношение к	1	4
65	что не	4	4
66	так и	21	4
67	уже не	2	4
68	жизни и	4	4
69	в этом	27	4
70	все же	13	4
71	зависимости от	4	4
72	к нему	5	4
73	бы то	11	3
74	как к	2	3
75	и с	4	3
76	ее и	1	3
77	находит свое	1	3
78	до сих	10	3
79	со слушателем	1	3
80	и более	6	3
81	в котором	6	3
82	справедливо и	2	3
83	жизненной речи	3	3
84	жизненного высказывания	1	3
85	и по	1	3
86	и пр	31	3
87	является продуктом	3	3
88	так называемой	3	3
89	мы не	6	3
90	то ни	12	3
91	или не	1	3
92	между тем	8	3
93	для него	18	3
94	отношении к	8	3
95	с ним	1	3
96	не должна	1	3
97	того что	5	3
98	быть и	9	3
99	когда он	1	3
100	тем не	3	3
101	все это	4	3
102	отражает в	1	3
103	ни в	7	3
104	в пределах	7	3
105	конечно не	9	3
106	по себе	5	3
107	так же	10	3
108	в каком	6	3
109	социального взаимодействия	3	3
110	этой точки	1	3
111	самом деле	18	3
112	социальных оценок	1	3
113	только на	7	3
114	но для	4	3
115	в себе	5	3
116	двух направлениях	2	3
117	слово в	5	3
118	ясно что	6	3
119	все эти	8	3
120	о том	4	3
121	социальной группы	6	3
122	в своей	5	3
123	здесь не	2	3
124	не менее	5	3
125	из этого	2	3
126	в художественном	1	3
127	художественного творчества	1	3
128	и проч	1	3
129	нуждается в	4	3
130	слово так	1	3
131	да и	1	3
132	но и	17	3
133	ведь и	1	3
134	и для	15	3
135	точка зрения	8	3
136	на границе	4	3
137	и ее	4	3
138	и наконец	1	3
