N	3gram	Bakhtin_Fr	UchenyiS
1	не может быть	5	4
2	с другой стороны	1	3
3	в то же	5	3
4	то же время	5	3
5	по нашему мнению	1	3
6	в том что	6	2
7	в самом деле	1	2
8	не могут быть	2	2
9	до сих пор	7	2
10	тех или иных	1	2
11	и в частности	2	2
12	а между тем	1	2
13	в конце концов	1	2
14	в этом отношении	5	2
15	но даже и	2	2
16	он знает только	1	1
17	для него не	1	1
18	в первую очередь	1	1
19	то что было	1	1
20	имеем в виду	2	1
21	друг с другом	2	1
22	что для него	1	1
23	литературы и искусства	3	1
24	и эта позиция	1	1
25	не входит в	2	1
26	но в то	2	1
27	никогда не может	1	1
28	между тем в	1	1
29	художественное творчество и	1	1
30	большей или меньшей	7	1
31	таков прежде всего	1	1
32	с одной стороны	2	1
33	но прежде всего	3	1
34	можно сказать что	3	1
35	в значительной мере	3	1
36	на первый план	1	1
37	оно все же	1	1
38	все это в	2	1
39	или меньшей степени	7	1
40	и не только	1	1
41	на то что	1	1
42	не только в	5	1
43	и прежде всего	4	1
44	и в то	2	1
45	но это не	1	1
46	мы имеем в	1	1
47	в этом случае	1	1
48	в большей или	7	1
49	они в своей	1	1
50	в частности с	1	1
51	и у других	2	1
52	идет не о	1	1
