N	2gram	Tiupa_Vved	Myslijsy
1	потому что	7	182
2	то есть	13	142
3	и в	23	121
4	может быть	25	107
5	в том	21	103
6	то что	9	83
7	в слове	4	78
8	для нас	4	75
9	что в	6	73
10	и не	24	73
11	только в	9	72
12	не только	32	67
13	а не	31	67
14	таким образом	6	64
15	в этом	27	59
16	но и	31	59
17	том что	16	59
18	то же	8	56
19	не в	12	54
20	если бы	10	53
21	в себе	15	53
22	по себе	2	52
23	не может	14	52
24	того что	7	47
25	в сознании	5	46
26	было бы	4	45
27	в нем	9	45
28	не есть	2	42
29	как и	21	42
30	так что	1	39
31	вместе с	2	39
32	что и	6	38
33	мы не	6	38
34	при этом	43	37
35	как в	8	37
36	так и	14	37
37	что мы	2	36
38	тем что	2	33
39	и что	2	32
40	по отношению	11	30
41	а в	15	30
42	что не	2	29
43	между тем	3	29
44	но не	9	29
45	вовсе не	1	28
46	мы можем	2	28
47	для него	5	28
48	есть только	1	28
49	могут быть	5	27
50	не было	5	26
51	то и	2	26
52	отношению к	11	26
53	в то	5	24
54	с тем	1	23
55	как бы	8	23
56	того как	1	23
57	а потому	1	22
58	по мере	2	22
59	с другой	10	22
60	не имеет	3	22
61	но в	14	22
62	и потому	2	21
63	не менее	4	21
64	мысль о	2	20
65	в одном	5	20
66	это не	7	20
67	в ней	5	20
68	и как	2	19
69	но это	4	19
70	сказать что	1	19
71	с ним	3	19
72	того же	1	19
73	тем не	3	19
74	что это	2	19
75	и то	1	19
76	из этих	5	19
77	о том	7	19
78	заключает в	4	19
79	тем самым	6	19
80	в самом	6	18
81	в таком	2	18
82	для того	1	18
83	по поводу	5	18
84	не могут	1	18
85	очевидно что	2	18
86	бы не	3	18
87	для меня	1	18
88	тогда как	16	18
89	что я	2	18
90	еще не	8	18
91	точки зрения	1	17
92	крайней мере	1	17
93	со стороны	15	17
94	по крайней	1	17
95	слова и	3	17
96	заметить что	2	17
97	уже в	2	17
98	в его	9	17
99	во всяком	3	17
100	слова в	3	17
101	не можем	2	17
102	только что	1	16
103	и на	5	16
104	к тому	9	16
105	так же	2	16
106	в своем	9	16
107	а только	3	16
108	в них	4	16
109	если б	1	16
110	и наоборот	1	16
111	на то	3	16
112	в этих	5	15
113	уже не	7	15
114	с одной	9	15
115	с другими	1	15
116	и тем	3	15
117	и по	3	15
118	что он	2	15
119	стало быть	10	15
120	в свою	5	15
121	прежде всего	11	15
122	в ряду	2	15
123	тому как	3	15
124	все же	10	14
125	в котором	11	14
126	в действительности	1	14
127	свою очередь	5	14
128	то в	1	14
129	связи с	2	14
130	так сказать	2	14
131	во всех	2	14
132	столь же	3	14
133	там где	1	14
134	в истории	1	14
135	же время	4	14
136	и без	1	14
137	мы должны	1	14
138	само по	1	14
139	те же	2	13
140	например в	2	13
141	из них	1	13
142	что все	1	13
143	и все	8	13
144	не следует	3	13
145	том смысле	1	13
146	зависит от	3	13
147	и его	9	13
148	другой стороны	3	12
149	более или	2	12
150	мысли о	1	12
151	никогда не	6	12
152	хотя и	10	12
153	быть только	2	12
154	в чем	2	12
155	оно не	2	12
156	все остальные	1	12
157	всяком случае	3	12
158	что же	6	12
159	себе представить	1	12
160	относится к	1	12
161	друг друга	1	12
162	только потому	1	12
163	что такое	23	12
164	все это	3	12
165	есть в	2	12
166	или менее	2	12
167	тем более	3	12
168	как мы	5	12
169	что на	4	12
170	все что	3	11
171	и если	1	11
172	в первом	3	11
173	которые мы	1	11
174	только на	2	11
175	и это	2	11
176	к нему	2	11
177	его в	1	11
178	и притом	3	11
179	подобно тому	3	11
180	в силу	2	11
181	речи и	1	11
182	мы видели	3	11
183	сами по	1	11
184	того чтобы	2	11
185	быть не	4	11
186	той же	3	11
187	с нею	1	11
188	что для	2	11
189	и вообще	1	11
190	к одному	2	11
191	и только	2	11
192	и их	1	11
193	указывает на	2	11
194	же в	3	11
195	и с	2	10
196	хотя бы	2	10
197	одной стороны	9	10
198	одной и	1	10
199	представить себе	2	10
200	мы видим	1	10
201	и мы	1	10
202	не от	1	10
203	что как	1	10
204	бы в	4	10
205	если же	1	10
206	и от	3	10
207	и есть	2	10
208	бы быть	1	10
209	он не	6	10
210	том как	4	10
211	если мы	1	10
212	тем же	1	10
213	и для	8	10
214	образ и	1	10
215	так в	5	10
216	и понимания	3	10
217	между прочим	1	10
218	только по	1	10
219	тому что	2	10
220	и того	3	9
