N	3gram	Tiupa_Narr	VLabPisa
1	и т д	1	16
2	в этом отношении	5	14
3	и т п	2	9
4	не может быть	6	8
5	с другой стороны	1	8
6	по отношению к	5	7
7	более или менее	2	6
8	в том что	11	5
9	в конечном счете	4	5
10	не следует понимать	1	5
11	в зависимости от	3	5
12	в то же	7	5
13	то же время	7	5
14	можно сказать что	5	4
15	в связи с	3	4
16	к тому что	4	4
17	большей или меньшей	1	3
18	для того чтобы	4	3
19	о том что	3	3
20	подобно тому как	4	3
21	и в то	2	3
22	как это делает	1	3
23	одной стороны и	1	2
24	которая не может	2	2
25	во всяком случае	2	2
26	по крайней мере	1	2
27	в результате чего	1	2
28	и в другом	1	2
29	во всех его	1	2
30	этой точки зрения	1	2
31	следует иметь в	1	2
32	в этом процессе	1	2
33	в том числе	1	2
34	нет никаких оснований	1	2
35	бы не было	1	2
36	не в том	1	2
37	в этом и	3	2
38	в большей или	1	2
39	в противном случае	1	2
40	до сих пор	3	2
41	не только не	2	2
42	иметь в виду	1	2
43	том числе и	1	2
44	что все эти	1	2
45	не только в	12	2
46	из них не	1	2
47	не может не	1	2
48	в частности в	2	2
49	в конечном итоге	1	2
50	только то что	1	2
51	с одной стороны	5	2
52	можно было бы	1	2
53	и не может	3	2
54	между ними не	1	1
55	так же как	1	1
56	это то что	1	1
57	том как он	1	1
58	войны и мира	4	1
59	систему персонажей и	1	1
60	в той или	1	1
61	но то же	1	1
62	в свою очередь	2	1
63	качестве одной из	1	1
64	того или иного	3	1
65	той или иной	6	1
66	в сумасшедшем доме	2	1
67	достоевского и толстого	1	1
68	с другой в	1	1
69	т п все	1	1
70	в качестве одной	1	1
71	реальной действительности как	1	1
72	на то что	2	1
73	но и в	4	1
74	одной из этих	1	1
75	сумасшедшем доме или	2	1
76	в саду и	1	1
77	в том смысле	1	1
78	в этом смысле	1	1
79	как это было	1	1
80	по сравнению с	1	1
81	его собственному признанию	1	1
82	в том случае	1	1
83	с большей или	1	1
84	для проникновения в	1	1
85	то время как	1	1
86	в которой он	1	1
87	заключает в себе	2	1
88	том или ином	1	1
89	хотя бы его	1	1
90	с этой точки	1	1
91	в самом деле	3	1
92	же как это	1	1
93	в качестве материала	1	1
94	как один из	1	1
95	и так или	1	1
96	таким образом для	1	1
97	между тем это	1	1
98	не отличается от	1	1
99	далеко не всегда	1	1
100	в то время	1	1
101	у него еще	1	1
102	и то же	2	1
103	на этот вопрос	1	1
104	из которых он	1	1
105	в таком случае	1	1
106	следует смешивать с	1	1
107	так или иначе	1	1
108	что один из	1	1
109	хотя и не	2	1
110	сами по себе	2	1
111	что для него	1	1
112	прежде всего следует	1	1
113	а порой и	1	1
114	и в конечном	1	1
115	ни одна из	1	1
116	следует подчеркнуть что	2	1
117	как это обычно	1	1
118	них не может	1	1
119	именно в этом	1	1
120	как и все	1	1
121	ответ на этот	1	1
122	одно и то	2	1
123	об отсутствии у	1	1
124	бросается в глаза	1	1
125	и не по	1	1
126	по аналогии с	1	1
127	не подлежит сомнению	1	1
128	еще в году	1	1
129	по его собственному	1	1
130	видел во сне	2	1
131	в соответствии с	7	1
132	в данном случае	12	1
133	в том или	1	1
134	противном случае он	1	1
135	он и не	1	1
136	а в том	2	1
137	к тому же	8	1
138	в ней не	1	1
139	на одном полюсе	1	1
140	чем иным как	2	1
141	же как и	1	1
142	как если бы	2	1
143	не может обойтись	1	1
144	об этом свидетельствует	1	1
145	то же самое	3	1
146	том случае если	1	1
147	сознании а не	1	1
148	по его мнению	1	1
149	но все же	1	1
150	одна из них	1	1
151	не следует смешивать	1	1
152	точки зрения на	1	1
153	на протяжении жизни	1	1
154	можно свести к	1	1
155	сад и в	1	1
156	имеем дело с	4	1
157	мы имеем дело	4	1
158	но с другой	1	1
159	может быть и	1	1
