N	4gram	Vygotskiy_	UchenyiS
1	бы то ни было	1	3
2	в то же время	2	3
3	в искусстве нет содержания	1	2
4	о принципах построения литературной	1	1
5	принципах построения литературной науки	1	1
6	таким образом художественное произведение	1	1
7	с другой стороны в	1	1
8	изучения литературы а о	1	1
9	то же самое что	2	1
10	а о принципах построения	1	1
11	методах изучения литературы а	1	1
12	никогда не может быть	2	1
13	идет не о методах	1	1
14	литературы а о принципах	1	1
15	вопрос идет не о	1	1
16	не в том что	1	1
17	о методах изучения литературы	1	1
18	которое мы получаем от	1	1
19	и в конце концов	1	1
20	не о методах изучения	1	1
21	в том что она	4	1
22	а между тем в	1	1
