N	2gram	Losev_Dial	Sovremen
1	не может	16	17
2	может быть	30	12
3	точки зрения	25	12
4	таким образом	5	11
5	мы не	1	9
6	в каждом	4	8
7	в этом	18	7
8	и в	35	7
9	не можем	1	7
10	мы можем	5	6
11	в результате	2	6
12	каждый раз	1	6
13	только одна	1	6
14	как и	10	6
15	ничего не	19	6
16	и не	51	6
17	с точки	18	5
18	прежде всего	14	5
19	что же	5	5
20	все эти	4	5
21	и наконец	1	5
22	в дальнейшем	6	4
23	а в	8	4
24	так как	24	4
25	вопрос о	3	4
26	это не	18	4
27	не только	26	4
28	мы должны	6	4
29	в развитии	1	4
30	как бы	19	4
31	нет и	2	4
32	если мы	3	4
33	в зависимости	2	4
34	их в	2	4
35	жизни и	9	4
36	вместе с	3	4
37	в целом	1	4
38	же это	6	4
39	в том	20	4
40	зависимости от	2	4
41	из них	5	4
42	точку зрения	3	4
43	и к	8	3
44	и потому	6	3
45	и мы	8	3
46	с самого	2	3
47	когда мы	3	3
48	уже в	5	3
49	то же	21	3
50	при этом	2	3
51	мы получаем	4	3
52	не в	12	3
53	а не	24	3
54	в системе	2	3
55	для нас	1	3
56	все это	14	3
57	мы получим	1	3
58	всякой науки	1	3
59	как он	5	3
60	в одном	4	3
61	а все	1	3
62	самого начала	2	3
63	в конце	5	3
64	ведь это	3	3
65	в наших	1	3
66	было бы	14	3
67	в этой	3	3
68	и все	11	3
69	мы называем	1	3
70	в себе	23	3
71	следующим образом	1	3
72	ясно что	11	3
73	что она	18	3
74	он может	3	3
75	одна из	1	3
76	состоит из	3	3
77	все же	9	3
78	при таком	1	3
79	в области	2	3
80	может не	1	3
81	отличается от	3	3
82	отнюдь не	13	3
83	в нем	25	3
84	но мы	3	3
85	но в	8	3
86	еще не	4	3
87	с этим	5	2
88	что в	19	2
89	этих двух	1	2
90	тем не	3	2
91	в самом	6	2
92	дает нам	2	2
93	совершенно не	13	2
94	мы видим	6	2
95	значение в	1	2
96	каждая из	1	2
97	и что	17	2
98	и пространства	2	2
99	отличие от	1	2
100	друг с	2	2
101	ее на	2	2
102	и пр	7	2
103	то и	3	2
104	с одной	4	2
105	принципиально не	1	2
106	это за	5	2
107	из этих	2	2
108	в его	4	2
109	во всяком	5	2
110	не будем	1	2
111	мы знаем	1	2
112	не дает	1	2
113	в которую	1	2
114	еще более	3	2
115	только так	1	2
116	что это	21	2
117	или же	1	2
118	быть и	7	2
119	только одну	1	2
120	из которых	1	2
121	только один	2	2
122	что такое	13	2
123	может иметь	6	2
124	и займемся	1	2
125	если же	2	2
126	говорить о	9	2
127	на его	1	2
128	в науке	3	2
129	все те	1	2
130	представлять себе	2	2
131	в живом	1	2
132	на их	1	2
133	у него	2	2
134	не могут	4	2
135	в виде	2	2
136	со всеми	2	2
137	а на	1	2
138	вне времени	1	2
139	и даже	23	2
140	разделение на	1	2
141	как известно	3	2
142	говорим о	1	2
143	самом деле	6	2
144	в которой	3	2
145	но все	5	2
146	к чему	1	2
147	же самое	3	2
148	ли оно	2	2
149	который как	1	2
150	возможность и	1	2
151	как мы	5	2
152	она может	1	2
153	тем же	3	2
154	и во	1	2
155	той же	1	2
156	могут быть	6	2
157	в таком	4	2
158	уже не	3	2
159	не знаем	1	2
160	и есть	20	2
161	и они	3	2
162	что все	2	2
163	или иной	4	2
164	и именно	1	2
165	такой же	2	2
166	говорить об	1	2
167	на этом	4	2
168	не менее	5	2
169	так сказать	1	2
170	приводит к	1	2
171	и по	5	2
172	времени и	10	2
173	своего предмета	2	2
174	форма в	1	2
175	с другом	2	2
176	свою собственную	2	2
177	из одного	1	2
178	в один	3	2
179	знаем что	2	2
180	тот же	1	2
181	жизни мы	1	2
182	мы с	1	2
183	всяком случае	3	2
184	же просто	2	1
185	жизни но	1	1
186	во всех	3	1
187	все они	2	1
188	только одно	1	1
189	та самая	1	1
190	которые в	1	1
191	совершенно иными	1	1
192	этого и	1	1
193	к которому	1	1
194	что один	1	1
195	это и	6	1
196	b далее	1	1
197	его и	1	1
198	только не	2	1
199	их основании	1	1
200	стать в	1	1
201	а потому	3	1
202	то он	2	1
203	и все-таки	3	1
204	но как	7	1
205	и живой	1	1
206	то они	1	1
207	современной нам	1	1
208	чем же	1	1
209	всего необходимо	2	1
210	не является	3	1
211	в данном	5	1
212	это конечно	5	1
213	до сих	4	1
214	только к	2	1
215	все его	3	1
216	при условии	3	1
217	принадлежит только	1	1
218	еще раз	2	1
219	и более	7	1
220	та же	6	1
221	по преимуществу	1	1
222	вытекает из	1	1
223	и иначе	1	1
224	быть действительно	1	1
225	всеми ее	1	1
226	жизнь человека	1	1
227	от его	1	1
228	есть такой	1	1
229	что иное	4	1
230	оно конечно	1	1
231	жизни вот	1	1
232	с жизнью	1	1
233	данном случае	1	1
234	в очень	3	1
235	ли это	4	1
236	связи с	3	1
237	здесь нет	1	1
238	раз и	2	1
239	нового периода	1	1
240	живое существо	2	1
241	если в	5	1
242	на язык	1	1
243	если понимать	1	1
244	указать на	1	1
245	это последнее	1	1
246	должно быть	7	1
247	мы уже	8	1
248	это как	3	1
249	несколько слов	1	1
250	общего и	1	1
251	человек и	2	1
252	в общий	1	1
253	почти не	3	1
254	для ее	1	1
255	его с	6	1
256	идет о	1	1
257	она не	10	1
258	да еще	1	1
259	ним и	1	1
260	ровно ничего	5	1
261	что уже	3	1
262	явлений жизни	1	1
263	одной стороны	3	1
264	и ни	7	1
265	на другой	1	1
266	это то	1	1
267	она всегда	1	1
268	ничто не	3	1
269	одна и	5	1
270	мы имеем	4	1
271	и у	2	1
272	быть в	5	1
273	в другом	6	1
274	не стремится	1	1
275	совсем не	1	1
276	потом и	1	1
277	несмотря на	12	1
278	с тою	1	1
279	это только	3	1
280	том как	1	1
281	мы всегда	2	1
282	не быть	3	1
283	в ней	4	1
284	на ней	1	1
285	ни было	2	1
286	что эта	5	1
287	своими собственными	1	1
288	этот был	1	1
289	окажется такой	1	1
290	они одинаково	1	1
291	это значит	18	1
292	формы с	1	1
293	хотя и	4	1
294	с другой	10	1
295	и тогда	4	1
296	а это	2	1
297	с ним	9	1
298	она уже	1	1
299	это уже	2	1
300	он не	5	1
301	кроме того	2	1
302	же необходимо	1	1
303	и из	6	1
304	и той	1	1
305	никакому сомнению	1	1
306	не соответствует	1	1
307	будет ли	2	1
308	веществ а	1	1
309	одной и	1	1
310	развития и	2	1
311	не будет	2	1
312	предмета ни	1	1
313	что с	2	1
314	между двумя	1	1
315	те или	1	1
316	мы в	2	1
317	как у	3	1
318	и вся	1	1
319	эта сторона	1	1
320	только на	3	1
321	но они	2	1
322	пока не	2	1
323	меньше и	1	1
324	и их	5	1
325	или иные	1	1
326	и всегда	1	1
327	элементов а	1	1
328	нужно сказать	1	1
329	остановиться на	1	1
330	все что	2	1
331	не приходится	1	1
332	и та	8	1
333	науке и	2	1
334	для своего	3	1
335	xix в	1	1
336	и при	3	1
337	совершенно невозможно	2	1
338	это или	2	1
339	на самом	5	1
340	одному и	1	1
341	здесь в	3	1
342	только тот	1	1
343	для них	1	1
344	можно было	5	1
345	и должно	3	1
346	и наиболее	1	1
347	следовательно нельзя	2	1
348	законов природы	1	1
349	ни в	20	1
350	от другого	1	1
351	но только	6	1
352	новое время	1	1
353	и от	5	1
354	мира мы	1	1
355	факт что	1	1
356	выбор между	2	1
357	еще в	2	1
358	кто же	2	1
359	говорить что	2	1
360	стороны и	4	1
361	конечно не	9	1
362	и ничего	1	1
363	весь мир	2	1
364	и само	1	1
365	но что	10	1
366	переходит из	1	1
367	только в	7	1
368	вообще на	2	1
369	которая не	2	1
370	раз он	1	1
371	все равно	7	1
372	различия между	3	1
373	же время	9	1
374	и может	7	1
375	так же	6	1
376	его в	3	1
377	собственно и	1	1
378	ведь если	1	1
379	к живой	1	1
380	в обоих	1	1
381	явления то	1	1
382	или как	2	1
383	себе в	1	1
384	всегда будет	1	1
385	в будущем	1	1
386	в своих	1	1
387	не вытекает	1	1
388	наконец мы	2	1
389	не было	7	1
390	как например	2	1
391	без всяких	2	1
392	наука не	10	1
393	один из	3	1
394	всегда и	4	1
395	в духе	1	1
396	силу и	1	1
397	на это	1	1
398	не более	1	1
399	если бы	12	1
400	не знает	2	1
401	или в	2	1
402	а о	2	1
403	пополам и	2	1
404	в гуще	1	1
405	этого не	1	1
406	можно говорить	2	1
407	очень мало	2	1
408	ничего общего	4	1
409	равно как	1	1
410	ни о	5	1
411	к одному	1	1
412	и еще	4	1
413	их и	1	1
414	как его	1	1
415	может ли	1	1
416	понятия и	1	1
417	в эту	1	1
418	и планомерности	1	1
419	мы говорим	6	1
420	но эта	4	1
421	теперь мы	1	1
422	дело в	1	1
423	крайней мере	11	1
424	во многом	1	1
425	сами по	4	1
426	одного из	1	1
427	природы и	2	1
428	же как	3	1
429	научного знания	1	1
430	только такой	1	1
431	по существу	2	1
432	сказать что	19	1
433	и эта	3	1
434	форму и	2	1
435	быть только	3	1
436	в ту	1	1
437	почему и	1	1
438	мыслить себе	1	1
439	допустим что	1	1
440	но для	2	1
441	организма но	1	1
442	xviii века	1	1
443	именно в	4	1
444	ее отдельных	1	1
445	уже на	1	1
446	метафизическое построение	3	1
447	что наш	1	1
448	и действительно	1	1
449	такое же	1	1
450	законов и	1	1
451	и до	2	1
452	времени не	1	1
453	представление о	1	1
454	мы это	1	1
455	и чисто	1	1
456	в основу	1	1
457	как нет	1	1
458	бы все	2	1
459	физика и	2	1
460	для науки	3	1
461	этого можно	1	1
462	формы или	1	1
463	более и	2	1
464	случае не	4	1
465	в своем	7	1
466	плоскость в	1	1
467	общего не	1	1
468	в корне	2	1
469	она и	2	1
470	то чем	1	1
471	уже знаем	4	1
472	развития наука	1	1
473	мы ее	1	1
474	же путем	2	1
475	но ведь	2	1
476	этом смысле	4	1
477	может оказаться	2	1
478	на поверхности	1	1
479	в связи	3	1
480	в какой	3	1
481	не важно	2	1
482	между ними	1	1
483	мы будем	2	1
484	конечно совершенно	1	1
485	во всей	1	1
486	может стать	1	1
487	может совершенно	1	1
488	я мог	2	1
489	же в	2	1
490	это что	2	1
491	том что	18	1
492	и органами	1	1
493	такой вопрос	2	1
494	обоих случаях	2	1
495	животный организм	1	1
496	организм но	1	1
497	своему существу	1	1
498	в одинаковой	1	1
499	в мире	3	1
500	всеми его	1	1
501	можем сказать	3	1
502	это просто	1	1
503	дома и	1	1
504	жизни в	1	1
505	но не	9	1
506	так в	1	1
507	нельзя сказать	4	1
508	нет нужды	1	1
509	но если	6	1
510	они не	3	1
511	правда не	1	1
512	по себе	39	1
513	процесса и	1	1
514	явлений и	3	1
515	он сам	6	1
516	базируется на	1	1
517	оно может	1	1
518	не имеет	15	1
519	в природе	1	1
520	и могут	1	1
521	расходятся между	1	1
522	к этому	2	1
523	бы ее	1	1
524	в такой	1	1
525	все более	1	1
526	там где	1	1
527	такой механизм	1	1
528	и значит	4	1
529	в то	10	1
530	и только	5	1
531	один и	1	1
532	эти качества	1	1
533	значит что	25	1
534	мы имели	1	1
535	по его	1	1
536	другое дело	1	1
537	является ли	1	1
538	ли он	1	1
539	просто не	2	1
540	это совершенно	1	1
541	только и	5	1
542	и следовательно	7	1
543	или нет	6	1
544	но это	12	1
545	для чего	2	1
546	независимо от	2	1
547	когда в	1	1
548	на различные	1	1
549	оно имеет	1	1
550	но уже	3	1
551	и для	2	1
552	есть то	2	1
553	природой и	1	1
554	вопрос и	1	1
555	зрения цели	1	1
556	не что	4	1
557	и это	6	1
558	точка зрения	3	1
559	того же	1	1
560	сказать несколько	1	1
561	все время	4	1
562	нет в	1	1
563	и если	5	1
564	только о	3	1
565	должен быть	2	1
566	он с	2	1
567	и его	6	1
568	жизни не	1	1
569	уже совершенно	1	1
570	и становится	2	1
571	которых нет	1	1
572	вовсе не	19	1
573	мере в	3	1
574	и свою	1	1
575	жизни где	1	1
576	о том	8	1
577	сих пор	4	1
578	есть не	8	1
579	и вообще	10	1
580	ним или	1	1
581	мысли в	2	1
582	по крайней	11	1
583	два организма	1	1
584	иное как	4	1
585	в новое	1	1
586	без помощи	1	1
587	современная наука	3	1
588	нечто совсем	2	1
589	зрения и	2	1
590	и нет	2	1
591	или другой	7	1
592	к другому	1	1
593	своего развития	2	1
594	но конечно	2	1
595	человека и	2	1
596	к нему	12	1
597	никогда не	18	1
598	той или	11	1
599	иной науки	1	1
600	на них	1	1
601	а потом	9	1
