1	до сих пор не	3	5
2	отличаются друг от друга	1	3
3	заключается в том что	1	3
4	совершенно так же как	8	3
5	о которых идет речь	1	3
6	бы то ни было	3	3
7	несмотря на то что	1	2
8	но вместе с тем	8	2
9	в то же время	1	2
10	как бы то ни	1	2
11	указывают на то что	2	2
12	что в данном случае	2	1
13	мы видели что при	1	1
14	надо иметь в виду	1	1
15	следить за тем чтобы	1	1
16	в том что они	3	1
17	как мы видели выше	3	1
18	все же никогда не	1	1
19	эти примеры показывают что	2	1
20	не говоря уже о	1	1
21	состоит в том что	4	1
22	тем не менее в	1	1
23	только по отношению к	1	1
24	но с другой стороны	1	1
25	мы уже знаем что	9	1
26	одно и то же	2	1
27	стоит в связи с	2	1
28	на первый взгляд кажется	1	1
29	на все эти вопросы	1	1
30	и так или иначе	1	1
31	на более высокой ступени	1	1
32	если бы нам удалось	1	1
33	очень много но все	1	1
34	образом мы видим что	7	1
35	мысль о том что	1	1
36	на вопрос поставленный в	1	1
37	но мы знаем что	3	1
38	вместе с тем и	1	1
39	приводит к тому что	1	1
40	так же как при	1	1
41	в тех случаях когда	10	1
42	невыгодное положение по сравнению	1	1
43	и если бы при	1	1
44	в том числе и	2	1
45	в том что он	2	1
46	которые не находят себе	1	1
47	говоря уже о том	1	1
48	это может быть и	1	1
49	в более позднее время	1	1
50	в этом случае мы	3	1
51	нами до сих пор	1	1
52	выше мы видели что	7	1
53	друг на друга что	1	1
54	в то время как	13	1
55	а на самом деле	1	1
56	и не может быть	2	1
57	а в том что	1	1
58	много но все же	1	1
59	то же самое что	4	1
60	дело в том что	2	1
61	таким образом мы видим	7	1
62	с этой точки зрения	6	1
63	первый взгляд кажется что	1	1
64	таким образом оказывается что	1	1
65	уже о том что	1	1
66	одной и той же	2	1
67	не только по отношению	1	1
