N	2gram	Tiupa_Narr	RusskieA
1	и в	19	79
2	в том	18	64
3	том что	14	59
4	что в	3	57
5	не только	32	41
6	в этом	17	33
7	состоит в	13	32
8	как бы	4	31
9	но и	23	31
10	как и	7	28
11	и на	3	28
12	может быть	25	28
13	одна из	3	24
14	о том	6	23
15	при этом	9	22
16	в поле	1	22
17	там же	1	20
18	это не	2	20
19	а в	11	20
20	как мы	3	20
21	из них	3	19
22	представляют собой	2	18
23	таким образом	1	17
24	то что	11	17
25	об этом	1	17
26	потому что	1	17
27	мы не	1	16
28	будто бы	3	15
29	один из	3	15
30	в них	1	14
31	и с	4	14
32	не менее	3	14
33	тем не	3	14
34	как это	6	14
35	мы видели	1	14
36	и не	20	14
37	для нас	1	14
38	у нас	1	14
39	уже не	5	13
40	и по	1	13
41	как в	7	13
42	в которых	1	13
43	еще не	7	13
44	не может	10	13
45	тем что	3	12
46	между собой	2	12
47	мы имеем	2	12
48	мы увидим	1	11
49	не имеет	2	11
50	но это	1	11
51	а на	1	11
52	далеко не	5	11
53	что на	2	11
54	все же	7	10
55	представляет собой	13	10
56	на могилах	1	10
57	том чтобы	1	10
58	его в	2	10
59	между тем	3	10
60	что и	1	10
61	так и	9	10
62	или в	2	10
63	а также	7	10
64	по существу	2	10
65	то же	4	9
66	о чем	2	9
67	что они	3	9
68	к жизни	1	9
69	и все	2	9
70	данном случае	4	9
71	том же	1	9
72	но в	6	9
73	но не	6	9
74	одно из	2	8
75	что по	2	8
76	так же	2	8
77	связи с	4	8
78	на себя	3	8
79	во всех	1	8
80	что это	3	8
81	подобно тому	2	8
82	их в	1	8
83	в россии	1	8
84	того что	2	8
85	в данном	5	8
86	не все	5	8
87	как уже	1	8
88	тому как	2	8
89	же в	4	8
90	в это	1	7
91	в своем	2	7
92	на них	1	7
93	к нему	5	7
94	не в	14	7
95	а с	3	7
96	было бы	4	7
97	только в	4	7
98	с этого	1	7
99	из этих	3	7
100	а не	12	7
101	начиная с	1	7
102	ничего не	2	7
103	иногда и	1	7
104	и как	5	7
105	как будто	3	7
106	в году	1	6
107	же как	3	6
108	к тому	7	6
109	что этот	1	6
110	не всегда	2	6
111	в качестве	21	6
112	в разные	1	6
113	в таком	2	6
114	на земле	1	6
115	и у	1	6
116	на этом	1	6
117	в этой	5	6
118	в нем	4	6
119	должен был	1	6
120	с ними	1	6
121	приводит к	2	6
122	и более	1	6
123	по домам	1	6
124	и пр	1	6
125	в первый	1	6
126	не будем	1	6
127	в их	1	6
128	все эти	2	6
129	а иногда	2	6
130	связаны с	1	6
131	она не	2	6
132	но она	1	6
133	и к	1	5
134	например в	2	5
135	после обеда	1	5
136	тогда как	12	5
137	входит в	1	5
138	с другой	8	5
139	как правило	4	5
140	по поводу	1	5
141	не было	2	5
142	в связи	2	5
143	западной европе	1	5
144	мы уже	1	5
145	или же	1	5
146	в тех	1	5
147	можно было	2	5
148	и др	2	5
149	в то	3	5
150	прежде всего	4	5
151	в особенности	4	5
152	с ним	1	5
153	что он	6	5
154	то и	1	5
155	в свою	3	5
156	к себе	5	5
157	и для	2	5
158	тот же	1	5
159	в его	9	5
160	на самом	1	5
161	или даже	2	5
162	и потому	2	5
163	отнюдь не	5	5
164	не с	3	5
165	в западной	1	5
166	их на	1	5
167	в целом	1	5
168	вплоть до	2	5
169	не столько	4	4
170	этого момента	1	4
171	как они	1	4
172	но все	4	4
173	именно в	6	4
174	на руси	1	4
175	некоторые из	1	4
176	в котором	1	4
177	при рассмотрении	1	4
178	не что	2	4
179	в отличие	5	4
180	под названием	1	4
181	во всей	2	4
182	что у	2	4
183	что иное	2	4
184	несмотря на	2	4
185	но он	1	4
186	а за	1	4
187	которое в	1	4
188	здесь мы	1	4
189	себя внимание	3	4
190	могут быть	3	4
191	и от	1	4
192	полагая что	1	4
193	своего рода	12	4
194	и здесь	1	4
195	та же	2	4
196	они и	2	4
197	если в	3	4
198	и при	1	4
199	не на	2	4
200	в основе	5	4
201	и до	2	4
202	и там	1	4
203	переход от	4	4
204	на две	1	4
205	этого слова	2	4
206	и после	2	4
207	уже в	3	4
208	его и	1	4
209	по своему	1	4
210	отличие от	5	4
211	в ней	3	4
212	дело не	1	4
213	по всей	2	4
214	к ней	1	4
215	и ее	2	4
216	по полю	2	4
217	и тогда	1	4
218	таким же	1	4
219	иное как	2	4
220	что один	1	3
221	совершенно очевидно	2	3
222	говорит о	2	3
223	в какой	2	3
224	в виду	1	3
225	церковь и	1	3
226	связь с	1	3
227	более или	2	3
228	есть в	2	3
229	детей и	1	3
230	имеет место	4	3
231	а именно	3	3
232	как только	1	3
233	на первый	2	3
234	от этого	1	3
235	обращает на	3	3
236	на природу	1	3
237	восходит к	3	3
238	не имеем	1	3
239	в различных	1	3
240	по отношению	7	3
241	и молодые	1	3
242	свою очередь	3	3
243	что все	1	3
244	точки зрения	10	3
245	что именно	2	3
246	именно с	1	3
247	никогда не	3	3
248	с одной	7	3
249	на него	3	3
250	хотя и	3	3
251	в ее	3	3
252	и через	1	3
253	тому же	5	3
254	очевидно что	1	3
255	в области	2	3
256	сих пор	1	3
257	существенного значения	1	3
258	в русской	1	3
259	на другой	2	3
260	совсем не	1	3
261	в форме	5	3
262	с таким	1	3
263	другой день	2	3
264	умирающего и	1	3
265	за все	1	3
266	любви и	1	3
267	до сих	1	3
268	них в	1	3
269	то есть	19	3
270	имело место	1	3
271	живет в	1	3
272	из которых	4	3
273	сводится к	3	3
274	независимо от	2	3
275	если бы	1	3
276	в различные	1	3
277	можно назвать	1	3
278	жизни в	3	3
279	смерти и	2	3
280	с точки	2	3
281	них как	1	3
282	каждый из	2	3
283	нет и	2	3
284	и во	1	3
285	здесь не	4	3
