N	2gram	Voloshinov	Freidism
1	таким образом	12	34
2	и не	10	34
3	точки зрения	14	31
4	не может	16	30
5	и пр	3	29
6	в этом	4	28
7	может быть	14	28
8	и в	12	28
9	прежде всего	8	26
10	в его	2	25
11	и его	13	22
12	с помощью	6	20
13	мы можем	2	20
14	как бы	13	19
15	как мы	1	18
16	то что	5	17
17	вовсе не	1	16
18	с точки	2	15
19	точка зрения	3	15
20	все эти	3	15
21	так как	9	15
22	с ним	3	14
23	в своей	3	14
24	так и	4	14
25	самом деле	3	14
26	в душе	2	13
27	и все	2	13
28	как и	5	13
29	по отношению	11	13
30	но в	5	13
31	во всех	1	13
32	в самом	4	12
33	то же	5	12
34	ни в	3	12
35	том что	5	12
36	точку зрения	2	12
37	для него	3	12
38	все это	3	12
39	и потому	2	12
40	и наконец	3	12
41	мы видели	1	12
42	только в	6	11
43	сказать что	7	11
44	отношению к	11	11
45	его в	4	11
46	не только	4	10
47	и с	3	10
48	но и	3	10
49	конечно не	3	10
50	тот же	1	10
51	никогда не	5	10
52	в том	6	10
53	мы уже	1	10
54	он не	2	10
55	за пределы	4	10
56	не в	4	10
57	и на	4	9
58	те же	2	9
59	уже не	4	9
60	во всяком	1	9
61	мы не	3	9
62	с его	2	9
63	к этому	2	9
64	к нему	4	9
65	в чем	2	9
66	а не	5	9
67	мы должны	1	9
68	и др	5	9
69	могут быть	2	9
70	при этом	6	8
71	все же	4	8
72	еще не	3	8
73	было бы	1	8
74	и вот	1	8
75	по мнению	1	8
76	с другими	2	8
77	на этом	1	8
78	в ней	6	8
79	всяком случае	1	8
80	что в	2	7
81	и к	4	7
82	не могут	1	7
83	связь с	2	7
84	в жизни	5	7
85	хотя бы	5	7
86	в каком	3	7
87	если мы	1	7
88	до конца	2	7
89	что все	1	7
90	и для	3	7
91	на протяжении	1	7
92	того что	3	7
93	не является	1	7
94	но не	2	7
95	я и	1	7
96	с самого	1	7
97	в нем	6	7
98	быть и	3	7
99	отношение к	4	7
100	в себе	3	7
101	жизни и	4	7
102	и прежде	1	7
103	в то	2	7
104	и ее	3	7
