N	2gram	Tiupa_Hudo	Freidism
1	и не	15	34
2	точки зрения	7	31
3	не может	10	30
4	в этом	22	28
5	может быть	12	28
6	и в	34	28
7	прежде всего	12	26
8	в его	17	25
9	и его	8	22
10	как бы	11	19
11	как мы	5	18
12	то что	13	17
13	к отцу	1	16
14	вовсе не	2	16
15	с точки	5	15
16	точка зрения	1	15
17	все эти	4	15
18	так как	2	15
19	с ним	6	14
20	в своей	15	14
21	так и	19	14
22	самом деле	6	14
23	в душе	6	13
24	и все	10	13
25	как и	16	13
26	по отношению	15	13
27	но в	6	13
28	во всех	2	13
29	в самом	7	12
30	то же	14	12
31	ни в	5	12
32	что он	14	12
33	том что	31	12
34	во внешнем	1	12
35	точку зрения	1	12
36	для него	15	12
37	все это	2	12
38	и потому	3	12
39	только в	8	11
40	мы знаем	4	11
41	сказать что	3	11
42	отношению к	15	11
43	его в	5	11
44	все что	4	10
45	один из	6	10
46	не только	22	10
47	и с	10	10
48	но и	13	10
49	что же	4	10
50	тот же	1	10
51	никогда не	8	10
52	в том	24	10
53	мы уже	7	10
54	он не	8	10
55	не в	16	10
56	и на	6	9
57	уже не	12	9
58	во всяком	1	9
59	совершенно не	1	9
60	мы не	2	9
61	человеческого поведения	1	9
62	с его	9	9
63	к этому	1	9
64	к нему	2	9
65	в чем	1	9
66	а не	23	9
67	мы должны	1	9
68	и др	1	9
69	могут быть	1	9
70	при этом	21	8
71	все же	5	8
72	еще не	10	8
73	с этим	3	8
74	было бы	8	8
75	и вот	1	8
76	знаем что	2	8
77	а в	11	8
78	по мнению	6	8
79	с другими	2	8
80	на этом	5	8
81	в ней	6	8
82	оно и	1	8
83	всяком случае	1	8
84	что в	8	7
85	и к	6	7
86	не могут	1	7
87	в жизни	9	7
88	роль в	2	7
89	так сказать	3	7
90	его жизни	6	7
91	хотя бы	2	7
92	до конца	3	7
93	что все	3	7
94	и для	5	7
95	из них	5	7
96	того что	5	7
97	не является	1	7
98	но не	7	7
99	я и	7	7
100	об этом	8	7
101	и у	3	7
102	с самого	1	7
103	в нем	5	7
104	к смерти	1	7
105	в этой	11	7
106	отношение к	3	7
107	в себе	19	7
108	жизни и	10	7
109	в то	12	7
110	и ее	3	7
111	зрения на	2	6
112	в человеке	5	6
113	одно из	4	6
114	в корне	1	6
115	не менее	9	6
116	но мы	2	6
117	к тому	11	6
118	можно сказать	9	6
119	в основе	3	6
120	в свою	1	6
121	для того	3	6
122	же время	11	6
123	из этих	3	6
124	высшей степени	2	6
125	мы имеем	1	6
126	ни о	3	6
127	как раз	7	6
128	на самом	2	6
129	чем же	2	6
130	в таком	3	6
131	она не	6	6
132	совсем не	1	6
133	и что	3	6
134	в пределах	4	6
135	человека и	4	6
136	и о	8	6
137	в высшей	1	6
138	и только	2	6
139	всех этих	1	6
140	что это	2	5
141	в своих	4	5
142	с ними	3	5
143	вместе с	2	5
144	со стороны	6	5
145	в следующей	3	5
146	на первый	1	5
147	обыденной жизни	1	5
148	тех же	2	5
149	того чтобы	6	5
150	говорить о	4	5
151	и до	1	5
152	чем не	2	5
153	самого начала	1	5
154	что она	10	5
155	он сам	3	5
156	по поводу	3	5
157	во внутреннем	1	5
158	той же	3	5
159	это не	12	5
160	в ее	16	5
161	что и	3	5
162	в которой	2	5
163	тому что	8	5
164	между ними	2	5
165	в этих	7	5
166	в себя	3	5
167	и по	3	5
168	не было	8	5
169	во второй	7	5
170	не знает	2	5
171	как это	8	5
172	далеко не	1	5
173	от того	1	5
174	заключается в	1	5
175	ничего не	11	5
176	в общем	1	5
177	отнюдь не	4	5
178	в последнем	1	4
179	смысле слова	1	4
180	всей жизни	1	4
181	уже знаем	2	4
182	мысли и	2	4
183	характер и	3	4
184	в виду	1	4
185	сводится к	7	4
186	по себе	3	4
187	если бы	7	4
188	именно в	9	4
189	может стать	1	4
190	подхода к	1	4
191	как в	11	4
192	себя и	4	4
193	ничего общего	1	4
194	жизнь человека	1	4
195	это и	2	4
196	данном случае	3	4
197	в данном	3	4
198	в котором	5	4
199	в первый	2	4
200	потому что	7	4
201	только как	1	4
202	это только	1	4
203	не всегда	1	4
204	в этот	1	4
205	и т.п	2	4
206	слова и	1	4
207	только на	6	4
208	в мир	1	4
209	а только	4	4
210	так же	3	4
211	свою очередь	1	4
212	нет и	2	4
213	на него	3	4
214	в своем	9	4
215	все время	2	4
216	одна из	4	4
217	не лучше	1	4
218	и внешней	2	4
219	но это	2	4
220	едва ли	6	4
221	дает нам	1	4
222	влияние на	2	4
223	что оно	1	4
224	и за	1	4
225	этом отношении	4	4
226	тем не	7	4
227	человека в	10	4
228	на всех	1	4
229	таком случае	1	4
230	у него	13	4
231	не существует	1	4
232	в голову	3	4
233	но ведь	2	4
234	я не	8	4
235	по своему	3	4
236	между собой	1	4
237	нисколько не	1	4
238	на язык	1	4
239	человека к	1	4
240	о себе	3	4
241	не дает	1	4
242	то ни	2	4
243	этом мы	1	4
244	в другом	3	4
245	личности и	3	4
246	к ней	2	4
247	главным образом	1	4
248	в узком	1	4
249	в области	1	4
250	его к	1	4
251	с ее	7	4
252	в целом	2	4
253	ответ на	1	3
254	во втором	2	3
255	для всех	1	3
256	до сих	3	3
257	в центре	4	3
258	освободиться от	1	3
259	это уже	2	3
260	смерти отца	1	3
261	о которой	3	3
262	мы в	1	3
263	для них	1	3
264	в результате	2	3
265	и тот	2	3
266	в них	3	3
267	и даже	4	3
268	нам в	1	3
269	все его	3	3
270	их в	2	3
271	себя с	3	3
272	не делает	1	3
273	конечном счете	4	3
274	к его	1	3
275	жизни в	12	3
276	укладывается в	1	3
277	приводит к	5	3
278	мыслей и	1	3
279	другому человеку	3	3
280	во сне	3	3
281	и смерть	1	3
282	жизни к	1	3
283	связано с	1	3
284	при анализе	1	3
285	этот мотив	1	3
286	на этой	1	3
287	что мы	1	3
288	раз и	2	3
289	он был	1	3
290	ни на	2	3
291	ребенка в	1	3
292	на основе	2	3
293	сознания в	2	3
294	о них	4	3
295	в одном	3	3
296	уже в	2	3
297	как на	2	3
298	из наиболее	1	3
299	не совсем	1	3
300	на две	1	3
301	в нашем	2	3
302	непосредственно из	1	3
303	находится в	1	3
304	о том	21	3
305	иным как	1	3
306	и представлений	1	3
307	и становится	1	3
308	бы то	1	3
309	только не	3	3
310	и то	2	3
311	говорит о	4	3
312	они не	2	3
313	к человеку	1	3
314	жизни так	4	3
315	к себе	8	3
316	не будем	1	3
317	узком смысле	1	3
318	тому чтобы	1	3
319	сознания это	1	3
320	в конечном	5	3
321	и притом	1	3
322	этого не	1	3
323	наших дней	1	3
324	на себя	3	3
325	но для	1	3
326	такой же	3	3
327	не остается	1	3
328	во внутренней	1	3
329	и как	1	3
330	и она	2	3
331	согласиться с	3	3
332	есть только	1	3
333	и сам	3	3
334	один и	2	3
335	представляется нам	3	3
336	в условиях	1	3
337	же касается	2	3
338	себе и	3	3
