N	3gram	Losev_Dial	TeoriaLi
1	в том что	12	10
2	в то же	7	8
3	то же время	8	8
4	с другой стороны	7	6
5	более или менее	5	6
6	не может быть	4	5
7	для того чтобы	1	5
8	так или иначе	3	5
9	в данном случае	1	5
10	в силу своей	2	4
11	той или иной	4	3
12	с точки зрения	18	3
13	в этом смысле	4	3
14	в виду не	1	3
15	тем не менее	3	3
16	можно сказать что	6	3
17	подобно тому как	1	3
18	тех или иных	1	3
19	в связи с	3	3
20	с одной стороны	3	3
21	так и его	1	2
22	до известной степени	1	2
23	в данный момент	1	2
24	по большей части	1	2
25	в самом деле	3	2
26	в коем случае	1	2
27	и то же	8	2
28	в таком случае	2	2
29	ни в коем	1	2
30	в отношении к	1	2
31	одно и то	8	2
32	но в то	1	2
33	и в то	3	2
34	том что он	1	2
35	что в основе	1	2
36	не в самом	1	2
37	мы имеем дело	1	2
38	не могут быть	1	2
39	сама по себе	12	2
40	к тому что	3	2
41	ту или иную	1	2
42	коем случае не	1	2
43	приводит к тому	1	2
44	может быть и	6	2
45	что он не	2	1
46	и не быть	1	1
47	своего объекта и	1	1
48	может и не	2	1
49	никогда не бывает	1	1
50	в той или	3	1
51	в этих случаях	1	1
52	тех кто его	1	1
53	в том и	1	1
54	– это не	2	1
55	в мире –	1	1
56	не что иное	4	1
57	– все это	3	1
58	форма может быть	1	1
59	отнюдь не в	1	1
60	если бы для	1	1
61	точки зрения не	1	1
62	те и другие	1	1
63	а не ее	1	1
64	иметь в виду	4	1
65	по себе а	2	1
66	еще не есть	1	1
67	а не с	1	1
68	которая характерна для	2	1
69	больше и больше	1	1
70	в душе моей	1	1
71	на задний план	1	1
72	не содержит в	1	1
73	по крайней мере	11	1
74	объективно и не	1	1
75	или иное логическое	1	1
76	один из видов	2	1
77	он мог бы	1	1
78	в сравнении с	1	1
79	не в состоянии	1	1
80	о том что	6	1
81	то или иное	4	1
82	или ином отношении	1	1
83	мы говорим о	1	1
84	дело не в	1	1
85	в себе и	1	1
86	в каждом человеке	1	1
87	отчет в том	1	1
88	внутреннее и внешнее	3	1
89	исторического бытия и	1	1
90	а в другом	1	1
91	как один из	2	1
92	в себе самом	2	1
93	это и есть	3	1
94	я никогда не	3	1
95	в основе всех	1	1
96	тем и другим	1	1
97	связи с этим	2	1
98	друг от друга	1	1
99	как более или	2	1
100	отношении к нему	1	1
101	и как бы	1	1
102	одной стороны и	3	1
103	к своему собственному	1	1
104	том что она	1	1
105	в себе никаких	1	1
106	несмотря на свою	1	1
107	или преступления –	1	1
108	всегда так или	1	1
109	дело в том	1	1
110	субъекта и объекта	4	1
111	и в частности	4	1
112	а между тем	1	1
113	не сама по	1	1
114	в то время	2	1
115	в первую очередь	1	1
116	а не сама	2	1
117	хома брут не	1	1
118	речь идет о	1	1
119	содержит в себе	5	1
120	как раз в	1	1
121	в зависимости от	2	1
122	даже если она	1	1
123	из того что	1	1
124	точно так же	3	1
125	так же как	1	1
126	это уже не	1	1
127	не было и	1	1
128	в отдельности и	1	1
129	можно говорить о	1	1
130	но в силу	1	1
131	а в том	1	1
132	– один из	1	1
133	к тому же	2	1
134	есть не что	3	1
135	том что в	1	1
136	и другого –	1	1
137	также что в	1	1
138	в своей жизни	1	1
139	имеет место в	1	1
140	каждой из них	1	1
141	чужой психики но	1	1
142	в новое время	1	1
143	на первый взгляд	2	1
144	то же самое	3	1
145	– независимо от	1	1
146	но только не	1	1
147	между тем в	1	1
148	та или иная	4	1
149	том или ином	1	1
150	при всей своей	1	1
151	что иное как	4	1
152	только то что	6	1
153	видим в нем	1	1
154	всем потому что	1	1
155	и не дает	1	1
156	в узком и	1	1
157	субъект и объект	1	1
158	точки зрения и	1	1
159	а не только	1	1
160	таким образом и	1	1
161	имея в виду	1	1
162	в виду что	2	1
163	мы имеем не	1	1
164	говорить о разных	1	1
165	но я никогда	1	1
166	что несмотря на	1	1
167	в полной мере	1	1
168	в чистом виде	1	1
169	на театральной сцене	1	1
170	это было бы	1	1
171	я думаю что	1	1
