N	3gram	Bakhtin_Fr	UchenyiS
1	с другой стороны	2	3
2	в то же	12	3
3	то же время	12	3
4	и то что	1	2
5	в том что	4	2
6	в самом деле	3	2
7	до сих пор	3	2
8	материала и формы	1	2
9	в конце концов	5	2
10	то же самое	1	2
11	уже знакомая нам	1	2
12	в этом отношении	3	2
13	в этом смысле	1	2
14	и в этой	2	2
15	он знает только	1	1
16	также несомненно и	1	1
17	то что было	1	1
18	имеем в виду	2	1
19	сам по себе	2	1
20	это было и	1	1
21	насколько нам известно	1	1
22	фактов и в	1	1
23	другой стороны в	1	1
24	в широком смысле	1	1
25	в этой же	2	1
26	но в то	3	1
27	таким образом на	1	1
28	но по существу	2	1
29	с тем что	1	1
30	большей или меньшей	2	1
31	с одной стороны	3	1
32	и с другой	1	1
33	конечно не в	2	1
34	в значительной мере	1	1
35	на первый план	2	1
36	все это в	2	1
37	в той же	5	1
38	уже знакомый нам	1	1
39	или меньшей степени	1	1
40	и не только	1	1
41	является одним из	1	1
42	не только в	1	1
43	одним из самых	2	1
44	и прежде всего	2	1
45	более или менее	3	1
46	в данном случае	1	1
47	мы имеем в	2	1
48	и все они	2	1
49	она должна была	1	1
50	в большей или	2	1
51	все они в	2	1
52	и у других	1	1
53	но именно этот	1	1
54	мы полагаем что	1	1
