N	3gram	Berdyaev_V	Morfolog
1	и т д	2	60
2	мы видим что	1	11
3	с другой стороны	1	5
4	в том что	2	4
5	не могут быть	1	4
6	к тому что	3	4
7	но все же	1	4
8	как и в	1	3
9	бы то ни	1	3
10	это еще не	2	2
11	на составные части	1	2
12	т д и	1	1
13	все это мы	1	1
14	это одна из	1	1
15	в первый раз	3	1
16	иногда может и	1	1
17	во что бы	1	1
18	и есть то	1	1
19	так как не	2	1
20	в этом нет	1	1
21	что бы то	1	1
22	вместо того чтобы	2	1
23	том что он	2	1
24	как бы в	1	1
25	после того как	1	1
26	на новый лад	1	1
27	то ни стало	1	1
