N	2gram	Vinokur_St	Formalny
1	и в	61	95
2	т е	21	94
3	и не	23	78
4	поэтического языка	2	67
5	может быть	16	66
6	в этом	37	61
7	не может	10	57
8	и пр	4	53
9	вовсе не	24	53
10	таким образом	16	52
11	и его	11	51
12	так и	15	50
13	точки зрения	16	47
14	в нем	9	42
15	в его	19	42
16	прежде всего	11	41
17	с точки	10	40
18	как и	11	39
19	и т	36	37
20	художественного произведения	1	36
21	в самом	14	35
22	не в	15	35
23	а не	19	34
24	в процессе	3	34
25	но и	28	33
26	то же	7	32
27	самом деле	14	32
28	истории литературы	2	31
29	не только	36	30
30	в пределах	1	28
31	в том	56	26
32	если бы	11	26
33	то что	27	25
34	при этом	4	24
35	в своей	12	24
36	на почве	2	24
37	лишь в	3	24
38	на самом	8	24
39	было бы	21	23
40	связи с	3	23
41	в ней	9	23
42	в то	10	22
43	и с	6	21
44	что в	41	21
45	в истории	5	21
46	как бы	8	21
47	между ними	1	20
48	с тем	3	20
49	не менее	8	20
50	входит в	1	20
51	как мы	1	20
52	и от	2	20
53	же время	5	20
54	место в	2	20
55	в их	3	20
56	по себе	3	19
57	хотя бы	8	19
58	т д	25	19
59	не могут	2	19
60	все это	13	19
61	все же	12	18
62	т п	11	18
63	должна быть	3	18
64	только в	11	18
65	и все	3	18
66	с его	3	18
67	все эти	7	18
68	и их	3	18
69	именно как	1	17
70	как раз	10	17
71	произведения в	2	17
72	как в	15	17
73	более того	1	17
74	во всяком	8	16
75	с другой	11	16
76	так же	7	16
77	всяком случае	8	16
78	совершенно не	7	16
79	потому что	13	16
80	именно в	8	15
81	его в	4	15
82	бы в	2	15
83	во всех	8	15
84	и на	7	15
85	так как	7	15
86	но в	16	15
87	в поэзии	1	15
88	только на	1	14
89	в своем	8	14
90	в ее	6	14
91	в этой	13	14
92	что он	23	14
93	вместе с	5	14
94	еще не	4	14
95	языка и	4	14
96	если мы	1	14
97	и потому	3	14
98	жизни и	6	14
99	в целом	5	14
100	в результате	5	13
101	тем что	6	13
102	настоящее время	2	13
103	что и	8	13
104	ни в	5	13
105	могут быть	5	13
106	независимо от	1	13
107	для них	2	13
108	со стороны	7	13
109	что же	6	13
110	до конца	4	13
111	в настоящее	2	13
112	того что	14	13
113	она не	3	13
114	а в	18	13
115	история литературы	2	12
116	там где	6	12
117	уже не	1	12
118	к тому	9	12
119	по отношению	3	12
120	как это	6	12
121	и здесь	2	12
122	оно не	3	12
123	того чтобы	15	12
124	и для	4	12
125	отношению к	3	12
126	в корне	1	11
127	никогда не	7	11
128	что они	9	11
129	то ни	2	11
130	между тем	7	11
131	зависимости от	2	11
132	литературы в	1	11
133	они не	2	11
134	это и	5	11
135	для него	10	11
136	этом отношении	13	11
137	в основе	4	11
138	в общем	2	11
139	но не	5	11
140	не как	2	10
141	другой стороны	9	10
142	в своих	2	10
143	в первом	2	10
144	конечно не	2	10
145	в зависимости	2	10
146	бы то	2	10
147	не было	7	10
148	здесь и	1	10
149	действительности и	1	10
150	он не	11	10
151	материала в	1	10
152	как о	2	10
153	в слове	5	10
154	не является	5	10
155	и теперь	2	10
156	тем же	3	10
157	и др	1	10
158	мы не	3	10
159	материала и	2	10
160	по существу	3	10
161	и как	2	10
162	не о	2	10
163	еще более	5	9
164	и даже	8	9
165	говорить о	3	9
166	для понимания	2	9
167	не могло	4	9
168	ни было	1	9
169	но ведь	8	9
170	в каждом	3	9
171	совсем не	3	9
172	литературы и	3	9
173	бы ни	3	9
174	или иного	4	9
175	отношения к	2	9
176	со всею	1	9
177	язык и	1	9
