N	2gram	Bakhtin_KF	PoTuStor
1	может быть	45	17
2	и в	28	16
3	и пр	3	12
4	в этом	15	9
5	прежде всего	4	9
6	мы можем	1	9
7	и только	7	9
8	совершенно не	7	8
9	точки зрения	13	8
10	и с	1	8
11	не может	29	8
12	и его	18	8
13	не только	5	7
14	с его	2	7
15	и к	1	6
16	при этом	4	6
17	для него	13	6
18	самом деле	3	6
19	я и	5	6
20	и это	12	6
21	конечно не	7	6
22	с точки	10	6
23	ни в	12	5
24	все эти	11	5
25	только для	1	5
26	в чем	4	5
27	еще не	5	5
28	как бы	9	5
29	отношение к	6	5
30	нуждается в	1	5
31	в него	2	5
32	все что	1	4
33	и на	3	4
34	так как	1	4
35	все это	10	4
36	в его	42	4
37	художественного творчества	1	4
38	мысли и	1	4
39	так и	2	4
40	на самом	3	4
41	его в	5	4
42	и даже	1	4
43	и все	9	4
44	с ними	4	4
45	только в	18	4
46	и не	28	4
47	но мы	1	4
48	можно сказать	1	4
49	но и	9	4
50	хотя бы	5	4
51	и может	3	4
52	и их	6	4
53	в этой	2	4
54	как мы	1	4
55	отнюдь не	7	4
56	в нем	32	4
57	с ее	2	4
58	в один	1	4
59	и ее	2	4
60	и наконец	1	4
61	но в	5	4
62	до сих	1	3
63	на язык	3	3
64	к себе	2	3
65	в том	6	3
66	между ними	1	3
67	в конечном	1	3
68	их в	1	3
69	отношения к	1	3
70	этом смысле	3	3
71	и как	2	3
72	что в	4	3
73	и она	2	3
74	том что	4	3
75	большинстве случаев	1	3
76	вместе с	1	3
77	на этом	1	3
78	в этих	1	3
79	мира и	4	3
80	и оно	1	3
81	вся культура	1	3
82	во всех	11	3
83	но оно	1	3
84	во всяком	1	3
85	и потому	2	3
86	в основе	5	3
87	только как	4	3
88	возврат в	1	3
89	и теперь	1	3
90	как это	1	3
91	только на	1	3
92	в одном	5	3
93	пр и	1	3
94	чем не	4	3
95	а в	5	3
96	в большинстве	1	3
97	то что	7	3
98	и др	1	3
99	могут быть	3	3
100	и есть	10	3
101	сих пор	1	3
102	жизни и	8	3
103	в области	2	3
104	всяком случае	1	3
105	ко всякому	1	3
106	едва ли	2	3
107	в самом	1	2
108	мы видим	1	2
109	рождение и	1	2
110	и этот	3	2
111	и мы	2	2
112	к другим	1	2
113	они не	1	2
114	т.е в	1	2
115	мы не	3	2
116	ни было	4	2
117	что это	4	2
118	ее в	1	2
119	и говорить	1	2
120	может иметь	2	2
121	для нас	4	2
122	и через	1	2
123	и этим	3	2
124	но как	5	2
125	что и	7	2
126	сознания и	3	2
127	сводится к	2	2
128	со всеми	2	2
129	в душе	1	2
130	поэтому и	1	2
131	и других	2	2
132	не знает	5	2
133	остается и	1	2
134	всех его	2	2
135	что не	3	2
136	и действительно	6	2
137	конечном счете	1	2
138	здесь же	1	2
139	в жизни	2	2
140	но ведь	5	2
141	как и	5	2
142	что он	2	2
143	не есть	22	2
144	в своей	11	2
145	и так	1	2
146	его все	1	2
147	как с	1	2
148	по своему	3	2
149	себя и	5	2
150	находится на	1	2
151	войти в	3	2
152	не менее	3	2
153	на границе	1	2
154	в каком	4	2
155	нем нет	1	2
156	и таким	1	2
157	с этим	1	2
158	к этому	2	2
159	все и	1	2
160	оно не	2	2
161	не существует	1	2
162	моей жизни	4	2
163	пробиться в	1	2
164	между собой	1	2
165	что мы	1	2
166	в историю	1	2
167	мы уже	1	2
168	связанных с	1	2
169	другими словами	1	2
170	все остальные	2	2
171	ту же	1	2
172	на основе	7	2
173	совсем не	2	2
174	и содержание	5	2
175	в этот	1	2
176	он не	6	2
177	и т.п	1	2
178	кажется что	2	2
179	не будет	2	2
180	для меня	22	2
181	говорить о	2	2
182	всех других	2	2
183	в мир	2	2
184	но отнюдь	1	2
185	как не	1	2
186	цели и	1	2
187	и всех	2	2
188	момента в	1	2
189	было бы	8	2
190	таким путем	1	2
191	к ним	4	2
192	т.е не	2	2
193	его целом	10	2
194	нет и	3	2
195	и о	1	2
196	к следующему	1	2
197	своей жизни	1	2
198	если мы	1	2
199	находится в	1	2
200	о том	3	2
201	во всей	4	2
202	всю жизнь	1	2
203	момент в	7	2
204	один из	2	2
205	и по	1	2
206	с ним	5	2
207	но это	6	2
208	и для	10	2
209	для этого	2	2
210	того же	1	2
211	то же	5	2
212	не можем	1	2
213	никогда не	5	2
214	для самого	1	1
215	жизни но	3	1
216	мир не	1	1
217	во всем	7	1
218	бы то	2	1
219	мире и	1	1
220	на почве	1	1
221	события и	2	1
222	включая сюда	2	1
223	целом это	1	1
224	все попытки	4	1
225	и то	2	1
226	в единую	1	1
227	образом и	1	1
228	изнутри самой	1	1
229	даны в	2	1
230	и здесь	7	1
231	та же	3	1
232	и содержания	2	1
233	логическому и	1	1
234	этот мир	2	1
235	мир в	12	1
236	же и	1	1
237	со всем	5	1
238	в момент	3	1
239	только что	1	1
240	время и	5	1
241	и того	2	1
242	все люди	1	1
243	на ее	1	1
244	ним и	3	1
245	во власти	1	1
246	мог бы	1	1
247	тогда когда	3	1
248	сознание в	1	1
249	ее самой	1	1
250	не будем	1	1
251	дело с	2	1
252	одна и	2	1
253	мы имеем	5	1
254	еще более	2	1
255	это и	3	1
256	несмотря на	1	1
257	что мир	1	1
258	освободиться от	1	1
259	события его	1	1
260	все ценности	2	1
261	для всего	1	1
262	следует что	1	1
263	хотя и	1	1
264	смысл и	6	1
265	а это	2	1
266	по принципу	1	1
267	и связанных	1	1
268	с тем	2	1
269	только не	1	1
270	как раз	1	1
271	о нем	4	1
272	день и	1	1
273	что только	2	1
274	в качестве	2	1
275	и ценность	2	1
276	трансцендентальный метод	1	1
277	из предшествующего	1	1
278	в человеке	1	1
279	факт моего	1	1
280	не являются	1	1
281	здесь в	1	1
282	теряет свою	1	1
283	и делает	3	1
284	в виду	3	1
285	я не	6	1
286	в движение	1	1
287	весь мир	2	1
288	смысла в	2	1
289	что между	1	1
290	как таковым	1	1
291	отвлечься от	1	1
292	связанная с	1	1
293	есть еще	1	1
294	и желания	1	1
295	творчества и	1	1
296	связь с	1	1
297	ведь это	2	1
298	в своих	4	1
299	является и	1	1
300	утверждение что	1	1
301	не более	1	1
302	если бы	8	1
303	конечно и	1	1
304	столь же	1	1
305	оно ни	1	1
306	мы живем	1	1
307	в конкретной	3	1
308	абстрактные моменты	1	1
309	него т.е	1	1
310	именно оно	1	1
311	заемным светом	1	1
312	от своего	1	1
313	разрыва между	1	1
314	и единство	3	1
315	с ней	1	1
316	и можно	1	1
317	жизнь в	1	1
318	определения и	1	1
319	на волю	2	1
320	в сознании	2	1
321	из сознания	1	1
322	это содержание	1	1
323	пробиться к	1	1
324	т.е вся	1	1
325	но эта	6	1
326	и теряет	1	1
327	дело в	2	1
328	все моменты	1	1
329	месте и	1	1
330	он может	2	1
331	даже более	1	1
332	но не	12	1
333	менее всего	6	1
334	и эта	2	1
335	форму и	1	1
336	быть только	8	1
337	как его	4	1
338	он будет	1	1
339	отвлеченно взятая	1	1
340	и начало	1	1
341	а то	1	1
342	времени и	4	1
343	изнутри ее	3	1
344	это какой-то	1	1
345	и эстетический	2	1
346	в корне	3	1
347	светом в	1	1
348	бы оно	2	1
349	зависит от	1	1
350	как момент	13	1
351	не подлежит	1	1
352	может стать	1	1
353	да мы	1	1
354	человека конечно	1	1
355	могущие быть	1	1
356	в мире	8	1
357	все же	5	1
358	все сплошь	1	1
359	при таком	1	1
360	жизни в	5	1
361	том смысле	1	1
362	от этого	2	1
363	мы только	1	1
364	приводит к	1	1
365	на все	1	1
366	не имеет	6	1
367	моменты или	1	1
368	только себя	1	1
369	остановимся на	1	1
370	его жизни	3	1
371	по самому	1	1
372	зависимости от	1	1
373	в себя	8	1
374	это было	2	1
375	и лежат	1	1
376	со стороны	8	1
377	на его	1	1
378	в смысле	6	1
379	на своем	3	1
380	философии но	2	1
381	делает его	1	1
382	вовсе не	7	1
383	но к	1	1
384	уже не	7	1
385	к тому	1	1
386	в философии	1	1
387	где оно	1	1
388	и момент	4	1
389	свой смысл	1	1
390	всем его	3	1
391	жизни является	2	1
392	культурного творчества	1	1
393	а для	2	1
394	не был	1	1
395	что конечно	1	1
396	той или	3	1
397	и психологический	1	1
398	и мир	2	1
399	и отсюда	2	1
400	что эти	1	1
401	сам же	1	1
402	жизнь человека	1	1
403	основных чертах	1	1
404	нет ничего	1	1
405	ко всему	5	1
406	его и	2	1
407	действительного и	1	1
408	а с	2	1
409	в данном	2	1
410	т.е только	1	1
411	же с	2	1
412	событие жизни	1	1
413	моменты и	3	1
414	вытекает из	2	1
415	отличается от	1	1
416	только путем	1	1
417	не он	1	1
418	и такие	1	1
419	вопрос о	2	1
420	каких бы	1	1
421	характер и	1	1
422	к предмету	1	1
423	а просто	1	1
424	на один	1	1
425	себе свою	1	1
426	не имеют	1	1
427	и т.д	4	1
428	со всех	1	1
429	в основных	1	1
430	отсюда и	3	1
431	на некоторых	1	1
432	она не	2	1
433	и оценок	1	1
434	разобранный нами	1	1
435	в свою	3	1
436	входит в	4	1
437	поступка и	7	1
438	его не	1	1
439	того чтобы	2	1
440	и ни	3	1
441	не дает	3	1
442	философии жизни	2	1
443	в другом	3	1
444	то ни	2	1
445	для того	3	1
446	в каких	1	1
447	это только	2	1
448	каждый момент	2	1
449	но всегда	2	1
450	предметов и	1	1
451	быть не	2	1
452	бездна между	1	1
453	вся жизнь	1	1
454	ли будет	1	1
455	в ней	3	1
456	у меня	1	1
457	человека как	1	1
458	с нашим	1	1
459	человека все	1	1
460	это сознание	1	1
461	действительно великолепное	1	1
462	общего не	2	1
463	когда он	1	1
464	на чем	1	1
