N	3gram	Bakhtin_sl	VrazhdaK
1	то же время	15	4
2	в то же	15	4
3	как и у	1	3
4	в связи с	2	3
5	в том что	4	2
6	отцы и дети	1	2
7	не может быть	11	2
8	но в то	6	2
9	он не только	1	2
10	в в виноградов	1	2
11	с точки зрения	11	2
12	а также в	1	1
13	в свою очередь	3	1
14	а между тем	2	1
15	с помощью которых	1	1
16	же время и	2	1
17	в то время	2	1
18	далеко не все	1	1
19	же не только	1	1
20	одно и то	2	1
21	отношение автора к	1	1
22	речь идет о	1	1
23	в нем самом	1	1
24	равно как и	1	1
25	в письмах и	1	1
26	для нас оно	1	1
27	но это не	1	1
28	на то что	1	1
29	и в то	6	1
30	по крайней мере	1	1
31	что они не	1	1
32	они как бы	2	1
33	о том же	2	1
34	не только не	2	1
35	о том что	2	1
36	в мировой литературе	2	1
37	до сих пор	4	1
38	что как раз	1	1
39	но в этом	2	1
40	его отношение к	1	1
41	в каком направлении	1	1
42	во всяком случае	7	1
43	у тургенева и	1	1
44	а следовательно и	2	1
45	между тем это	1	1
46	гоголя и достоевского	1	1
47	тем не менее	2	1
48	как он сам	1	1
49	на первый план	1	1
50	с другой стороны	5	1
51	в известном смысле	2	1
52	не с точки	1	1
53	в литературе и	1	1
54	героев романа в	1	1
55	что для нас	1	1
56	не только как	1	1
57	и то же	2	1
58	да и в	1	1
59	в этом отношении	2	1
60	и не может	2	1
61	и в этом	2	1
62	же время по	1	1
63	может быть и	2	1
