N	3gram	Losev_Vesc	Istorich
1	и т д	36	142
2	с другой стороны	3	46
3	мы видим что	2	30
4	до сих пор	1	30
5	в этом случае	1	29
6	с одной стороны	3	28
7	так же как	2	27
8	в том что	9	25
9	не может быть	22	24
10	вместе с тем	3	23
11	но все же	2	23
12	тем не менее	11	23
13	о том что	4	22
14	не только в	5	19
15	в связи с	1	17
16	мы видели что	3	16
17	о том как	4	15
18	в данном случае	2	15
19	на то что	7	14
20	в то время	4	13
21	то время как	4	13
22	но и в	1	12
23	не что иное	12	11
24	т е в	7	11
25	что иное как	12	11
26	можно было бы	3	10
27	что и в	1	10
28	друг с другом	2	9
29	но так как	1	9
30	более или менее	4	9
31	и вместе с	1	9
32	то же самое	1	8
33	таким образом и	1	8
34	и то что	5	8
35	что у него	1	8
36	подобно тому как	5	8
37	в зависимости от	1	8
38	дело не в	1	7
39	с этой стороны	1	7
40	смысле этого слова	1	7
41	в одном случае	1	7
42	то что в	1	7
43	с тем что	1	7
44	во всяком случае	2	7
45	что он не	1	7
46	потому что он	1	7
47	сих пор мы	1	7
48	и здесь мы	1	6
49	это значит что	25	6
50	т д все	1	6
51	этой точки зрения	3	6
52	все же не	3	6
53	с этой точки	3	6
54	это может быть	1	6
55	мы не можем	3	6
56	то что он	2	5
57	для того чтобы	2	5
58	мы еще не	2	5
59	т д то	1	5
60	в том чтобы	2	5
61	и что он	1	5
62	т д и	11	5
63	есть не что	8	5
64	т д в	1	5
65	на этой стадии	1	5
66	перед нами как	1	4
67	так или иначе	5	4
68	в этой связи	1	4
69	то это значит	3	4
70	и может быть	1	4
71	только то что	3	4
72	с точки зрения	6	4
73	независимо от того	1	4
74	содержит в себе	11	4
75	вопрос о том	2	4
76	оно может быть	1	4
77	еще не вполне	1	4
78	и тем не	5	4
79	сами по себе	3	4
80	можно сказать что	3	4
81	и в особенности	1	4
82	между прочим и	1	4
83	это и есть	4	4
84	одной стороны и	1	3
85	все то что	2	3
86	как будто бы	1	3
87	никак не может	1	3
88	все еще не	1	3
89	и то же	5	3
90	не только не	4	3
91	к тому что	2	3
92	это так то	2	3
93	один и тот	1	3
94	не может считаться	2	3
95	что мы имеем	2	3
96	дело в том	4	3
97	стоит в связи	1	3
98	она может быть	2	3
99	а так как	2	3
100	потому что у	1	3
101	но и для	1	3
102	потому что я	2	3
103	ответ на вопрос	1	3
104	и тот же	1	3
105	по сравнению с	7	3
106	один из видов	1	3
107	и что они	3	3
108	но в свете	1	3
109	я не знаю	1	3
110	но это только	1	3
111	не в том	1	3
112	мы можем установить	1	3
113	само по себе	4	3
114	то ни было	12	3
115	если это так	2	3
116	бы то ни	12	3
117	только тогда когда	2	3
118	он все же	1	3
119	т е к	1	3
120	но и здесь	1	3
121	в том смысле	1	3
122	не в состоянии	1	3
123	руки и ноги	2	3
124	т д если	1	3
125	еще ничего не	1	3
126	он находится в	1	3
127	и не только	6	3
128	но то что	3	2
129	это не значит	1	2
130	не только то	1	2
131	по себе но	1	2
132	по себе а	1	2
133	она все же	1	2
134	не в этом	1	2
135	в самом деле	7	2
136	указывает на то	3	2
137	быть не может	1	2
138	она не может	3	2
139	дело вовсе не	1	2
140	сам по себе	4	2
141	то ясно что	2	2
142	видим таким образом	1	2
143	он ничего не	2	2
144	вопрос о смысле	1	2
145	и таким образом	2	2
