N	2gram	Ircho_Kome	Tvorches
1	и в	40	56
2	как бы	3	41
3	в его	8	37
4	в то	14	30
5	то же	7	25
6	в году	3	24
7	не только	12	24
8	же время	5	24
9	но в	6	24
10	как и	12	23
11	то есть	1	23
12	и не	19	23
13	а в	9	23
14	и его	17	23
15	в этом	9	22
16	и т	11	22
17	что в	12	21
18	в том	19	21
19	он не	5	19
20	том что	19	19
21	может быть	16	19
22	потому что	8	19
23	у него	6	18
24	то что	8	18
25	таким образом	13	17
26	и на	9	17
27	что он	11	17
28	т д	4	17
29	все это	7	17
30	при этом	5	16
31	но и	14	16
32	как в	8	16
33	прежде всего	8	16
34	не может	3	16
35	и с	8	15
36	в мире	3	15
37	но это	2	15
38	в этой	9	15
39	с его	4	15
40	и даже	5	14
41	это не	2	14
42	там же	4	13
43	о том	12	13
44	времени в	2	13
45	а не	1	13
46	в котором	6	12
47	тем самым	1	12
48	в целом	6	12
49	в своей	3	11
50	все же	7	11
51	отнюдь не	2	11
52	для него	1	11
53	в самом	5	10
54	представление о	3	10
55	в русской	1	10
56	не в	8	10
57	в конце	7	10
58	только в	6	10
59	когда он	1	10
60	в основном	1	10
61	уже в	9	10
62	так и	17	10
63	но не	3	10
64	как будто	3	10
65	в душе	1	9
66	в своих	2	9
67	наряду с	7	9
68	а затем	4	9
69	в братьях	1	9
70	по мнению	2	9
71	в изображении	2	9
72	и от	2	9
73	один из	9	9
74	жизни в	1	9
75	в свою	2	9
76	человека в	2	9
77	в нем	8	9
78	даже в	3	8
79	в духе	3	8
80	именно в	5	8
81	в соответствии	2	8
82	не менее	6	8
83	так же	4	8
84	к этому	8	8
85	хотя и	6	8
86	одним из	3	8
87	это уже	2	8
88	вместе с	8	8
89	соответствии с	2	8
90	одной из	6	8
91	еще не	7	8
92	в себе	3	8
93	так как	6	8
94	в их	6	8
95	на его	5	8
96	об этом	2	8
97	вовсе не	3	8
98	в лице	2	8
99	в этих	5	7
100	и сам	5	7
101	года в	1	7
102	например в	1	7
103	казалось бы	3	7
104	в дальнейшем	1	7
105	за собой	3	7
106	что она	3	7
107	и он	1	7
108	в которой	9	7
109	в чем	3	7
110	не случайно	1	7
111	человеческой личности	1	7
112	еще более	2	6
113	в принципе	3	6
114	не столько	1	6
115	и как	3	6
116	на эту	1	6
117	но у	1	6
118	хотя бы	2	6
119	одна из	4	6
120	его в	6	6
121	так что	6	6
122	и ее	5	6
123	своих героев	1	6
124	с ним	1	6
125	если бы	4	6
126	и все	4	6
127	приводит к	1	6
128	в книге	1	6
129	все эти	1	6
130	ли не	8	6
131	место в	7	6
132	и другие	3	5
133	из всех	2	5
134	в пользу	3	5
135	в них	7	5
136	с другой	7	5
137	больше не	2	5
138	приходит к	1	5
139	по отношению	5	5
140	отметить что	1	5
141	как правило	5	5
142	в своем	6	5
143	в одной	1	5
144	во всей	1	5
145	все время	2	5
146	из них	16	5
147	что они	4	5
148	что у	6	5
149	на него	4	5
150	в ее	2	5
151	что и	10	5
152	не было	1	5
153	что не	1	5
154	в таком	1	5
155	и это	3	5
156	и у	3	5
157	а с	1	5
158	героя и	1	5
159	что это	5	5
160	т п	7	5
161	в наше	1	5
162	если не	1	5
163	между тем	9	5
164	с большой	1	5
165	в первой	2	5
166	наше время	2	5
167	не так	1	5
168	та же	1	5
169	с этим	5	5
170	самим собой	1	5
171	не имеют	1	5
172	в современном	1	5
173	в истории	10	5
174	до конца	3	5
175	в образе	4	5
176	том же	1	5
177	но если	4	5
178	тот же	5	5
179	ничего не	4	5
180	мы не	4	5
181	в литературе	2	5
182	как у	1	5
183	бы не	1	5
184	в виде	3	5
185	и по	6	5
186	и других	7	5
187	это как	1	5
188	как он	2	5
189	отношению к	5	5
190	с этой	3	4
191	в финале	2	4
192	а у	3	4
193	него в	1	4
194	с собой	2	4
195	тем что	5	4
196	роль в	2	4
197	так в	6	4
198	и отчасти	1	4
199	восходит к	4	4
200	представляет собой	1	4
201	аргументом в	2	4
202	только на	2	4
203	говорить о	3	4
204	и когда	1	4
205	говорит что	1	4
206	превращается в	1	4
207	не вполне	2	4
208	самого начала	2	4
209	утверждал что	1	4
210	что все	1	4
211	точки зрения	7	4
212	к нему	5	4
213	и потому	1	4
214	однако этот	1	4
215	первая часть	1	4
216	не знает	1	4
