N	3gram	Medvedev_V	Tvorches
1	в то же	5	25
2	то же время	5	24
3	и т д	16	17
4	в том что	5	11
5	в братьях карамазовых	1	9
6	в соответствии с	1	8
7	о том что	3	8
8	и в то	3	7
9	в конечном счете	5	6
10	не может быть	8	6
11	но в то	1	6
12	и т п	9	5
13	в самом деле	1	5
14	в том же	1	5
15	по отношению к	7	5
16	в творческом процессе	1	4
17	до сих пор	2	4
18	по крайней мере	2	4
19	дело не в	1	3
20	в таком случае	1	3
21	сами по себе	1	3
22	чуть ли не	2	3
23	во всяком случае	2	3
24	с другой стороны	8	3
25	хотя и не	1	3
26	и не может	2	3
27	что он не	1	2
28	идеи в их	1	2
29	в данном случае	1	2
30	и в другом	2	2
31	а н майкову	1	2
32	заключает в себе	1	2
33	для того чтобы	3	2
34	в том числе	2	2
35	не значит что	1	2
36	у него в	1	2
37	от декабря года	1	2
38	в этом плане	1	2
39	в конце концов	2	2
40	в этой области	3	2
41	том числе и	2	2
42	к тому же	1	2
43	человека таким образом	1	2
44	не могут быть	4	2
45	в целом и	1	2
46	таким образом и	1	2
47	в связи с	4	2
48	в своем творчестве	3	2
49	в одном из	4	2
50	в свою очередь	1	2
51	вместе с тем	4	2
52	не только для	2	2
53	вспомним хотя бы	1	2
54	в году и	1	2
55	только то что	2	2
56	можно сказать что	4	2
57	на этот вопрос	1	2
58	все же не	1	2
59	о свободе воли	1	2
60	именно в этом	1	2
61	так же как	1	2
62	не только в	2	2
63	от апреля года	2	2
64	нет и не	1	2
65	на этой почве	1	1
66	если можно так	1	1
67	некоторые из них	1	1
68	война и мир	2	1
69	в письме к	11	1
70	как будто бы	1	1
71	не было в	2	1
72	реальной действительности и	3	1
73	том же направлении	1	1
74	во всей ее	1	1
75	о том как	3	1
76	в применении к	1	1
77	том смысле что	1	1
78	в духе чистого	1	1
79	это одна из	1	1
80	в ту же	1	1
81	один из них	1	1
82	значит что он	1	1
83	каждого из действующих	1	1
84	это не противоречит	1	1
85	образом уже в	1	1
86	то или иное	1	1
87	мы говорим о	1	1
88	мало чем отличается	1	1
89	хотя бы и	5	1
90	характер этого воздействия	1	1
91	так и от	2	1
92	таким образом уже	1	1
93	самсонов в братьях	1	1
94	всего произведения в	2	1
95	что в них	1	1
96	в частности в	2	1
97	в процессе художественного	3	1
98	и мы не	1	1
99	и особенно решительно	1	1
100	мы знаем что	2	1
101	ничего общего с	1	1
102	а между тем	1	1
103	другом месте в	1	1
104	бросается в глаза	1	1
105	все же и	1	1
106	все произведение с	1	1
107	братьях карамазовых даже	1	1
108	этой проблемы в	1	1
109	в подавляющем большинстве	1	1
110	от октября года	1	1
111	но и он	2	1
112	одну и ту	1	1
113	то же самое	1	1
114	со всем что	1	1
115	по этому поводу	7	1
116	к тому что	4	1
117	его творчества в	1	1
118	из действительной жизни	1	1
119	тому что автор	1	1
120	бы и в	1	1
121	не может не	2	1
122	по словам м	2	1
123	не является общим	1	1
124	из действующих лиц	1	1
125	января года и	1	1
126	самого автора а	1	1
127	один из элементов	1	1
128	но даже в	1	1
129	купец самсонов в	1	1
130	войны и мира	1	1
131	можно так выразиться	1	1
132	это то что	1	1
133	в художественном произведении	4	1
134	этапом творческого процесса	1	1
135	в известной статье	1	1
136	и эдгар по	1	1
137	а как бы	1	1
138	того или иного	1	1
139	той или иной	1	1
140	равно как и	4	1
141	это вовсе не	1	1
142	а вместе с	1	1
143	но и в	1	1
144	процесса в целом	1	1
145	и ту же	1	1
146	в том смысле	1	1
147	но она не	1	1
148	в чем же	2	1
149	от января года	3	1
150	не заметить что	1	1
151	имеем в виду	1	1
152	он же говорит	1	1
153	в другом месте	2	1
154	можно определить как	2	1
155	в которой он	1	1
156	в действительной жизни	1	1
157	ту или иную	1	1
158	отцов и детей	1	1
159	то что в	1	1
160	может быть в	1	1
161	как видим у	1	1
162	как один из	1	1
163	с одной стороны	2	1
164	действительной жизни и	1	1
165	одном из писем	2	1
166	в стихах и	1	1
167	в то время	1	1
168	таким образом в	2	1
169	со всех сторон	1	1
170	в классической литературе	1	1
171	чем отличается от	1	1
172	по поводу отцов	1	1
173	и в их	1	1
174	и никогда не	2	1
175	запись от октября	1	1
176	со своими героями	1	1
177	процессе художественного творчества	3	1
178	то все же	1	1
179	в прямом смысле	1	1
180	ответ на этот	1	1
181	братьев карамазовых он	1	1
182	можно было бы	2	1
183	не рождается из	2	1
184	героев это не	1	1
185	в этом случае	1	1
186	и борьба противоположностей	1	1
187	поводу отцов и	1	1
188	если он не	1	1
189	связи с его	1	1
190	же как и	1	1
191	и поэтому в	1	1
192	единство и борьба	1	1
193	вопрос о том	1	1
194	это и есть	3	1
195	в виду что	1	1
196	если бы он	1	1
197	только в этом	1	1
198	и в процессе	2	1
199	рождается из ничего	1	1
