N	2gram	Propp_Isto	slovoVRo
1	и в	43	92
2	и т	33	82
3	может быть	22	59
4	и его	10	59
5	в нем	11	59
6	и не	16	51
7	не только	28	44
8	не может	8	41
9	но и	24	39
10	в этом	25	36
11	а не	13	34
12	во всех	1	32
13	точки зрения	3	30
14	так и	6	30
15	могут быть	9	29
16	и др	4	29
17	в пределах	5	29
18	в его	7	27
19	слова в	1	26
20	все это	4	25
21	как бы	5	24
22	то же	11	23
23	и на	7	22
24	как в	6	21
25	не в	9	21
26	вовсе не	3	21
27	в то	2	20
28	прежде всего	3	19
29	как мы	11	19
30	с ним	1	18
31	как и	9	18
32	себя в	2	18
33	таким образом	15	17
34	и даже	4	17
35	все же	13	17
36	все эти	8	17
37	в большинстве	2	17
38	при этом	4	16
39	в них	6	16
40	к своему	3	16
41	но в	15	16
42	и с	10	15
43	человек и	1	15
44	с точки	1	15
45	со своим	1	15
46	там где	8	15
47	только в	8	14
48	узком смысле	1	14
49	в узком	1	14
50	в особенности	3	13
51	на фоне	1	13
52	это не	10	13
53	с другой	10	13
54	с его	1	13
55	и следовательно	1	13
56	и для	3	13
57	и к	4	12
58	еще не	15	12
59	во всяком	2	12
60	никогда не	9	12
61	и потому	2	12
62	или в	14	12
63	а в	13	12
64	отношение к	4	12
65	и наконец	1	12
66	один из	7	11
67	в этих	18	11
68	большинстве случаев	3	11
69	с ними	5	11
70	с одной	2	11
71	на его	5	11
72	в плане	1	11
73	одной стороны	2	11
74	в языке	1	10
75	и их	4	10
76	и все	4	10
77	уже не	11	10
78	все они	1	10
79	т д	30	10
80	в своем	2	10
81	в том	13	10
82	с другими	1	10
83	она не	4	10
84	в себе	2	10
85	далеко не	3	10
86	в него	3	10
87	всех этих	3	10
88	в основном	1	9
89	в своей	4	9
90	конечно не	3	9
91	сказать что	5	9
92	этом случае	8	9
93	так как	13	9
94	здесь в	2	9
95	его в	7	9
96	одна из	2	9
97	героя и	1	9
98	и других	1	9
99	он не	11	9
100	быть и	3	9
101	одним из	4	9
102	и от	3	9
103	но не	10	9
104	с ее	2	9
105	к нему	12	9
106	в самом	1	8
107	для нас	6	8
108	не на	2	8
109	может стать	1	8
110	зависимости от	1	8
111	все время	2	8
112	с этим	13	8
113	в зависимости	1	8
114	человека в	2	8
115	всяком случае	2	8
116	входит в	1	8
117	в одной	4	8
118	человека и	1	8
119	они могут	2	8
120	в ней	3	8
121	во всем	3	7
122	от него	3	7
123	же и	1	7
124	еще более	3	7
125	кроме того	1	7
126	но все	5	7
127	о нем	2	7
128	например в	3	7
129	том что	12	7
130	перед нами	4	7
131	сливается с	1	7
132	но здесь	2	7
133	на своем	1	7
134	здесь не	6	7
135	друг друга	6	7
136	у него	4	7
137	не было	2	7
138	связи с	9	7
139	в таком	1	7
140	мы уже	9	7
141	его не	3	7
