N	2gram	Voloshinov	Hudozhes
1	в мире	1	24
2	и в	13	23
3	не только	6	20
4	состоит в	1	20
5	в том	2	20
6	при этом	2	19
7	может быть	8	19
8	и не	8	16
9	но и	3	14
10	внутренней речи	1	14
11	литературного произведения	2	13
12	а не	2	13
13	но не	1	13
14	а в	2	13
15	в себе	3	13
16	в этом	2	12
17	то же	4	12
18	такого рода	1	12
19	так и	3	12
20	и его	12	12
21	сводится к	1	11
22	как бы	6	11
23	точки зрения	7	11
24	в его	7	11
25	по отношению	3	10
26	но в	4	10
27	отношению к	3	10
28	своего рода	2	9
29	том что	2	9
30	с другой	2	9
31	в искусстве	3	9
32	не в	3	9
33	не может	8	9
34	в области	2	8
35	в то	1	8
36	что в	3	7
37	в самом	2	7
38	только в	6	7
39	в своей	4	7
40	в основе	1	7
41	и т.п	7	7
42	же время	1	7
43	в отличие	1	7
44	отличие от	1	7
45	не столько	3	7
46	как это	1	7
47	по своей	1	7
48	лишь в	4	7
49	отношение к	1	7
50	другой стороны	2	6
51	более или	1	6
52	с ее	1	6
53	художественного творчества	1	6
54	с его	1	6
55	мы имеем	1	6
56	в ее	3	6
57	а также	2	6
58	или менее	1	6
59	в нем	2	6
60	искусства в	1	6
61	хх века	1	5
62	в виду	1	5
63	не на	2	5
64	конечном счете	1	5
65	что он	1	5
66	не менее	2	5
67	не является	4	5
68	того чтобы	1	5
69	для того	1	5
70	как к	1	5
71	для него	2	5
72	прежде всего	9	5
73	в их	3	5
74	а на	1	5
75	в конечном	1	5
76	говоря словами	1	5
77	героя и	2	5
78	то что	6	5
79	могут быть	2	5
80	для себя	2	4
81	организации художественного	1	4
82	эстетического объекта	5	4
83	например в	1	4
84	еще не	1	4
85	в данном	2	4
86	языка в	1	4
87	входит в	2	4
88	в другом	2	4
89	художественного впечатления	1	4
90	говорить о	3	4
91	и т.д	5	4
92	сказать что	1	4
93	к которому	1	4
94	в своем	1	4
95	к тому	2	4
96	во времени	2	4
97	и то	3	4
98	в отношении	2	4
99	его в	1	4
100	эстетический объект	7	4
101	не знает	1	4
102	и как	1	4
103	так в	1	4
104	в себя	1	4
105	того или	2	4
106	между тем	2	4
