N	2gram	Vinokur_St	EvropaiE
1	и в	61	37
2	в отношении	11	32
3	в пределах	1	25
4	точки зрения	16	23
5	что в	41	21
6	не только	36	18
7	с точки	10	17
8	в то	10	16
9	то же	7	15
10	хотя бы	8	15
11	отношении к	3	15
12	в качестве	7	14
13	и не	23	14
14	но и	28	14
15	же время	5	14
16	в своем	8	14
17	но в	16	14
18	в этом	37	12
19	в том	56	11
20	в их	3	11
21	в области	16	11
22	с и	1	10
23	так и	15	10
24	в себе	3	9
25	т е	21	9
26	прежде всего	11	9
27	только в	11	9
28	так же	7	9
29	не может	10	9
30	с одной	3	8
31	в ее	6	8
32	в своей	12	8
33	одной стороны	2	8
34	между тем	7	8
35	было бы	21	8
36	думать что	2	8
37	к тому	9	8
38	так как	7	7
39	того что	14	7
40	а также	4	7
41	как и	11	7
42	между прочим	10	7
43	по своему	2	7
44	также и	10	7
45	с другой	11	7
46	то есть	2	6
47	с этой	5	6
48	и даже	8	6
49	и на	7	6
50	том что	49	6
51	вовсе не	24	6
52	во всех	8	6
53	может быть	16	6
54	того чтобы	15	6
55	для того	15	6
56	стороны и	1	6
57	то что	27	6
58	как бы	8	6
59	на то	5	6
60	в той	9	5
61	как нам	1	5
62	тем самым	2	5
63	в виде	3	5
64	не в	15	5
65	в россии	7	5
66	но не	5	5
67	к которым	1	5
68	от этого	2	5
69	со стороны	7	5
70	и потому	3	5
71	в течение	7	5
72	же как	5	5
73	в частности	6	5
74	как мы	1	5
75	одной из	4	5
76	столь же	5	5
77	но если	5	5
78	и по	6	5
79	в перспективе	1	4
80	в самом	14	4
81	бы то	2	4
82	то в	3	4
83	мы не	3	4
84	даже в	5	4
85	ни было	1	4
86	того или	4	4
87	для нас	7	4
88	иными словами	1	4
89	не на	3	4
90	чем в	3	4
91	и притом	1	4
92	именно в	8	4
93	в процессе	3	4
94	по себе	3	4
95	не имеет	5	4
96	в каком	4	4
97	культуры в	3	4
98	тем более	4	4
99	той или	1	4
100	в полной	1	4
101	вопрос о	9	4
102	но даже	1	4
103	то ни	2	4
104	или иного	4	4
105	как это	6	4
106	россии в	1	4
107	несмотря на	4	4
108	к ней	1	4
109	в ней	9	4
110	сказать что	9	4
111	можно сказать	2	4
112	во многих	3	4
113	или иной	1	4
114	на всем	1	4
115	независимо от	1	4
116	до г	1	3
117	и к	5	3
118	говорит о	5	3
119	применении к	3	3
120	но на	2	3
121	можно ли	5	3
122	всех случаях	1	3
123	в применении	3	3
124	из всех	1	3
125	можно считать	2	3
126	этом отношении	13	3
127	ее в	2	3
128	народ и	1	3
129	что и	8	3
130	в результате	5	3
131	или иную	1	3
132	мы можем	1	3
133	не является	5	3
134	можно было	14	3
135	на себя	3	3
136	и некоторые	1	3
137	дело в	9	3
138	тем что	6	3
139	очевидно что	1	3
140	в таком	4	3
141	вообще не	5	3
142	в деле	3	3
143	как в	15	3
144	в которых	5	3
145	в известном	3	3
146	на своем	1	3
147	бы ни	3	3
148	в них	2	3
149	во всяком	8	3
150	тем в	1	3
151	ни на	3	3
152	бы и	4	3
153	в данном	16	3
154	идет о	3	3
155	не дает	2	3
156	ту или	1	3
157	связано с	1	3
158	потому что	13	3
159	время в	1	3
160	и тем	3	3
161	во второй	10	3
162	на долю	1	3
163	когда он	1	3
164	не будет	1	3
165	и для	4	3
166	потребность в	1	3
167	этом смысле	2	3
168	уже и	1	3
169	отметить что	4	3
170	себе в	2	3
171	в прошлом	1	3
172	к ним	1	3
173	как на	10	3
174	с тем	3	3
175	известном смысле	1	3
176	в данной	2	3
177	и от	2	3
178	место в	2	3
179	о том	30	3
180	в общем	2	3
181	в остальном	1	3
182	от них	1	3
183	там где	6	3
184	и только	3	3
185	всяком случае	8	3
186	того же	4	3
187	в культуре	1	3
188	из них	11	3
189	никогда не	7	3
190	таким образом	16	2
191	иначе говоря	1	2
192	европой и	1	2
193	и то	6	2
194	в другой	1	2
195	во втором	5	2
196	и во	3	2
197	и этот	1	2
198	говоря уже	2	2
199	данном случае	7	2
200	если в	2	2
201	на язык	1	2
202	и сейчас	6	2
203	второй половине	1	2
204	чем на	1	2
205	должна быть	3	2
206	но еще	1	2
207	тогда когда	1	2
208	и имеет	1	2
209	в его	19	2
210	еще более	5	2
211	но также	13	2
212	что это	5	2
213	хотя и	4	2
214	с этим	6	2
215	в некоторых	3	2
216	своей идеологии	1	2
217	какой бы	1	2
218	и тут	1	2
219	и рядом	1	2
220	из того	2	2
221	в содержании	1	2
222	и творчества	2	2
223	для них	2	2
224	народ который	1	2
225	то не	3	2
226	другой стороны	9	2
227	в этих	5	2
228	но нужно	1	2
229	не могут	2	2
230	всех прочих	1	2
231	также в	2	2
232	но с	7	2
233	в своих	2	2
234	при условии	1	2
235	от друга	1	2
236	если бы	11	2
237	или в	1	2
238	в свои	1	2
239	что к	1	2
240	и с	6	2
241	xviii и	1	2
242	и можно	2	2
243	заключается в	5	2
244	и все	3	2
245	дошла до	1	2
246	другой и	1	2
247	представление о	5	2
248	относятся к	3	2
249	стороны в	2	2
250	в какой	4	2
251	вместе с	5	2
252	и как	2	2
253	нас к	2	2
254	как не	1	2
255	случаях когда	1	2
256	притом в	1	2
257	есть в	2	2
258	одном из	4	2
259	между собой	1	2
260	между ними	1	2
261	сравнению с	1	2
262	в сторону	2	2
263	друг от	1	2
264	бы совершенно	1	2
265	в эту	3	2
266	и таким	1	2
267	в других	2	2
268	а именно	3	2
269	культурного творчества	1	2
270	на них	2	2
271	только одно	1	2
272	что эти	1	2
273	не дают	1	2
274	не говоря	2	2
275	но как	1	2
276	участию в	1	2
277	о положении	1	2
278	только к	2	2
279	и других	1	2
280	и более	4	2
281	в котором	11	2
282	или вернее	1	2
283	следовало бы	2	2
284	не означает	1	2
285	и что	8	2
286	более чем	3	2
287	она не	3	2
288	в значительной	2	2
289	именно потому	1	2
290	на основе	1	2
291	по сравнению	1	2
292	он не	11	2
293	окажется что	1	2
294	кажется что	5	2
295	в развитии	2	2
296	и теперь	2	2
297	а не	19	2
298	и та	1	2
299	в одном	7	2
300	отношений между	3	2
301	на основании	2	2
302	на одну	1	2
303	целый ряд	3	2
304	далеко не	1	2
305	этот вопрос	6	2
306	и другая	1	2
307	в истории	5	2
308	констатировать что	1	2
309	каких бы	2	2
310	по своей	2	2
311	и xix	1	2
312	при помощи	4	2
313	а в	18	2
