N	3gram	Tiupa_Vved	Freidism
1	не может быть	6	14
2	по отношению к	11	11
3	в самом деле	2	10
4	в том что	10	9
5	как мы видели	3	8
6	во всяком случае	3	8
7	и прежде всего	1	7
8	в то же	5	6
9	в высшей степени	2	6
10	то же время	4	6
11	с самого начала	1	5
12	можно сказать что	1	5
13	в свою очередь	5	4
14	тем не менее	3	4
15	на самом деле	4	4
16	в зависимости от	1	4
17	в данном случае	15	4
18	в таком случае	1	4
19	в этом отношении	7	4
20	и тот же	1	3
21	все то что	1	3
22	отнюдь не является	1	3
23	для того чтобы	1	3
24	о том что	6	3
25	один и тот	1	3
26	что же касается	2	3
27	к тому чтобы	1	3
28	и той же	1	3
29	внутренней и внешней	1	3
30	прежде всего к	1	3
31	одной и той	1	3
32	но в то	1	3
33	в конечном счете	2	3
34	мы не можем	1	3
35	если бы он	1	3
36	и не может	1	3
37	благодаря тому что	1	2
38	в этом смысле	1	2
39	то или иное	1	2
40	только часть целого	1	2
41	сказать и о	1	2
42	а с другой	3	2
43	в отличие от	11	2
44	к тому что	1	2
45	все что может	1	2
46	это и есть	1	2
47	с одной стороны	9	2
48	то что мы	1	2
49	к этому времени	1	2
50	как раз и	1	2
51	а также и	2	2
52	то же самое	2	2
53	в этом случае	1	1
54	но и не	1	1
55	свою очередь распадается	1	1
56	того или иного	1	1
57	как будто бы	3	1
58	той или иной	4	1
59	о них в	1	1
60	по аналогии с	2	1
61	но и по	1	1
62	и даже не	1	1
63	до известной степени	1	1
64	ни о каких	1	1
65	то что он	1	1
66	ведь есть же	1	1
67	но и в	3	1
68	по крайней мере	1	1
69	по сравнению с	1	1
70	которая далеко не	1	1
71	во всех его	1	1
72	и едва ли	1	1
73	все что находится	1	1
74	обратим внимание на	2	1
75	как бы в	2	1
76	в котором он	1	1
77	в том же	1	1
78	лет тому назад	1	1
79	находится за пределами	1	1
80	всех без исключения	1	1
81	того и другого	1	1
82	следует заметить что	2	1
83	если мы при	1	1
84	очередь распадается на	1	1
85	и то же	1	1
86	и того и	1	1
87	ничего не говорит	1	1
88	в нашем сознании	2	1
89	друг на друга	2	1
90	все же не	1	1
91	говорит нам о	1	1
92	хотя и не	2	1
93	что к этому	1	1
94	не было бы	1	1
95	но не только	1	1
96	но при этом	3	1
97	те же самые	1	1
98	не имея возможности	1	1
99	физическое так и	1	1
100	не что иное	1	1
101	дело в том	1	1
102	иметь в виду	1	1
103	как и все	1	1
104	здесь имеет место	1	1
105	одно и то	1	1
106	имея в виду	1	1
107	ему в голову	2	1
108	каждого из этих	1	1
109	так же как	1	1
110	только потому что	1	1
111	рассуждения такого рода	1	1
112	всяком случае в	1	1
113	и в то	1	1
114	картины мира в	1	1
115	из них не	1	1
116	так и по	1	1
117	в своем собственном	1	1
118	единого в своей	1	1
119	но не в	1	1
120	и со стороны	1	1
121	можно ли признать	1	1
122	на первый взгляд	3	1
123	и все же	6	1
124	в наше время	1	1
125	что как раз	1	1
126	что иное как	1	1
127	что это не	1	1
128	в котором мы	1	1
129	едва ли не	2	1
130	на этом пути	1	1
131	он сам называет	1	1
132	что же остается	1	1
133	из того что	1	1
134	а во время	2	1
135	но в целом	1	1
136	все без исключения	1	1
137	можно было бы	2	1
138	в основе своей	2	1
139	прежде всего на	2	1
140	и потому не	1	1
141	в настоящее время	1	1
