N	3gram	Tiupa_Disk	StatiiOP
1	в том что	18	47
2	о том что	8	29
3	в этом отношении	4	24
4	до сих пор	1	19
5	с точки зрения	3	14
6	с другой стороны	4	13
7	во всяком случае	2	13
8	не может быть	5	11
9	в самом деле	1	9
10	то же время	9	9
11	вместе с тем	1	9
12	на то что	1	9
13	в то же	7	9
14	дело в том	3	9
15	тем не менее	1	8
16	на самом деле	1	8
17	не только в	2	8
18	не в том	3	7
19	в данном случае	6	7
20	но также и	1	7
21	в данном отношении	1	7
22	но все же	1	7
23	заключается в том	1	7
24	том что он	1	7
25	по отношению к	13	6
26	в этом смысле	1	6
27	так и в	4	6
28	том что в	3	6
29	речь идет о	2	6
30	по крайней мере	3	6
31	что он не	1	5
32	говорит о том	1	5
33	в том чтобы	2	5
34	в одной из	2	5
35	в свое время	3	5
36	что же касается	4	5
37	то что в	1	5
38	с самого начала	2	5
39	обратить внимание на	2	5
40	дело не в	1	4
41	так например в	1	4
42	сами по себе	2	4
43	с одной стороны	12	4
44	тем или иным	1	4
45	в связи с	1	4
46	в другом месте	1	4
47	того или иного	2	4
48	в это время	1	4
49	говорит об этом	1	4
50	и мн др	3	4
51	и в том	1	4
52	только потому что	1	3
53	о том как	1	3
54	можно сказать что	3	3
55	говоря уже о	2	3
56	в том числе	3	3
57	более или менее	2	3
58	а с другой	4	3
59	к тому же	4	3
60	в наше время	4	3
61	чем у пушкина	1	3
62	как и вообще	1	3
63	и тем же	1	3
64	а иногда и	1	3
65	только в том	2	3
66	в известном смысле	1	3
67	состоит в том	3	3
68	не говоря уже	2	3
69	одним и тем	1	3
70	в значительной степени	3	3
71	во всех этих	1	3
72	в этом случае	3	3
73	в первую очередь	3	3
74	в русской литературе	2	3
75	прежде всего в	2	3
76	в котором он	1	2
77	в сочетании с	1	2
78	и в другом	1	2
79	и даже не	1	2
80	в той или	1	2
81	хотя бы и	1	2
82	во втором случае	1	2
83	в обоих случаях	1	2
84	между тем как	1	2
85	том числе и	3	2
86	на мой взгляд	3	2
87	и в то	2	2
88	в отличие от	12	2
89	а не в	2	2
90	то же самое	2	2
91	а также и	1	2
92	не только по	1	2
93	сам по себе	1	2
94	в евгении онегине	1	2
95	внимание на то	1	2
96	в свою очередь	3	2
97	той или иной	6	2
98	не могли быть	1	2
99	не столько в	1	2
100	по большей части	1	2
101	с исчерпывающей полнотой	1	2
102	в которой он	1	2
103	в целом ряде	1	2
104	он не может	1	2
105	в этом жанре	2	2
106	хотя бы на	1	2
107	далеко не все	1	2
108	как мы видели	1	2
109	том что и	1	2
110	в равной мере	1	2
111	и то что	2	2
112	до нас не	1	2
113	тем что он	2	2
114	это прежде всего	3	2
115	имеем дело с	1	2
116	как и в	3	2
117	о чем говорят	1	1
118	но все эти	1	1
119	как будто бы	2	1
120	в этом направлении	1	1
121	и те же	1	1
122	не только потому	1	1
123	к одному из	1	1
124	в известной степени	1	1
125	в большинстве случаев	2	1
126	во главе с	1	1
127	из двух или	1	1
128	на почве которого	1	1
129	на том что	1	1
130	что в одном	1	1
131	в частности на	1	1
132	для своего времени	1	1
133	значении этого термина	2	1
134	одни и те	1	1
135	в году как	1	1
136	до наших дней	1	1
137	или иной мере	1	1
138	в том и	1	1
139	ни одно из	2	1
140	в этих жанрах	1	1
141	одной из двух	1	1
142	а в том	2	1
143	все это по	1	1
144	потому что в	2	1
145	друг от друга	1	1
146	свидетельствует о том	1	1
147	и то же	2	1
148	но и вся	1	1
149	на этом основании	1	1
150	при этом и	1	1
151	свою задачу в	1	1
152	в том случае	1	1
153	в европейской поэзии	1	1
154	значение в истории	1	1
155	в такой же	1	1
156	не встречается в	1	1
157	для правильного понимания	1	1
158	нас не дошли	1	1
159	в соответствии с	4	1
160	не было и	1	1
161	что в них	2	1
162	по себе не	2	1
163	в россии в	1	1
164	не могло быть	1	1
165	и времени в	1	1
166	одно из двух	1	1
167	только то что	2	1
168	на этом пути	1	1
169	к этому времени	1	1
170	мысль о возможности	1	1
171	никогда не было	1	1
172	согласно которому в	1	1
173	имея в виду	1	1
174	такого рода в	1	1
175	а также от	1	1
176	но не менее	1	1
177	и не может	3	1
178	мы имеем дело	3	1
179	но одновременно и	1	1
180	вольному воля а	1	1
181	и потому что	1	1
182	одним из наиболее	1	1
183	мысль о том	1	1
184	даже сказать что	1	1
185	еще и в	1	1
186	следует обратить внимание	1	1
187	и может быть	3	1
188	в этом же	1	1
189	это было отмечено	1	1
190	и тому же	1	1
191	и в особенности	2	1
192	истории русской поэзии	1	1
