N	3gram	Tiupa_Anal	Tragedij
1	то же время	7	5
2	в то же	7	5
3	так и в	1	3
4	в том что	12	2
5	и как бы	2	2
6	точно так же	1	2
7	в данном случае	11	2
8	о том что	7	2
9	в отличие от	5	2
10	сам по себе	2	1
11	и он сам	1	1
12	не только по	1	1
13	что при таком	1	1
14	ли есть необходимость	1	1
15	он и в	1	1
16	том что он	2	1
17	в одном из	1	1
18	одно из самых	1	1
19	и даже отчасти	1	1
20	друг перед другом	1	1
21	что он не	2	1
22	а между тем	1	1
23	на всем протяжении	1	1
24	между отцом и	1	1
25	эта встреча не	1	1
26	смысле этого слова	1	1
27	же слова были	1	1
28	случае как и	1	1
29	в конце концов	1	1
30	своего отца и	1	1
31	мысль о том	1	1
32	в частности своего	1	1
33	в применении к	1	1
34	себя а за	1	1
35	не может быть	2	1
36	в этом мире	1	1
37	не за себя	1	1
38	в этом случае	1	1
39	свою жизнь и	1	1
40	и то что	2	1
41	не только не	3	1
42	не могут быть	1	1
43	и сам автор	2	1
44	хотя бы и	1	1
45	и ненавистью к	1	1
46	черт ивана карамазова	1	1
47	как и в	6	1
48	в связи с	1	1
49	и все же	1	1
50	в самом деле	1	1
51	не только к	2	1
52	ивана карамазова в	1	1
53	во всяком случае	6	1
54	тем не менее	3	1
55	к жизни на	1	1
56	в этой связи	1	1
57	в борьбе за	2	1
58	это по слову	1	1
59	он тот кто	1	1
60	по природе своей	3	1
61	после того как	1	1
62	за себя а	1	1
63	отнюдь не является	1	1
