N	2gram	Bakhtin_fo	Mirosoze
1	и в	84	97
2	может быть	18	64
3	не только	16	63
4	в этом	41	55
5	но и	14	54
6	он не	6	53
7	а не	7	53
8	в нем	28	49
9	не может	8	49
10	у него	8	47
11	и не	19	39
12	никогда не	8	38
13	в ней	4	37
14	потому что	11	37
15	не было	8	36
16	не в	10	34
17	и есть	3	33
18	для него	5	31
19	но он	4	30
20	человека в	22	30
21	человеческой природы	2	30
22	как и	15	29
23	прежде всего	28	29
24	и он	3	27
25	в мире	4	27
26	но в	16	27
27	к человеку	1	26
28	человека и	15	26
29	в своей	2	25
30	он был	2	25
31	и это	5	25
32	переходит в	1	24
33	и все	10	24
34	у нас	2	24
35	в своем	8	23
36	что в	9	23
37	что он	2	22
38	в самом	9	21
39	бога и	2	20
40	в себе	7	20
41	отношение к	5	20
42	как бы	11	19
43	до конца	5	19
44	человек не	1	19
45	в его	19	18
46	того что	5	17
47	и потому	4	17
48	том что	7	16
49	в том	16	16
50	на земле	2	16
51	то что	13	16
52	было бы	2	16
53	и его	26	16
54	в котором	8	15
55	не был	2	15
56	не знает	4	15
57	в этой	3	15
58	в конце	11	14
59	человек в	5	14
60	она не	2	14
61	нет ничего	4	14
62	так как	12	14
63	та же	4	13
64	и на	13	13
65	друг друга	3	13
66	и вот	2	13
67	в русском	1	13
68	в них	11	12
69	он сам	2	12
70	и у	8	12
71	но не	9	12
72	смысле слова	4	12
73	в любви	1	12
74	это не	8	12
75	все это	10	12
76	и к	4	11
77	с тем	5	11
78	уже не	5	11
79	хотя бы	2	11
80	в которой	3	11
81	был бы	3	11
82	только в	12	11
83	как в	10	11
84	но это	1	11
85	и для	12	11
86	менее всего	2	11
87	жизни и	12	11
88	то же	18	10
89	так же	7	10
90	человека человек	1	10
91	для человека	1	10
92	образ человека	7	10
93	один из	5	10
94	должна быть	1	10
95	не могут	4	10
96	не имеет	5	10
97	это и	1	10
98	связана с	1	10
99	в самой	3	10
100	есть не	4	10
101	все что	2	9
102	из самых	3	9
103	к тому	6	9
104	он весь	3	9
105	должно быть	6	9
106	что и	5	9
107	человек и	2	9
108	я не	1	9
109	доходит до	1	9
110	то есть	42	9
111	с ним	5	9
112	вместе с	9	9
113	человека на	1	9
114	в свою	2	9
115	и во	13	9
116	свободу и	1	9
117	образ и	1	9
118	бы и	1	9
119	есть и	4	9
120	а в	6	9
121	лишь в	8	9
122	от него	1	8
123	в этих	6	8
124	и с	10	8
125	тем что	4	8
126	человека есть	1	8
127	о том	4	8
128	вопрос о	2	8
129	человека не	1	8
130	себя в	2	8
131	христа и	1	8
132	что не	3	8
133	человеке и	1	8
134	человека он	1	8
135	за пределы	1	8
136	жизнь в	2	8
137	что есть	1	8
138	в отношении	5	8
139	еще в	1	8
140	не знал	1	8
141	нет в	2	8
142	того чтобы	11	8
143	в человека	2	8
144	нет и	4	8
145	с его	10	8
146	ничего не	9	8
147	они не	4	8
148	уже в	5	8
149	мира и	6	8
150	только и	5	8
151	для того	12	8
152	во всем	3	7
153	что человек	1	7
154	раскрывается в	1	7
155	не существует	1	7
156	в нашем	3	7
157	что все	4	7
158	точки зрения	14	7
159	она есть	1	7
160	все в	3	7
161	те же	5	7
162	чем в	3	7
163	на этом	2	7
164	от нее	1	7
165	в жизни	6	7
166	он раскрывает	1	7
167	отношения к	7	7
168	жизни в	11	7
169	себя и	6	7
170	высшей степени	1	7
171	в высшей	1	7
172	должен быть	2	7
173	также и	6	7
174	как он	4	7
175	к другу	2	6
176	же и	2	6
177	самого себя	1	6
178	есть прежде	1	6
179	с этой	3	6
180	не как	2	6
181	к концу	3	6
182	и нет	2	6
