N	3gram	Nazirov_Tr	Mirosoze
1	не может быть	1	28
2	в том что	2	9
3	это и есть	1	9
4	в высшей степени	1	7
5	и в этом	1	6
6	о том что	2	6
7	в братьях карамазовых	1	6
8	и вместе с	1	5
9	после того как	1	5
10	что он не	1	4
11	в конце концов	1	4
12	не в силах	2	4
13	добро и зло	1	4
14	и в самом	2	4
15	толстой и достоевский	1	4
16	у него нет	1	4
17	записках из подполья	1	3
18	том что он	1	3
19	в записках из	2	3
20	к тому что	1	3
21	по сравнению с	1	3
22	как и все	1	3
23	во всяком случае	1	3
24	как и в	1	3
25	у него есть	1	2
26	бы и не	1	2
27	смысле этого слова	1	2
28	никогда не был	1	2
29	хотя бы и	1	2
30	но он сам	1	2
31	по природе своей	1	2
32	бросается в глаза	2	2
33	в своей книге	1	2
34	и не может	1	2
35	он понял что	1	2
36	ивана карамазова в	1	2
37	одно из самых	1	2
38	в xx веке	1	2
39	не могут быть	1	2
40	в бога но	1	2
41	и он сам	1	1
42	униженных и оскорбленных	16	1
43	это должно быть	1	1
44	преступлении и наказании	2	1
45	и добро и	1	1
46	и т п	1	1
47	он перестает быть	1	1
48	в xix веке	1	1
49	говорит не только	1	1
50	и он в	1	1
51	к этой теме	1	1
52	в самом деле	1	1
53	чем он сам	1	1
54	что все это	1	1
55	достоевский никогда не	1	1
56	к личности и	1	1
57	во веки веков	1	1
58	до xx века	1	1
59	уже было в	1	1
60	сам по себе	1	1
61	и должна быть	1	1
62	не может жить	1	1
63	а между тем	1	1
64	своего отца и	1	1
65	вместо того чтобы	1	1
66	между этими двумя	2	1
67	а это было	1	1
68	в этом мире	1	1
69	две неравные части	1	1
70	в отличие от	2	1
71	а стало быть	1	1
72	петра верховенского как	1	1
73	по замыслу достоевского	2	1
74	мы видим уже	1	1
75	не только о	1	1
76	и петра верховенского	1	1
77	начала в человеке	1	1
78	достоевский не раз	1	1
79	на две неравные	1	1
80	несмотря на все	1	1
81	не имеет для	1	1
82	может быть свободен	1	1
83	него есть и	1	1
84	в той же	1	1
85	xx века в	1	1
86	достоевский и в	1	1
87	и не быть	1	1
88	один из первых	1	1
89	но в конце	1	1
90	любовь в которой	1	1
91	за то что	1	1
92	и как бы	2	1
93	и должно быть	1	1
94	ведет к тому	1	1
95	но если он	1	1
96	не случайно достоевский	1	1
97	с того что	1	1
98	в чем же	1	1
99	ничего подобного нет	1	1
100	бунт ивана карамазова	1	1
101	в этой борьбе	1	1
102	в то же	5	1
103	он не любил	1	1
104	у достоевского в	1	1
105	и не случайно	2	1
106	на этот счет	1	1
107	то же время	5	1
108	с такой силой	1	1
109	она все же	1	1
110	с отцом и	1	1
111	и не могли	1	1
112	у достоевского не	1	1
113	но это уже	1	1
114	и все же	1	1
115	в преступлении и	2	1
116	в этом мы	1	1
117	в себе ее	1	1
