N	4gram	Vygotskiy_	VLabPisa
1	в том числе и	3	2
2	одном и том же	2	2
3	с одной стороны и	1	2
4	в том отношении что	1	2
5	приводит к тому что	1	2
6	в этом и заключается	2	2
7	те из них которые	1	2
8	только в том что	4	1
9	с этой точки зрения	4	1
10	в том смысле что	2	1
11	всей ее полноте нам	1	1
12	не чем иным как	1	1
13	как это мы наблюдаем	1	1
14	ни один из них	1	1
15	один из них не	1	1
16	в том случае если	2	1
17	и в результате этого	1	1
18	которая не может быть	1	1
19	одно и то же	6	1
20	высказывается по этому поводу	1	1
21	в целом но и	1	1
22	прежде всего следует отметить	1	1
23	во всей ее полноте	1	1
24	одну и ту же	1	1
25	же как и все	1	1
26	с другой стороны он	1	1
27	так же как и	6	1
28	в то время как	5	1
29	и вместе с тем	2	1
