N	2gram	Trubetskoy	Stilisti
1	и в	14	42
2	как бы	4	30
3	не только	9	28
4	прежде всего	8	22
5	и т.д	4	21
6	хотя бы	5	18
7	то же	11	16
8	но и	10	16
9	и не	19	14
10	может быть	9	13
11	не может	22	13
12	как и	4	12
13	мы уже	2	11
14	точки зрения	11	11
15	в этом	17	10
16	в себе	9	10
17	и как	3	10
18	общественной жизни	2	10
19	мы должны	7	10
20	как мы	1	10
21	отнюдь не	7	10
22	мы не	1	9
23	при этом	5	9
24	все же	4	9
25	язык и	1	9
26	то что	13	9
27	для того	6	9
28	в то	10	9
29	таким образом	11	8
30	так как	4	8
31	с тем	6	8
32	и это	1	8
33	в ней	2	8
34	тем самым	2	8
35	что же	4	8
36	и на	5	7
37	так и	1	7
38	мы можем	2	7
39	только в	5	7
40	в которой	1	7
41	потому что	5	7
42	того чтобы	8	7
43	и тем	2	7
44	же время	10	7
45	было бы	5	7
46	и от	2	7
47	в зависимости	1	7
48	а не	2	7
49	никогда не	5	7
50	во всех	5	6
51	в его	4	6
52	не в	4	6
53	в нем	5	6
54	в конце	3	6
55	но ведь	1	6
56	на его	1	6
57	бы в	1	6
58	в свою	1	6
59	в этой	4	6
60	точку зрения	4	6
61	или иной	5	6
62	в области	2	6
63	в самом	3	5
64	то есть	1	5
65	и их	1	5
66	с точки	9	5
67	те же	1	5
68	не является	1	5
69	самом деле	7	5
70	но все	1	5
71	и с	7	5
72	но в	2	5
73	тому что	2	5
74	вместе с	4	5
75	своей жизни	1	5
76	того или	2	5
77	тем у	1	5
78	а с	2	5
79	как это	1	5
80	и является	2	5
81	а в	5	5
82	же самое	1	5
83	в сознании	3	5
84	и то	4	5
85	же мы	1	5
86	или иного	2	5
87	и наконец	2	5
88	всего в	1	4
89	были бы	2	4
90	и к	6	4
91	один из	1	4
92	что это	3	4
93	на него	1	4
94	что такое	2	4
95	все это	6	4
96	в качестве	3	4
97	влияние на	1	4
98	его в	4	4
99	если бы	6	4
100	и все	1	4
101	с самого	1	4
102	да и	3	4
103	как только	1	4
104	уже не	2	4
105	к тому	7	4
106	о том	7	4
107	связаны с	1	4
108	и без	1	4
109	вопроса о	1	4
110	той или	3	4
111	самого начала	1	4
112	к данной	1	4
113	можно сказать	1	4
114	если мы	1	4
115	языка и	1	4
116	зрения в	1	4
117	о своей	1	4
118	заключает в	1	4
119	можно было	4	4
120	свою очередь	1	4
121	в обществе	1	4
122	на это	2	4
123	так же	2	4
124	лишь в	3	4
125	себя в	4	4
126	в данной	1	4
127	тем же	1	4
128	не знаем	1	4
129	тех или	1	4
130	само собой	1	4
131	точка зрения	1	4
132	не просто	2	4
133	того что	3	4
134	не к	2	4
135	представить себе	2	3
136	не так	2	3
137	этом случае	3	3
138	что оно	3	3
139	что у	1	3
140	что эти	1	3
141	совершенно не	2	3
142	если он	1	3
143	для нас	2	3
144	и вот	2	3
145	в том	17	3
146	или иных	1	3
