N	4gram	Bakhtin_Pr	VerxiiNi
1	в том числе и	13	4
2	в то же время	8	2
3	до сих пор еще	2	2
4	можно сказать что в	1	1
5	состоит в том что	1	1
6	о том что все	1	1
7	но тем не менее	1	1
8	с нашей точки зрения	1	1
9	широком смысле этого слова	1	1
10	мы можем составить себе	1	1
11	в одном из своих	1	1
12	с точки зрения того	1	1
13	но в то же	3	1
14	сих пор еще недостаточно	2	1
15	в широком смысле этого	1	1
16	мы имеем в виду	3	1
17	и в то же	3	1
18	все более и более	1	1
19	точки зрения того же	1	1
20	к мысли о самоубийстве	1	1
21	один и тот же	1	1
