N	2gram	Medvedev_F	DiskursI
1	в качестве	2	72
2	а не	11	60
3	может быть	30	56
4	не только	14	49
5	и в	54	49
6	как и	18	47
7	тогда как	1	47
8	при этом	14	46
9	и не	34	44
10	в том	17	44
11	том что	3	40
12	в этом	39	38
13	в себе	4	37
14	состоит в	3	37
15	в частности	4	36
16	но и	18	35
17	своего рода	1	32
18	но не	5	31
19	отличие от	2	28
20	со стороны	7	28
21	но в	9	28
22	так и	24	28
23	в отличие	2	27
24	не может	26	27
25	по своей	1	26
26	как в	12	25
27	такого рода	1	24
28	отнюдь не	13	23
29	еще не	6	23
30	а также	1	20
31	в своей	16	19
32	все же	8	19
33	в нем	25	19
34	прежде всего	34	19
35	далеко не	2	18
36	в основе	7	18
37	данного жанра	1	18
38	то же	16	17
39	в данном	2	17
40	с другой	8	17
41	в мире	4	17
42	по отношению	4	17
43	отношению к	4	17
44	точки зрения	21	16
45	только в	6	16
46	о том	1	15
47	то что	14	15
48	роль в	2	15
49	в его	30	15
50	не менее	12	14
51	можно сказать	2	14
52	одной стороны	5	14
53	с одной	5	14
54	не в	16	14
55	ни к	1	14
56	не является	3	14
57	это не	4	14
58	или иной	1	14
59	речевого общения	6	13
60	как бы	10	13
61	для него	9	13
62	в целом	7	13
63	в своих	3	12
64	ведет к	1	12
65	в своем	12	12
66	того же	1	12
67	и на	10	12
68	и все	9	12
69	данном случае	2	12
70	по мысли	1	11
71	по природе	1	11
72	не было	7	11
73	не сводится	2	11
74	столь же	2	11
75	что в	10	11
76	с его	12	11
77	и как	6	11
78	не столько	5	10
79	той или	1	10
80	а с	1	10
81	а в	11	10
82	же время	13	10
83	также и	1	10
84	в них	4	9
85	уже не	9	9
86	себя в	1	9
87	между тем	4	9
88	в силу	1	9
89	в то	14	9
90	сводится к	6	9
91	художественного целого	2	9
92	еще в	2	9
93	тем самым	5	9
94	этого жанра	1	8
95	в этих	3	8
96	и даже	7	8
97	к тому	6	8
98	в котором	2	8
99	в одном	2	8
100	из них	5	8
101	хотя и	3	8
102	он не	8	8
103	если в	3	8
104	не на	3	8
105	не следует	5	8
106	жизни в	2	8
107	потому что	2	8
108	этом отношении	7	8
109	не с	2	8
110	и о	3	8
111	другой стороны	5	7
112	таким образом	28	7
113	в русской	1	7
114	одной из	2	7
115	что и	10	7
116	его в	5	7
117	к этому	3	7
118	в этой	10	7
119	могут быть	7	7
120	например в	1	7
121	ни в	3	7
122	в составе	1	7
123	в процессе	17	7
124	приводит к	4	7
125	перед нами	3	7
126	той же	2	7
127	но это	4	7
128	и для	5	7
129	в пределах	13	7
130	лишь в	15	7
131	и ее	15	7
132	и его	27	7
133	мира в	2	7
134	не как	7	6
135	в строгом	2	6
136	именно в	12	6
137	в противовес	2	6
138	в контексте	2	6
139	одна из	2	6
140	крайней мере	1	6
141	никогда не	6	6
142	то в	3	6
143	с точки	17	6
144	в ее	10	6
145	не знает	1	6
146	во всех	9	6
147	в особенности	7	6
148	в сущности	3	6
149	и то	1	6
150	имеет место	1	6
151	что он	8	6
152	к его	3	6
153	собственно и	1	6
154	по крайней	1	6
155	в истории	10	6
156	что же	6	6
157	здесь не	5	6
158	одновременно и	1	6
159	дело в	1	6
160	в эпоху	2	6
161	и может	6	6
162	отношение к	4	6
163	одного из	4	6
164	в той	3	5
165	можно говорить	2	5
166	строго говоря	1	5
167	в виду	2	5
168	по своим	1	5
169	в ряду	2	5
170	было в	3	5
171	своей природе	1	5
172	в другом	2	5
173	но они	1	5
174	говорить о	4	5
175	не обязательно	1	5
176	значительной степени	3	5
177	не вполне	1	5
178	свою очередь	6	5
179	сказать что	3	5
180	несмотря на	2	5
181	проявляется в	1	5
182	как раз	8	5
183	так сказать	6	5
184	же касается	1	5
185	в сторону	4	5
186	внутренней речи	1	5
187	на этом	2	5
188	но при	1	5
189	рода в	1	5
190	подход к	2	5
191	с ее	7	5
192	тем что	6	5
193	во второй	3	5
194	во втором	7	5
195	один из	4	5
196	себе не	1	5
197	за пределы	2	5
198	оно не	6	5
199	в свою	8	5
200	в значительной	3	5
201	известной степени	4	5
202	ничего не	5	5
203	того что	7	5
204	в литературе	6	5
205	общения в	3	5
206	по композиции	1	5
207	о нем	1	5
208	здесь в	2	5
209	в ней	15	5
210	и состоит	1	5
211	мира и	1	5
212	в их	16	5
213	и потому	9	5
214	из этих	4	5
215	что касается	1	5
216	но она	1	5
217	стороны и	4	5
218	становления и	3	5
219	не к	2	5
220	в самом	17	4
221	и к	7	4
222	оказывается не	1	4
223	говорит о	1	4
224	общения и	3	4
225	в году	2	4
226	в результате	8	4
227	и само	2	4
228	в первом	8	4
229	ни одна	2	4
230	или на	2	4
231	и до	8	4
232	в жизни	3	4
233	его на	1	4
234	отличается от	4	4
235	во всяком	6	4
236	между двумя	3	4
237	чего не	1	4
238	только на	8	4
239	из виду	3	4
240	а сам	2	4
241	с читателем	1	4
242	точка зрения	3	4
243	что они	4	4
244	по преимуществу	6	4
245	указать на	2	4
246	в произведении	2	4
247	тем не	2	4
248	аналогии с	4	4
249	связи с	12	4
250	не о	7	4
251	одним из	1	4
252	что не	4	4
253	не есть	4	4
254	по себе	10	4
255	и это	4	4
256	и тем	3	4
257	как это	8	4
258	должны быть	6	4
259	хотя в	1	4
260	это в	1	4
261	и есть	1	4
262	события в	1	4
263	или иного	8	4
264	однако и	3	4
265	опирается на	1	4
266	жизни а	2	4
267	с ним	3	4
268	из того	1	4
269	не могут	8	4
270	особого рода	1	4
271	с ней	1	4
272	можно назвать	1	4
273	произведение в	3	4
274	к другому	2	4
275	в становлении	1	4
276	в современном	2	4
277	тот или	2	4
278	в данной	1	4
279	и во	2	4
280	до конца	9	4
281	мире в	1	4
282	до известной	3	4
283	у них	3	4
284	неотделимо от	1	4
285	этом случае	1	4
286	зависит от	2	4
287	мы имеем	1	4
288	не для	4	4
289	во внешнем	2	4
290	и др	8	4
291	или в	2	4
292	в какой	3	4
293	однако это	1	4
294	по своему	1	4
295	но уже	1	4
296	на его	2	4
297	вследствие чего	1	4
298	а на	2	4
299	того или	6	4
300	может иметь	1	4
301	а к	2	4
302	одну из	1	4
303	своей основе	1	4
304	и прежде	3	4
305	может и	2	4
306	настоящего времени	3	4
307	более того	6	4
308	более не	1	3
309	является в	2	3
310	говоря уже	1	3
311	характер и	2	3
312	более или	7	3
313	в мифе	1	3
314	но все	4	3
315	и сам	1	3
316	к другим	4	3
317	их в	2	3
318	направлен на	1	3
319	на первый	1	3
320	тенденция к	2	3
321	с этим	6	3
322	в действительности	3	3
323	вопрос о	3	3
324	входит в	8	3
325	различия между	1	3
326	как на	5	3
327	момент в	1	3
328	базируется на	1	3
329	о ней	1	3
330	в лингвистике	1	3
331	на почве	20	3
332	к которому	2	3
333	опираясь на	1	3
334	и притом	2	3
335	или не	1	3
336	в которой	5	3
337	исторической поэтики	3	3
338	из важнейших	2	3
339	по аналогии	5	3
340	на себя	1	3
341	в области	6	3
342	между собой	1	3
343	как у	1	3
344	о себе	1	3
345	но как	2	3
346	и что	2	3
347	в тех	1	3
348	для человека	1	3
349	в форме	2	3
350	то ни	5	3
351	было бы	10	3
352	не будучи	1	3
353	его как	5	3
354	о его	1	3
355	и от	9	3
356	жанр и	1	3
357	ней в	1	3
358	бы быть	3	3
359	и по	3	3
360	в точке	1	3
361	этого термина	2	3
362	мире и	1	3
363	из возможных	2	3
364	они и	2	3
365	должна быть	11	3
366	литературного произведения	6	3
367	текста и	1	3
368	в структуре	2	3
369	заключается в	1	3
370	отношения к	6	3
371	как не	1	3
372	вместе с	8	3
373	не имеет	2	3
374	да и	1	3
375	роли в	4	3
376	но оно	1	3
377	это и	7	3
378	и более	4	3
379	языка и	13	3
380	это понятие	1	3
381	идет о	3	3
382	но здесь	1	3
383	слова и	5	3
384	теории в	1	3
385	значение для	2	3
386	в первых	1	3
387	в обоих	1	3
388	речи в	1	3
389	тем же	3	3
390	как мы	10	3
391	то она	1	3
392	к миру	2	3
393	всяком случае	6	3
394	жизни не	2	3
395	к содержанию	1	3
396	воззрения на	1	3
397	жизни но	2	3
398	на языке	2	3
399	ему в	1	3
400	они не	7	3
401	произведения как	3	3
402	том числе	1	3
403	уже в	1	3
404	мы не	6	3
405	внешнем мире	1	3
406	в формах	4	3
407	с их	2	3
408	место в	8	3
409	однако не	5	3
410	а о	4	3
411	и всякое	5	3
412	виду что	3	3
413	в литературу	1	3
414	как целого	1	3
415	и без	1	3
416	не подлежит	1	3
417	все эти	12	3
418	или даже	3	3
419	ли не	1	3
420	в каждой	1	3
421	или менее	7	3
422	особенно в	6	3
423	знаменательно что	1	3
424	мере в	1	3
425	не говоря	1	3
426	том случае	2	3
427	она не	8	3
428	хотя бы	10	3
429	когда он	3	3
430	при всем	1	3
431	в большинстве	6	3
432	числе и	1	3
433	к ней	3	3
434	слова в	2	3
435	жизни и	10	3
436	уже о	1	3
437	бытия в	3	3
438	для этого	6	3
439	и наконец	7	3
440	что на	3	3
441	и иные	3	3
442	что было	2	2
443	во всем	3	2
444	формы художественного	1	2
445	процессе становления	1	2
446	для всех	2	2
447	в душе	2	2
448	с этой	4	2
449	еще более	6	2
450	что делает	1	2
451	о них	1	2
452	в некоторых	2	2
453	можно определить	1	2
454	те же	1	2
455	требует от	2	2
456	из ее	2	2
457	не сможет	2	2
458	в предыдущей	2	2
459	быть признана	1	2
460	и с	17	2
461	о мире	2	2
462	происходит не	1	2
463	их взаимоотношения	1	2
464	смыслом а	1	2
465	от всего	1	2
466	и требует	1	2
467	представление о	2	2
468	ранний период	1	2
469	в собственном	1	2
470	только через	1	2
471	ему по	1	2
472	конструктивное значение	9	2
473	это бывает	1	2
474	большей или	1	2
475	значение не	2	2
476	установку на	1	2
477	так например	3	2
478	в центр	1	2
479	не могли	2	2
480	этого понятия	1	2
481	представления о	1	2
482	в нескольких	1	2
483	для того	3	2
484	и другой	1	2
485	которых не	1	2
486	а непосредственно	2	2
487	с помощью	13	2
488	в ранний	1	2
489	в различных	2	2
490	обращаясь к	1	2
491	к которой	1	2
492	а между	1	2
493	уже как	3	2
494	углом зрения	1	2
495	о литературе	9	2
496	самого начала	2	2
497	точке зрения	1	2
498	то чтобы	2	2
499	жизни как	1	2
500	том чтобы	3	2
501	все то	1	2
502	установка на	3	2
503	в нашем	2	2
