N	3gram	Losev_Vesc	Poddanst
1	то же время	4	7
2	в то же	5	7
3	в отношении к	2	5
4	в том что	9	4
5	не только в	5	4
6	сами по себе	3	3
7	в настоящий момент	1	3
8	с точки зрения	6	3
9	с одной стороны	3	3
10	и как раз	1	2
11	в полной мере	1	2
12	но и в	1	2
13	заключается в том	3	2
14	не только это	3	2
15	в ней не	1	2
16	и в то	3	2
17	и не только	6	2
18	одной стороны и	1	2
19	мы все же	1	1
20	и т д	36	1
21	вопрос об отношении	1	1
22	не было бы	1	1
23	друг с другом	2	1
24	как она есть	3	1
25	и движение и	1	1
26	именно потому что	1	1
27	с тем же	1	1
28	не только мы	1	1
29	и в частности	2	1
30	в и т	1	1
31	только мы не	1	1
32	тех кто не	1	1
33	в последние годы	2	1
34	далеко не все	1	1
35	вместе с тем	3	1
36	но в то	1	1
37	в отрыве от	3	1
38	вопрос о смысле	1	1
39	в применении к	2	1
40	само по себе	4	1
41	не может быть	22	1
42	та или иная	1	1
43	иному как к	1	1
44	не может идти	1	1
45	но также и	1	1
46	ни на какие	1	1
47	в отдельности и	2	1
48	можно говорить о	2	1
49	в этом смысле	2	1
50	по сравнению с	7	1
51	есть прежде всего	4	1
52	чему иному как	1	1
53	бы что мы	1	1
54	и то что	5	1
55	в xix веке	1	1
56	и есть в	1	1
57	есть как бы	3	1
58	которая ни к	1	1
59	в собственном смысле	3	1
60	такою как она	1	1
61	но в этом	1	1
62	хотя бы и	2	1
63	главным образом на	1	1
64	т е наличие	1	1
65	вобрать в себя	1	1
66	значило бы что	3	1
67	что это значит?	4	1
68	во всяком случае	2	1
69	что с точки	1	1
70	для того чтобы	2	1
71	и т е	1	1
72	что то же	2	1
73	с другой стороны	3	1
74	к чему иному	1	1
75	именно на этой	1	1
76	и не может	1	1
77	не в том	1	1
78	она может и	1	1
79	и не относятся	1	1
80	более или менее	4	1
81	ясно что если	1	1
82	так же как	2	1
83	только в виде	1	1
84	для тех кто	1	1
85	тот или иной	1	1
86	или хотя бы	1	1
87	и в этом	2	1
88	или что то	2	1
89	а в с	1	1
