N	2gram	Vygotskiy_	Istorich
1	и в	55	181
2	и т	12	160
3	т д	6	142
4	может быть	34	115
5	не только	24	114
6	что он	30	111
7	мы имеем	10	102
8	что в	43	90
9	но и	16	85
10	в этом	30	81
11	так как	20	75
12	то что	69	73
13	таким образом	35	72
14	вместе с	16	71
15	и не	19	67
16	мы видим	13	65
17	все же	11	65
18	в этих	3	64
19	еще не	6	63
20	не может	15	61
21	так же	19	57
22	то же	16	56
23	никогда не	15	56
24	в том	50	53
25	том что	46	53
26	а в	7	52
27	с другой	12	52
28	потому что	48	52
29	и что	45	51
30	и здесь	11	51
31	что и	11	51
32	мы видели	2	49
33	а не	16	48
34	о том	24	48
35	его в	2	47
36	не в	12	47
37	другой стороны	8	46
38	превращается в	2	45
39	мы должны	10	44
40	но в	7	44
41	это не	9	43
42	и его	10	43
43	мы знаем	4	42
44	в нем	13	42
45	только в	12	42
46	показывает что	3	42
47	как в	4	42
48	представление о	1	41
49	или в	6	39
50	что герой	3	38
51	тем что	8	38
52	и на	12	38
53	в его	8	38
54	для нас	9	38
55	как и	9	37
56	уже не	1	37
57	мы уже	7	37
58	он не	10	37
59	что здесь	3	37
60	так и	6	37
61	знаем что	5	36
62	мы увидим	11	36
63	мы можем	8	36
64	что они	11	35
65	с тем	10	35
66	мы не	8	35
67	здесь мы	2	35
68	все эти	5	35
69	связи с	2	34
70	но не	9	34
71	у него	9	34
72	во время	4	34
73	что это	15	34
74	видим что	5	34
75	же как	4	33
76	там где	6	33
77	об этом	5	33
78	сих пор	9	32
79	в качестве	2	32
80	один из	9	31
81	прежде всего	6	31
82	то это	6	31
83	так в	4	31
84	представляет собой	2	31
85	власть над	1	31
86	ничего не	4	31
87	с этим	4	30
88	с одной	15	30
89	в русской	1	30
90	до сих	9	30
91	к нему	1	30
92	этот мотив	1	30
93	при помощи	5	30
94	этом случае	2	29
95	но все	5	29
96	одной стороны	15	29
97	как мы	6	29
98	но это	2	29
99	и другие	3	28
100	что она	10	28
101	и с	3	28
102	например в	2	28
103	героя в	3	27
104	здесь можно	1	27
105	так что	8	27
106	могут быть	8	27
107	того что	12	27
108	как он	6	27
109	как это	16	26
110	на него	4	26
111	и др	2	26
112	представляют собой	2	26
113	предположить что	2	26
114	в ней	5	26
115	вопрос о	6	25
116	и он	7	25
117	не менее	1	24
118	к этому	5	24
119	было бы	15	24
120	того как	4	24
121	в виде	3	24
122	если бы	21	24
123	что мы	12	24
124	их в	4	23
125	как бы	33	23
126	и это	13	23
127	показывают что	1	23
128	в этой	15	23
129	имеем в	1	23
130	все это	8	23
131	когда он	10	23
132	в частности	6	23
133	с ним	4	22
134	при этом	11	22
135	в некоторых	2	22
136	связано с	1	21
137	в другом	3	21
138	в одном	5	21
139	сказать что	14	21
140	совершенно ясно	13	21
141	о смерти	9	21
142	здесь не	1	21
143	к тому	12	21
144	они не	3	21
145	ее в	2	21
146	из них	7	20
147	из этих	4	20
148	она не	1	20
149	наряду с	1	20
150	одна из	6	20
151	в свете	1	20
152	в других	1	20
153	в силу	3	20
154	видели что	1	20
155	другими словами	1	20
156	а затем	2	19
157	с собой	3	19
158	так например	5	19
159	мы рассмотрим	1	19
160	что у	7	19
161	на том	4	19
162	но он	6	19
163	в тех	3	19
164	в другой	1	19
165	на то	27	19
166	и как	10	19
167	после того	1	19
168	после этого	1	18
169	и говорит	4	18
170	в то	6	18
171	что этот	3	18
172	не все	3	18
173	в данном	4	18
174	вовсе не	8	18
175	в них	7	17
176	нас к	1	17
177	очень много	1	17
178	и этим	1	17
179	выше мы	1	17
180	том как	1	17
181	то и	1	17
182	по существу	4	17
183	и только	5	17
184	и она	1	16
185	во всех	6	16
186	этот вопрос	6	16
187	всех этих	3	16
188	и они	1	16
189	то мы	2	16
190	в котором	5	16
191	и действительно	2	16
192	и все	15	16
193	со стороны	3	16
194	перед нами	5	16
195	связана с	1	16
196	даже в	2	15
197	в пределах	3	15
198	случаи когда	1	15
199	увидим что	13	15
200	что при	5	15
201	но есть	1	15
202	в особенности	3	15
203	уже знаем	1	15
204	и то	12	15
205	в своей	8	15
206	в которых	4	15
207	данном случае	4	15
208	его и	2	15
209	и там	2	15
210	в одной	4	15
211	и эти	3	15
212	как будто	7	15
213	и даже	4	15
214	на его	4	15
215	и тем	6	15
216	он в	3	15
217	друг друга	1	15
218	тот кто	1	15
219	в целом	7	15
220	с этой	5	14
221	от него	5	14
222	но мы	4	14
223	по отношению	3	14
224	находится в	2	14
225	можно было	6	14
226	мы еще	2	14
227	в него	5	14
228	и ее	1	14
229	одной из	2	14
230	у нас	7	14
231	образом мы	3	14
232	его на	2	14
233	должна быть	2	14
234	но они	2	14
235	и есть	7	14
236	из которых	5	14
237	с ней	1	14
238	такое же	1	14
239	должен был	7	14
240	а также	1	14
241	отношение к	1	14
242	него и	1	14
243	отношению к	2	14
244	и наконец	5	14
245	или на	2	13
246	в своем	12	13
247	на котором	1	13
248	время как	5	13
249	по себе	13	13
250	то время	4	13
251	и для	13	13
252	в себе	13	13
253	все что	1	13
254	установить что	1	13
255	не просто	6	13
256	и у	1	13
257	на этом	11	13
258	в форме	2	13
259	в нее	3	13
260	и от	2	13
261	с ними	1	13
262	не имеет	2	13
263	смерти и	1	13
264	в руки	3	13
265	его не	2	13
266	и если	13	13
267	что иное	2	13
268	во всем	3	12
269	кроме того	1	12
270	попасть в	1	12
271	хотя бы	5	12
272	к себе	1	12
273	и герой	2	12
274	ответ на	5	12
275	о нем	3	12
276	в их	3	12
277	к ней	3	12
278	к этой	2	12
279	как только	5	12
280	не знает	2	12
281	одним из	1	12
282	что не	5	12
283	ни один	2	12
284	дает ему	2	12
285	за ним	3	12
286	и их	3	12
287	у нее	1	12
288	только после	1	12
289	точки зрения	15	11
290	ясно что	10	11
291	от этого	1	11
292	должны быть	1	11
293	главным образом	3	11
294	никто не	4	11
295	иное как	2	11
296	в очень	1	11
297	только с	3	11
298	уже в	7	11
299	на нее	2	11
300	же в	3	11
301	происходит в	1	11
302	если он	2	11
303	но уже	2	11
304	не что	2	11
305	хотя и	1	11
306	должно было	2	11
307	же мы	3	11
308	относится к	2	11
309	но оно	1	11
310	дает нам	2	11
311	и вот	7	11
312	на которой	1	11
313	и более	1	11
314	такой же	2	11
315	человека в	3	11
316	далеко не	4	11
317	и к	5	10
318	он видит	5	10
319	не как	3	10
320	на земле	1	10
321	от них	1	10
322	но так	1	10
323	указать что	1	10
324	не было	2	10
325	в которой	4	10
326	за собой	1	10
327	а с	7	10
328	и тот	2	10
329	вступает в	1	10
330	вслед за	3	10
331	еще один	2	10
332	что же	1	10
333	но если	3	10
334	ее на	1	10
335	однако это	1	10
336	связаны с	2	10
337	и других	2	10
338	о чем	4	10
339	говорит о	5	10
340	их не	2	10
341	там же	1	10
342	в это	2	10
343	на этой	1	10
344	не должен	1	10
345	друг с	6	10
346	не мог	1	10
347	себя в	4	10
348	в состоянии	3	10
349	в ее	3	10
350	но как	3	10
351	ни в	5	10
352	если не	2	10
353	своего отца	1	10
354	только одна	2	10
355	он может	3	10
356	а на	1	10
357	указывает на	8	10
358	есть только	3	10
359	что эти	4	10
360	что эта	8	10
361	не можем	8	10
362	более или	1	9
363	на первый	2	9
364	не представляет	1	9
365	только на	4	9
366	том чтобы	7	9
367	она в	1	9
368	но для	1	9
369	очень ясно	1	9
370	в чем	1	9
371	героя и	9	9
372	сюда же	1	9
373	не будет	3	9
374	и хотя	3	9
375	социальной жизни	1	9
376	детей и	1	9
377	тогда когда	1	9
378	превращаться в	1	9
379	и так	4	9
380	зависимости от	9	9
381	это и	7	9
382	в течение	2	9
383	в свою	3	9
384	целый ряд	5	9
385	на этот	7	9
386	тот же	5	9
387	он должен	8	9
388	бы мы	7	9
389	из этого	7	9
390	из другой	1	9
391	он имеет	1	9
392	которой он	1	9
393	когда она	3	9
394	следующим образом	2	9
395	не могут	4	9
396	в себя	2	9
397	или же	1	9
398	а как	3	9
399	означает что	1	9
400	если это	4	9
401	здесь нет	1	9
402	в основе	9	9
403	по воздуху	1	9
404	в истории	1	9
405	с его	6	9
406	из него	1	9
407	же не	2	9
408	так часто	1	9
409	но по	1	9
410	с другом	6	9
411	или менее	1	9
412	это так	2	9
413	стороны и	5	9
414	приводит к	2	9
415	что на	6	9
416	по этому	5	9
417	жизни и	8	9
418	этот материал	2	8
419	только что	11	8
420	это значит	2	8
421	и сам	1	8
422	именно в	9	8
423	во всяком	2	8
424	он был	3	8
425	конечно не	3	8
426	они должны	2	8
427	есть еще	1	8
428	чем это	4	8
429	на другой	2	8
430	приводят к	1	8
431	мы будем	3	8
432	доказывает что	1	8
433	не так	4	8
434	та же	6	8
435	на нем	1	8
436	также что	1	8
437	подобно тому	1	8
438	с целью	1	8
439	в отдельности	1	8
440	из его	4	8
441	именно на	6	8
442	и наоборот	2	8
443	у них	1	8
444	смерть и	1	8
445	независимо от	1	8
446	смысле этого	1	8
447	ту же	3	8
448	и другое	6	8
449	или даже	1	8
450	что им	2	8
451	и потому	8	8
452	но она	3	8
453	не с	2	8
454	оказывается что	2	8
455	тем самым	1	8
456	но вместе	1	8
457	на смерть	1	8
458	могло быть	2	8
459	же самое	13	8
460	частный случай	1	8
461	которые в	2	8
462	для этого	12	8
463	или по	1	8
464	одно из	1	8
465	можно сказать	4	8
466	а он	1	8
467	в зависимости	7	8
468	тут же	1	8
469	она и	1	8
470	что его	2	8
471	здесь же	2	8
472	не дает	2	8
473	надо сказать	2	8
474	ни одной	2	8
475	это положение	1	8
476	образом и	3	8
477	его с	2	8
478	не говорится	1	8
479	и из	3	8
480	большей частью	1	8
481	во сне	1	8
482	кажется что	2	8
483	что такое	2	8
484	здесь в	2	8
485	и эта	2	8
486	вообще не	1	8
487	смерти в	2	8
488	должен быть	3	8
489	это явление	1	8
490	он говорит	5	8
491	тому как	3	8
492	в жизни	2	8
493	от того	6	8
494	на это	3	8
495	не столько	1	7
496	и когда	12	7
497	для объяснения	1	7
498	будто бы	3	7
499	тому что	11	7
500	не есть	4	7
501	между собой	2	7
502	о которых	3	7
503	здесь и	1	7
504	в эту	2	7
505	под влиянием	3	7
506	между тем	4	7
507	мы опять	1	7
508	над ним	2	7
