N	4gram	Tiupa_Hudo	Istorich
1	мы уже знаем что	1	9
2	так же как и	1	9
3	но тем не менее	2	6
4	с этой точки зрения	1	6
5	точно так же как	1	6
6	состоит в том что	3	4
7	то же самое что	2	4
8	в тот момент когда	3	4
9	с одной стороны и	1	3
10	дело не только в	2	3
11	о том что в	3	3
12	в том что он	1	2
13	но все же не	1	2
14	и то и другое	1	2
15	на самом же деле	1	2
16	тот момент когда он	2	2
17	дело в том что	1	2
18	мы знаем что он	1	2
19	в том числе и	1	2
20	отличаются друг от друга	1	1
21	является не чем иным	1	1
22	есть на самом деле	1	1
23	и т д он	1	1
24	не потому что он	1	1
25	в том смысле как	1	1
26	служит не только для	1	1
27	в том что в	1	1
28	тот момент когда его	1	1
29	в связи с этим	2	1
30	заключается в том что	1	1
31	с одной стороны жизнь	1	1
32	несмотря на то что	1	1
33	а не человека в	1	1
34	в этом а в	1	1
35	и каждый из них	1	1
36	не только в том	2	1
37	в полном соответствии с	1	1
38	не в этом а	1	1
39	в том что она	1	1
40	одна и та же	1	1
41	в них нет ничего	1	1
42	также в значительной степени	1	1
43	подобно тому как он	1	1
44	только в том что	3	1
45	не чем иным как	1	1
46	на вопросе о том	1	1
47	мы имеем дело с	1	1
48	но с другой стороны	1	1
49	все же не все	1	1
50	и так или иначе	1	1
51	только для того чтобы	1	1
52	приводит к тому что	2	1
53	и в этом смысле	1	1
54	и содержит в себе	1	1
55	в то же время	11	1
56	что не мешает ему	1	1
