N	3gram	Savitsky_E	Marksizm
1	с точки зрения	16	46
2	не может быть	2	25
3	то же время	14	15
4	в то же	15	15
5	в том что	6	14
6	в связи с	1	14
7	то ни было	4	12
8	бы то ни	4	12
9	для того чтобы	5	11
10	в отличие от	1	10
11	в большинстве случаев	2	9
12	одного и того	1	9
13	и того же	1	9
14	но в то	2	9
15	в отношении к	12	8
16	может быть и	1	8
17	до настоящего времени	1	7
18	смысле этого слова	1	7
19	с другой стороны	2	7
20	в свою очередь	2	7
21	на то что	2	6
22	во всяком случае	3	6
23	с одной стороны	8	6
24	к тому что	1	5
25	той или иной	4	5
26	как мы видели	2	5
27	в этом отношении	3	5
28	и прежде всего	3	4
29	можно сказать что	3	4
30	каких бы то	2	4
31	в той или	3	3
32	и тот же	1	3
33	не только в	4	3
34	в применении к	3	3
35	одной стороны и	6	3
36	хотя бы и	3	3
37	в том числе	1	3
38	более или менее	1	3
39	друг с другом	3	3
40	этот вопрос мы	1	3
41	том числе и	1	3
42	и до настоящего	1	3
43	не могут быть	1	3
44	в значительной степени	1	3
45	или хотя бы	2	3
46	и в этом	4	3
47	но и в	1	3
48	один и тот	1	3
49	в ту или	1	3
50	и не в	1	3
51	связи с этим	1	3
52	на этот вопрос	1	3
53	можно было бы	3	3
54	в пределах одного	1	3
55	рано или поздно	2	2
56	а не к	1	2
57	или иной степени	1	2
58	в этом смысле	3	2
59	только в пределах	1	2
60	друг от друга	2	2
61	так и в	2	2
62	мы видели что	1	2
63	дело идет о	2	2
64	мы можем сказать	2	2
65	само по себе	4	2
66	в данном случае	2	2
67	к тому же	1	2
68	из всего этого	1	2
69	в последнее время	1	2
70	того или иного	4	2
71	чуть ли не	1	2
72	ту или иную	3	2
73	несмотря на то	1	2
74	независимо от того	1	2
75	в противном случае	1	2
76	и та же	1	2
77	так же как	5	2
78	хотя бы в	2	2
79	же как и	3	2
80	с тем что	1	2
81	одна и та	1	2
82	или иную эпоху	1	2
83	в нем и	1	2
84	прежде всего в	2	2
85	и потому с	1	1
86	направлении в каком	1	1
87	здесь говорить о	1	1
88	мы не находим	1	1
89	можем сказать что	1	1
90	вопрос мы должны	1	1
91	в этом процессе	1	1
92	по сравнению с	2	1
93	принимая во внимание	1	1
94	то или иное	1	1
95	как и его	1	1
96	о которых мы	1	1
97	та и другая	1	1
98	мы отметим что	1	1
99	в каком же	1	1
100	говоря уже о	1	1
101	с этой точки	5	1
102	вовсе не в	1	1
103	в том же	1	1
104	в таком смысле	1	1
105	в идеологическом смысле	1	1
106	только одна возможность	1	1
107	и не имеет	2	1
108	не относится к	1	1
109	не имеет значения	1	1
110	так и с	1	1
111	если бы они	1	1
112	но в каком	1	1
113	во многих отношениях	1	1
114	но и эта	1	1
115	не сводится к	1	1
116	этом отношении в	1	1
117	может быть сведена	1	1
118	их можно было	1	1
119	вместо того чтобы	1	1
120	последнее время в	1	1
121	в соответствии с	1	1
122	но также и	1	1
123	их отношении к	3	1
124	не только отдельные	1	1
125	в основных чертах	1	1
126	и та и	1	1
127	кровь от крови	1	1
128	имеет место в	2	1
129	хотя бы только	1	1
130	одну и ту	1	1
131	в их отношении	3	1
132	это значит что	1	1
133	хотя бы с	1	1
134	все эти области	1	1
135	в тех случаях	1	1
136	но в смысле	1	1
137	же обстоит дело	1	1
138	и xix век	1	1
139	то есть в	1	1
140	от плоти и	1	1
141	большей или меньшей	1	1
142	к тому или	1	1
143	спросить действительно ли	1	1
144	плоти и кровь	1	1
145	и ту же	1	1
146	в одной из	1	1
147	не только наиболее	1	1
148	существует только в	1	1
149	этой точки зрения	5	1
150	в гораздо большей	1	1
151	что же касается	1	1
152	эти последние в	1	1
153	то что в	2	1
154	к которой принадлежит	1	1
155	быть сведена к	1	1
156	даже вовсе не	1	1
157	и не было	1	1
158	он мог бы	1	1
159	в пределах этого	1	1
160	и тем более	1	1
161	в то время	1	1
162	тому или иному	2	1
163	xviii и xix	2	1
164	в себе не	1	1
165	в большей или	1	1
166	в западной европе	1	1
167	и с точки	1	1
168	и кровь от	1	1
169	не говоря уже	2	1
170	ставится вопрос о	1	1
171	последние в свою	1	1
172	кажется что в	1	1
173	нельзя ни на	1	1
174	он не дает	1	1
175	может относиться к	1	1
176	на то или	1	1
177	во всех случаях	3	1
178	дело в том	1	1
179	и все другие	2	1
180	в лучшем случае	1	1
181	всех этих случаях	1	1
182	и в своем	1	1
183	хотя бы такое	1	1
184	по нашему мнению	2	1
185	во всех этих	1	1
186	как бы ни	3	1
187	еще далеко не	1	1
188	тех случаях когда	1	1
189	гораздо большей степени	1	1
190	выходит за пределы	1	1
191	иначе обстоит дело	2	1
192	лишь в случаях	1	1
193	плоть от плоти	1	1
194	прибавим от себя	1	1
195	между тем для	1	1
196	мы принуждены ограничиться	1	1
197	он сам и	1	1
198	между прочим и	2	1
199	нам кажется что	2	1
200	бы ни была	1	1
201	и в идеологическом	1	1
202	мы не можем	1	1
203	но не только	2	1
