N	2gram	Propp_Isto	Analitik
1	не только	17	71
2	тогда как	1	67
3	и в	44	66
4	в качестве	13	61
5	но и	16	57
6	в том	13	52
7	может быть	31	52
8	в этом	20	51
9	в частности	9	51
10	как и	12	50
11	и не	19	48
12	а не	5	42
13	в тексте	1	42
14	при этом	4	40
15	том что	12	40
16	так и	9	35
17	в мире	1	31
18	представляет собой	8	30
19	своего рода	1	30
20	состоит в	1	30
21	отнюдь не	1	29
22	как бы	4	29
23	не может	10	29
24	а в	9	28
25	в его	16	27
26	и его	15	27
27	не в	11	26
28	но не	8	26
29	в себе	1	24
30	не случайно	1	24
31	иначе говоря	1	23
32	что в	18	22
33	и даже	4	22
34	к тому	1	22
35	в этой	5	22
36	лишь в	2	21
37	о том	11	20
38	в самом	1	19
39	то же	9	19
40	в своей	3	19
41	по отношению	2	19
42	с его	3	19
43	но в	7	19
44	в данном	3	18
45	в то	5	18
46	отношению к	2	18
47	тем самым	2	17
48	с другой	11	17
49	только в	8	17
50	со стороны	6	17
51	такого рода	2	17
52	или иной	1	17
53	в целом	4	17
54	что и	11	16
55	могут быть	9	16
56	то что	16	16
57	в пределах	5	16
58	и на	11	15
59	не есть	1	15
60	между тем	1	15
61	уже не	14	15
62	прежде всего	7	15
63	в их	1	15
64	не менее	6	14
65	того же	3	14
66	себя в	6	14
67	в себя	3	14
68	мы имеем	22	14
69	же время	1	14
70	в отличие	1	14
71	данном случае	2	14
72	отличие от	1	14
73	далеко не	1	14
74	по себе	2	13
75	точки зрения	3	13
76	как правило	2	13
77	в случае	1	13
78	он не	5	13
79	этого слова	1	13
80	ничего не	4	13
81	для него	2	13
82	а также	5	13
83	и к	3	12
84	и сам	2	12
85	никогда не	5	12
86	как это	5	12
87	сводится к	1	12
88	как в	11	12
89	еще не	16	12
90	есть не	2	12
91	даже в	4	11
92	по своей	1	11
93	в свою	3	11
94	той же	2	11
95	это не	8	11
96	можно сказать	2	11
97	и как	5	11
98	все же	17	10
99	едва ли	1	10
100	с одной	7	10
101	в конце	1	10
102	было бы	2	10
103	однако в	2	10
104	подобно тому	2	10
105	здесь не	3	10
106	особенно в	2	10
107	того или	1	10
108	один из	6	10
109	на себя	4	10
110	говорит о	4	9
111	в результате	1	9
112	другой стороны	10	9
113	одной стороны	7	9
114	свою очередь	1	9
115	том чтобы	3	9
116	в своем	3	9
117	таким образом	21	9
118	во всех	3	9
119	в русской	8	9
120	особого рода	1	9
121	вместе с	26	9
122	тому как	2	9
123	того что	3	9
124	как уже	1	9
125	что касается	2	9
126	о чем	6	8
127	роль в	3	8
128	не всегда	9	8
129	между двумя	7	8
130	одной из	3	8
131	уже говорилось	1	8
132	с ним	9	8
133	если бы	5	8
134	и все	4	8
135	что он	29	8
136	перед нами	2	8
137	не является	1	8
138	в основе	3	8
139	с точки	1	8
140	хотя и	1	8
141	дело не	1	8
142	одного из	3	8
143	в ходе	1	8
144	во всяком	1	7
145	в противоположность	1	7
146	в другом	2	7
147	в одном	2	7
148	как мы	9	7
149	одна из	6	7
150	от себя	2	7
151	не мог	3	7
152	внимание на	1	7
153	несмотря на	3	7
154	в ее	4	7
155	у него	7	7
156	в таком	2	7
157	как говорит	3	7
158	героя и	3	7
159	и тем	7	7
160	в свое	2	7
161	приводит к	2	7
162	в соответствии	1	7
163	всяком случае	1	7
164	и для	3	7
165	в литературе	1	7
166	все это	4	7
167	со своим	2	7
168	таком случае	1	7
169	на его	1	7
170	или иначе	1	7
171	место в	1	7
172	что иное	1	7
173	как будто	2	7
174	иное как	1	7
175	во всем	4	6
176	те же	1	6
177	или в	7	6
178	восходит к	1	6
179	хотя бы	2	6
180	превращается в	10	6
181	не что	1	6
182	вовсе не	6	6
183	из них	4	6
184	ключ к	1	6
185	то в	2	6
186	тем не	6	6
187	не знает	1	6
188	что не	3	6
189	напомним что	1	6
190	вопроса о	1	6
191	не будет	1	6
192	его как	1	6
193	в силу	7	6
194	в нем	10	6
195	он был	2	6
196	если в	4	6
197	на этом	5	6
198	из которых	7	6
199	из того	1	6
200	и более	3	6
201	из этих	5	6
202	соответствии с	1	6
203	в сознании	1	6
204	более чем	1	6
205	и то	5	6
206	ответ на	1	6
207	уже в	4	6
208	есть в	2	6
209	по его	2	6
210	должен быть	2	6
211	его в	17	6
212	тем более	1	6
213	мере в	1	6
214	этого текста	1	6
215	же в	3	6
216	что на	1	6
217	все что	5	5
218	не так	1	5
219	не как	5	5
220	а затем	7	5
221	в состав	1	5
222	в этих	7	5
223	в них	3	5
224	на смену	4	5
225	данного текста	1	5
226	тем что	12	5
227	в один	1	5
228	речь идет	1	5
229	в котором	2	5
230	входит в	5	5
231	при рассмотрении	2	5
232	для того	3	5
233	к этому	5	5
234	и он	9	5
235	с другими	4	5
236	к жизни	1	5
237	ни в	2	5
238	будто бы	2	5
239	я не	1	5
240	но как	2	5
241	а с	2	5
242	так что	2	5
243	и по	3	5
244	и потому	2	5
245	в особенности	6	5
246	во втором	1	5
247	и здесь	12	5
248	говорит и	1	5
249	связывается с	1	5
250	не могут	2	5
251	самом деле	2	5
252	и соответственно	1	5
253	как о	1	5
254	к его	2	5
255	еще и	2	5
256	совершенно не	2	5
257	что мы	4	5
258	в роли	4	5
259	он в	3	5
260	а и	1	5
261	за пределами	1	5
262	тот же	1	5
263	этом случае	13	5
264	на вопрос	3	5
265	мы не	6	5
266	о смерти	7	5
267	с той	2	5
268	в широком	1	5
269	в глубине	1	5
270	все эти	11	5
271	одно из	3	5
