N	4gram	Losev_Prob	Istorich
1	в то время как	4	13
2	не что иное как	3	11
3	как мы увидим ниже	1	7
4	но тем не менее	1	6
5	с этой точки зрения	2	6
6	и вместе с тем	2	5
7	мы не будем здесь	1	5
8	то это значит что	1	4
9	состоит в том что	1	4
10	и тем не менее	1	4
11	как мы видели выше	1	3
12	с другой же стороны	1	3
13	что у него есть	1	3
14	только в связи с	1	3
15	бы то ни было	2	3
16	и в средние века	1	3
17	в том что он	2	2
18	уже с самого начала	1	2
19	мы не будем приводить	2	2
20	в том что и	1	2
21	между небом и землей	1	2
22	похожи друг на друга	1	2
23	и то и другое	1	2
24	с другой стороны он	1	2
25	в силу того что	1	2
26	это не значит что	1	2
27	не сам по себе	2	2
28	что в данном случае	1	2
29	дело в том что	4	2
30	указывает на то что	1	2
31	о которых говорилось выше	1	2
32	в том числе и	1	2
33	потому что у него	1	2
34	с одной стороны он	1	2
35	что здесь мы имеем	1	2
36	и в русской и	1	1
37	при более подробном анализе	1	1
38	является не чем иным	1	1
39	по содержанию и по	1	1
40	во всяком случае не	1	1
41	в том смысле как	1	1
42	кого бы то ни	1	1
43	с другой стороны однако	2	1
44	ни за что не	1	1
45	в том что в	1	1
46	по этому поводу необходимо	1	1
47	мы увидим ниже в	1	1
48	в связи с этим	1	1
49	речи о том чтобы	1	1
50	двойственность с одной стороны	1	1
51	свидетельствует о том что	1	1
52	в русской и в	1	1
53	несмотря на то что	1	1
54	сам по себе а	2	1
55	об этом же говорит	1	1
56	а может быть даже	1	1
57	друг на друга что	1	1
58	не только в том	2	1
59	иное как то что	1	1
60	в том смысле что	1	1
61	мы будем стоять на	1	1
62	и это свидетельствует о	1	1
63	говоря уже о том	1	1
64	и после того как	1	1
65	означает не что иное	1	1
66	уже о том что	1	1
67	только в том чтобы	1	1
68	не говоря уже о	2	1
69	указать еще на одну	1	1
70	тем не менее в	2	1
71	только в том что	1	1
72	не чем иным как	3	1
73	уже по одному этому	1	1
74	имеется в виду не	1	1
75	в том чтобы быть	1	1
76	мы имеем дело с	1	1
77	на друга что их	1	1
78	в своей книге о	1	1
79	сказать что в данном	1	1
80	и в том числе	1	1
81	не подлежит никакому сомнению	1	1
82	то что и здесь	1	1
83	что иное как то	1	1
84	и в этом смысле	1	1
85	в то же время	1	1
86	хотелось бы обратить внимание	1	1
