N	3gram	Tiupa_Hudo	VrazhdaK
1	и все же	1	5
2	г а бялый	1	4
3	то же время	11	4
4	в то же	11	4
5	в русской литературе	3	3
6	в связи с	3	3
7	в том что	15	2
8	в этот момент	1	2
9	не может быть	5	2
10	в письме к	1	2
11	но в то	3	2
12	как раз в	2	2
13	с точки зрения	5	2
14	и что в	1	2
15	по нашему убеждению	2	2
16	и о том	2	2
17	о себе знать	1	1
18	но при этом	3	1
19	в ответ на	1	1
20	что в жизни	1	1
21	и все что	1	1
22	а также в	1	1
23	в свою очередь	1	1
24	а между тем	3	1
25	каждый из них	1	1
26	в конце концов	1	1
27	можно говорить об	1	1
28	речь идет о	2	1
29	в это же	1	1
30	о том как	4	1
31	он вспоминает о	1	1
32	точно так же	1	1
33	так же как	2	1
34	а тем более	1	1
35	уже на пороге	1	1
36	на то что	2	1
37	по нашему мнению	1	1
38	способности к самостоятельному	1	1
39	и зададимся вопросом	1	1
40	и в то	2	1
41	в соответствии с	1	1
42	не только от	1	1
43	в этом смысле	1	1
44	заключается в том	1	1
45	а с другой	1	1
46	о том же	1	1
47	и то что	1	1
48	не только не	3	1
49	о том что	14	1
50	но и от	1	1
51	при этом он	1	1
52	и это было	1	1
53	до сих пор	3	1
54	в высшей степени	1	1
55	но в этом	1	1
56	писал м м	3	1
57	в это время	2	1
58	и у чехова	1	1
59	во всяком случае	1	1
60	тем не менее	6	1
61	как он сам	2	1
62	и в самом	4	1
63	то что я	2	1
64	как бы в	2	1
65	едва ли не	1	1
66	не должна заслонять	1	1
67	с другой стороны	1	1
68	в известном смысле	1	1
69	связи с этим	2	1
70	именно в связи	1	1
71	у него в	1	1
72	м м бахтин	2	1
73	что у него	2	1
74	на первый взгляд	1	1
75	и о которой	1	1
76	в этом отношении	4	1
77	все же не	2	1
78	и в этом	3	1
79	а п скафтымов	3	1
