N	4gram	Losev_Dial	StatiiOP
1	дело в том что	1	9
2	в то же время	7	9
3	и т д но	2	6
4	в то время как	2	5
5	в том смысле что	3	3
6	это не значит что	3	3
7	не говоря уже о	1	3
8	если принять во внимание	1	3
9	не имеет ничего общего	3	3
10	в том что он	1	3
11	имеет ничего общего с	3	3
12	и тем не менее	1	3
13	в том что она	1	2
14	в одних и тех	1	2
15	сомневаться в том что	1	2
16	я имею в виду	1	2
17	и т д на	1	2
18	и в то же	3	2
19	и вместе с тем	1	2
20	одних и тех же	1	2
21	о том что в	1	2
22	но в то же	1	2
23	и т д и	3	2
24	все более и более	1	2
25	и в этом смысле	2	2
26	не в том что	1	2
27	и в этом отношении	1	2
28	но в конце концов	1	1
29	именно в том что	1	1
30	в том что такое	1	1
31	ни в каком случае	5	1
32	то же можно сказать	1	1
33	с точки зрения той	1	1
34	и в том и	1	1
35	это не может быть	1	1
36	не выходя за пределы	2	1
37	не потому что он	2	1
38	само по себе не	1	1
39	и о том что	1	1
40	в том смысле как	1	1
41	потому что он не	1	1
42	до сих пор мы	1	1
43	не значит что в	1	1
44	с их точки зрения	1	1
45	ни на одну минуту	1	1
46	и т д в	1	1
47	ни в каком смысле	1	1
48	было бы утверждать что	1	1
49	в то или иное	1	1
50	а потому что он	1	1
51	в каком случае не	3	1
52	в связи с этим	2	1
53	но это не значит	1	1
54	если я скажу что	1	1
55	тем не менее в	1	1
56	в том что именно	2	1
57	иметь в виду что	2	1
58	а на самом деле	1	1
59	нечего и говорить о	1	1
60	как бы ни была	1	1
61	что то или иное	1	1
62	отчет в том что	1	1
63	вовсе не в том	1	1
64	одной и той же	1	1
65	т д и т	3	1
66	вопрос о том что	1	1
67	отделены друг от друга	1	1
68	одно и то же	8	1
69	если бы мы стали	1	1
70	и говорить о том	1	1
71	то же самое и	1	1
72	принять во внимание что	1	1
73	вместе с ним и	1	1
74	по крайней мере три	1	1
75	до сих пор не	1	1
76	можно сомневаться в том	1	1
77	я бы сказал что	1	1
78	и в голову не	1	1
79	приводит к тому что	1	1
80	одному и тому же	1	1
81	с точки зрения своей	1	1
82	и т д все	2	1
83	говорить о том что	1	1
84	т д все это	2	1
85	так же как и	1	1
86	по мере того как	1	1
87	время во всяком случае	1	1
88	точно так же как	1	1
89	что же это за	1	1
90	д и т д	3	1
