N	3gram	Voloshinov	Otkroven
1	для того чтобы	3	3
2	не могут быть	4	2
3	как и все	1	2
4	не может быть	14	2
5	что же это	1	2
6	же это за	1	2
7	но и в	1	2
8	и никогда не	1	2
9	это было бы	1	2
10	сам по себе	4	1
11	он должен был	1	1
12	хотя и не	1	1
13	человека и все	1	1
14	о том что	3	1
15	в том что	9	1
16	друг с другом	1	1
17	никогда и нигде	1	1
18	а иногда и	1	1
19	в первый период	4	1
20	он никогда не	1	1
21	в этот период	3	1
22	нигде и никогда	1	1
23	ее в этом	1	1
24	и влечет к	1	1
25	никогда не являлось	1	1
26	и все же	1	1
27	в самом деле	10	1
28	а вовсе не	3	1
29	как будто бы	1	1
30	смысле этого слова	1	1
31	люди а не	1	1
32	во всяком случае	8	1
33	он еще не	1	1
34	в противоречии с	1	1
35	бросается в глаза	1	1
36	в другом месте	2	1
37	как бы в	1	1
38	дана уже в	1	1
39	положительное учение о	1	1
40	и прежде всего	7	1
41	в этом отношении	4	1
42	и есть та	2	1
43	по сравнению с	1	1
44	самое совершенное произведение	1	1
45	он в глубине	1	1
46	было для него	1	1
47	но никогда не	1	1
48	от того что	1	1
49	том что в	1	1
50	он не только	2	1
51	то что говорит	1	1
52	нужно отметить что	2	1
53	он и не	1	1
54	в этом нужно	1	1
55	и не может	3	1
56	не в силах	3	1
57	приходит в голову	1	1
58	что он был	1	1
