N	3gram	Vygotskiy_	EvropaiC
1	в том что	21	16
2	до сих пор	8	15
3	с точки зрения	12	8
4	более или менее	3	8
5	а между тем	1	8
6	на то что	12	7
7	для того чтобы	11	7
8	мы знаем что	3	7
9	на самом деле	6	7
10	а и в	1	7
11	друг от друга	1	6
12	по сравнению с	3	5
13	в самом деле	13	5
14	к тому же	1	5
15	не может быть	14	4
16	о том что	9	4
17	тем не менее	6	4
18	совершенно так же	1	4
19	с другой стороны	7	4
20	в том случае	3	4
21	в конце концов	6	4
22	то ясно что	1	4
23	том случае если	2	4
24	в этой области	3	4
25	вместе с тем	3	3
26	заключается в том	13	3
27	не в состоянии	4	3
28	в целом ряде	2	3
29	в том же	1	3
30	в настоящее время	2	3
31	таким образом в	2	3
32	все же не	1	3
33	одного и того	1	3
34	нечего и говорить	1	3
35	так же как	8	3
36	то ни было	1	3
37	в данном случае	1	3
38	и то что	3	3
39	и говорить что	1	3
40	и того же	1	3
41	не может не	1	3
42	в связи с	2	3
43	бы то ни	2	3
44	мы все же	1	2
45	в вопросе о	1	2
46	не может служить	1	2
47	в том и	4	2
48	в свою очередь	3	2
49	лишь тогда когда	1	2
50	том что все	1	2
51	но вместе с	1	2
52	во всяком случае	7	2
53	случае если бы	1	2
54	и может быть	1	2
55	несмотря на то	2	2
56	при этом что	1	2
57	заключает в себе	3	2
58	то что это	1	2
59	что же касается	1	2
60	он не может	3	2
61	как и в	5	2
62	а следовательно и	1	2
63	в то время	6	2
64	в то же	2	2
65	именно потому что	2	2
66	а с другой	1	2
67	в таком же	1	2
68	том что он	2	2
69	же касается до	1	2
70	принять во внимание	2	2
71	в высшей степени	1	2
72	то что у	3	2
73	только то что	2	2
74	с одной стороны	6	2
75	то же время	2	2
76	в том виде	2	2
77	но так как	2	2
78	он все же	1	2
79	и в том	2	2
80	друг к другу	1	2
81	мы видели что	2	1
82	что они нашли	1	1
83	это имеет место	1	1
84	на каждом шагу	1	1
85	к тем же	1	1
86	образом и на	1	1
87	благодаря тому что	2	1
88	потому не может	2	1
89	может показаться что	1	1
90	в одинаковой мере	2	1
91	и в сознании	1	1
92	а может быть	1	1
93	таким образом мы	1	1
94	том виде как	1	1
95	широком смысле слова	1	1
96	жизнь и все	1	1
97	все то что	3	1
98	которые не могут	1	1
99	то есть в	2	1
100	что и для	1	1
