N	3gram	Ircho_Kome	Tragedij
1	то же время	5	5
2	в то же	5	5
3	так и в	1	3
4	в том что	13	2
5	бросается в глаза	1	2
6	точно так же	1	2
7	в данном случае	1	2
8	и в дальнейшем	1	2
9	о том что	6	2
10	и в самом	1	2
11	но все же	1	2
12	в отличие от	3	2
13	предстает перед нами	1	1
14	сам по себе	1	1
15	на всю ее	1	1
16	том что он	4	1
17	в одном из	4	1
18	один из первых	1	1
19	в разговоре с	1	1
20	имеет в виду	1	1
21	друг перед другом	1	1
22	что он не	2	1
23	а между тем	1	1
24	за то что	4	1
25	в первом же	1	1
26	между отцом и	1	1
27	в обоих случаях	3	1
28	смысле этого слова	1	1
29	в конце концов	4	1
30	и что же?	1	1
31	могут быть отнесены	1	1
32	этим объясняется и	1	1
33	ответа на вопрос	1	1
34	в применении к	1	1
35	в той же	2	1
36	то что он	2	1
37	отцом и сыном	1	1
38	и т п	7	1
39	но при этом	1	1
40	же время он	1	1
41	сравнивает его с	1	1
42	по сравнению с	1	1
43	в чем же	1	1
44	с самого начала	2	1
45	это было в	1	1
46	в высшей степени	1	1
47	обстоит дело с	1	1
48	как и в	2	1
49	в связи с	3	1
50	может быть в	1	1
51	приходит в голову	1	1
52	во всяком случае	4	1
53	к тому что	3	1
54	что все это	1	1
55	тем не менее	2	1
56	несмотря на всю	3	1
57	вместе с ними	1	1
58	всяком случае что	1	1
59	одном из своих	1	1
60	с такой силой	1	1
61	после того как	3	1
