N	4gram	Losev_Prob	DiskursI
1	с одной стороны и	2	5
2	дело в том что	3	5
3	одного и того же	2	4
4	в том что в	1	3
5	не говоря уже о	5	3
6	в том числе и	2	3
7	одно и то же	1	3
8	мысль о том что	2	2
9	в том случае если	1	2
10	и не может быть	1	2
11	одной и той же	1	2
12	и в то же	1	2
13	мы имеем дело не	1	2
14	имеем дело не с	1	2
15	одним и тем же	2	2
16	не есть она сама	1	1
17	обратить внимание на то	1	1
18	не что иное как	5	1
19	и в этом случае	3	1
20	в том и в	1	1
21	с самого начала мы	1	1
22	и в том и	1	1
23	с одной стороны это	1	1
24	является в данном случае	1	1
25	том и в другом	1	1
26	для того чтобы она	1	1
27	не только потому что	1	1
28	в той или иной	1	1
29	ни одна из этих	1	1
30	и требует для себя	1	1
31	только в том случае	2	1
32	в том что всякое	1	1
33	внимание на то что	2	1
34	романе преступление и наказание	1	1
35	можно даже сказать что	1	1
36	к тому или иному	1	1
37	которые лежат в основе	1	1
38	о том что ни	1	1
39	по крайней мере в	2	1
40	или по крайней мере	4	1
41	и в другом случае	1	1
42	заключается в том что	2	1
43	что не есть она	1	1
44	но в таком случае	7	1
45	той или иной мере	1	1
46	свидетельствует о том что	3	1
47	мы ничего не знаем	1	1
48	не имеют никакого отношения	1	1
49	в том случае когда	1	1
50	в романе преступление и	1	1
51	все дело в том	1	1
52	и тем же словом	1	1
53	в том или ином	1	1
54	есть не что иное	5	1
