N	3gram	Voloshinov	OGranits
1	с точки зрения	6	5
2	не может быть	3	4
3	и т.п и	1	3
4	есть прежде всего	1	3
5	в том что	1	2
6	не чем иным	1	2
7	не что иное	1	2
8	в данном случае	1	2
9	чем иным как	1	2
10	в самом деле	2	2
11	что иное как	1	2
12	с одной стороны	1	2
13	с самого начала	4	2
14	в этот момент	1	1
15	на самом деле	4	1
16	и связанных с	1	1
17	все то что	2	1
18	и его школа	1	1
19	подобно тому как	1	1
20	не может иметь	1	1
21	ничего общего не	1	1
22	в конечном счете	2	1
23	так же как	2	1
24	мы утверждаем что	1	1
25	мы должны перейти	1	1
26	для того чтобы	1	1
27	может быть это	3	1
28	на две группы	2	1
29	него все то	1	1
30	мы полагаем что	3	1
31	этой точки зрения	1	1
32	роковую роль в	1	1
33	нужно отметить что	1	1
34	в связи с	1	1
35	то же самое	1	1
36	существует только в	1	1
37	в разных местах	1	1
38	в этом отношении	1	1
39	с этой точки	1	1
40	можно было бы	1	1
41	мы не можем	1	1
42	нам кажется что	2	1
