N	2gram	Losev_Prob	KulturaY
1	и т	2	143
2	т п	1	93
3	и в	48	84
4	в том	25	74
5	потому что	21	68
6	не только	28	60
7	точки зрения	17	59
8	в этом	31	57
9	было бы	12	53
10	и не	29	52
11	может быть	11	47
12	что в	12	44
13	том что	29	44
14	того чтобы	3	44
15	т д	1	42
16	в самом	7	41
17	для того	4	41
18	у нас	17	38
19	хотя бы	11	37
20	самом деле	3	37
21	так как	10	36
22	с точки	13	36
23	в области	3	34
24	таким образом	20	33
25	а не	7	33
26	если бы	2	32
27	можно было	4	32
28	не в	16	30
29	в его	19	30
30	прежде всего	15	30
31	все же	12	29
32	не менее	8	28
33	того что	8	28
34	все эти	12	28
35	уже не	12	26
36	в силу	6	26
37	то что	26	25
38	вовсе не	18	25
39	не может	6	25
40	вопрос о	2	24
41	с другой	8	24
42	еще не	4	24
43	то же	6	23
44	с помощью	2	23
45	только в	21	23
46	так и	15	23
47	тем не	8	21
48	по себе	5	20
49	во всяком	7	20
50	и что	9	20
51	но и	21	20
52	тем что	2	19
53	о том	17	19
54	обстоятельство что	2	19
55	что он	12	19
56	всяком случае	6	19
57	но в	17	19
58	то обстоятельство	1	19
59	и с	10	18
60	с тем	7	18
61	к тому	7	18
62	в сущности	1	18
63	в качестве	9	18
64	связи с	11	18
65	между тем	2	18
66	вместе с	15	18
67	как бы	10	18
68	все это	8	18
69	в той	5	17
70	можно говорить	1	17
71	другой стороны	8	17
72	как это	5	17
73	что это	4	17
74	слова и	1	17
75	как раз	7	17
76	это не	8	17
77	в виду	3	16
78	что и	8	16
79	что не	3	16
80	тот же	6	16
81	ничего не	3	16
82	но не	12	16
83	при этом	6	15
84	именно в	11	15
85	в данном	6	15
86	как на	1	15
87	в нашем	5	15
88	том чтобы	3	15
89	не было	4	15
90	и тем	4	15
91	один из	2	15
92	по отношению	2	15
93	ни к	2	15
94	только потому	1	15
95	того как	5	15
96	а в	8	15
97	должно быть	1	15
98	в них	5	14
99	и на	9	14
100	сказать что	13	14
101	хотя и	10	14
102	что такое	1	14
103	в связи	11	14
104	я не	3	14
105	сих пор	3	14
106	в ней	4	14
107	до сих	3	14
108	если мы	2	14
109	как мы	5	14
110	мы имеем	3	14
111	также и	21	14
112	отношению к	2	14
113	что она	2	13
114	крайней мере	8	13
115	между прочим	2	13
116	в этой	14	13
117	там где	1	13
118	не случайно	1	13
119	не могут	3	13
120	по крайней	8	13
121	для нас	14	13
122	это и	4	13
123	по существу	2	13
124	слово это	1	13
125	и его	11	13
126	с этой	4	12
127	в результате	11	12
128	того же	7	12
129	ясно что	11	12
130	а только	5	12
131	вопроса о	1	12
132	этот вопрос	1	12
133	могут быть	2	12
134	тогда когда	4	12
135	как в	3	12
136	однако не	2	12
137	для этого	2	12
138	те же	1	11
139	должен быть	2	11
140	в своем	16	11
141	на себе	1	11
142	он не	4	11
143	в нем	8	11
144	и здесь	1	11
145	и то	6	11
146	еще и	6	11
147	совершенно не	1	11
148	из этих	2	11
149	и если	2	11
150	этом отношении	4	11
151	уже в	4	11
152	в их	4	11
153	в таких	2	11
154	в какой	5	11
155	или иной	4	11
156	в особенности	1	10
157	как и	10	10
158	так же	7	10
159	конечно не	2	10
160	к этому	2	10
161	несмотря на	7	10
162	бы в	2	10
163	этом смысле	4	10
164	не просто	12	10
165	в общем	1	10
166	в то	6	10
167	после того	3	10
168	со стороны	1	10
169	в каком	1	10
170	с этим	3	10
171	они не	3	10
172	бы и	1	10
173	на фоне	2	10
174	тем более	2	10
175	того или	3	10
176	тех же	1	10
177	в нашей	3	10
178	тем самым	2	10
179	от того	1	10
180	что слово	1	9
181	в своей	29	9
182	можно сказать	10	9
183	что все	1	9
184	xix века	1	9
185	в которой	7	9
186	но для	2	9
187	здесь не	12	9
188	и есть	4	9
189	или иного	2	9
190	ни в	17	9
191	не имеет	3	9
192	что мы	4	9
193	не потому	1	9
194	подобного рода	9	9
195	но это	7	9
196	и для	11	9
197	и вот	1	9
198	то мы	1	9
199	а также	8	9
200	ли не	2	9
201	но уже	3	9
202	на то	2	9
203	своего рода	1	8
204	в этих	3	8
205	но все	6	8
206	в первую	1	8
207	что они	4	8
208	по преимуществу	2	8
209	с одной	5	8
210	это слово	1	8
211	тому же	5	8
212	в таком	4	8
213	тому что	2	8
214	не есть	3	8
215	в чем	3	8
216	в своих	3	8
217	в тех	2	8
218	отнюдь не	14	8
219	мы видели	2	8
220	был бы	2	8
221	заключается в	1	8
222	да и	5	8
223	то и	7	8
224	тех пор	1	8
225	только тогда	3	8
226	что я	1	8
227	состоит в	1	8
228	с его	3	8
229	на самом	2	8
230	и как	10	8
231	об этом	11	8
232	мере в	4	8
233	не говоря	2	8
234	в частности	5	8
235	далеко не	6	8
236	и о	9	8
237	же в	4	8
238	что на	1	8
239	же и	2	7
240	следует что	1	7
241	например в	1	7
242	а именно	12	7
243	казалось бы	1	7
244	всякого рода	2	7
245	в котором	5	7
246	в одном	6	7
247	свою очередь	2	7
248	была бы	3	7
249	указать на	1	7
250	на том	1	7
251	внимание на	4	7
252	то только	3	7
253	во внимание	1	7
254	учение о	4	7
255	а с	4	7
256	не значит	1	7
257	столь же	1	7
258	чуть ли	1	7
259	одной стороны	5	7
260	и должно	1	7
261	с ним	4	7
262	никак не	10	7
263	сводится к	1	7
264	но вот	1	7
265	как о	6	7
266	с ними	1	7
