N	2gram	Savitsky_P	EvropaiC
1	в том	9	31
2	и в	14	24
3	том что	4	20
4	то что	4	18
5	не может	4	18
6	может быть	5	17
7	все же	1	15
8	точки зрения	3	14
9	в этом	10	13
10	все это	2	13
11	с этим	2	12
12	между тем	3	12
13	в своем	4	12
14	но и	6	11
15	культуры и	1	11
16	мы знаем	1	10
17	не только	17	10
18	как и	1	10
19	культуры в	2	10
20	во всех	2	10
21	как бы	4	10
22	что в	4	9
23	в результате	1	9
24	не в	5	9
25	и не	12	9
26	с другом	1	9
27	потому что	3	9
28	и что	1	9
29	на то	1	9
30	друг с	1	9
31	в самом	1	8
32	с точки	3	8
33	европейской культуры	4	8
34	более или	1	8
35	ясно что	1	8
36	или менее	1	8
37	для того	3	8
38	если бы	4	8
39	того чтобы	1	8
40	так же	1	8
41	знаем что	1	8
42	идет речь	1	8
43	из этих	1	8
44	что при	1	7
45	того что	2	7
46	что и	1	7
47	не менее	2	7
48	о котором	1	7
49	вместе с	1	7
50	в этой	1	7
51	в силу	2	7
52	для этого	1	7
53	мы можем	1	6
54	и на	1	6
55	что с	1	6
56	только в	7	6
57	в мире	2	6
58	еще не	1	6
59	и если	4	6
60	должна быть	1	6
61	и при	1	6
62	как на	2	6
63	в общем	2	6
64	с другой	5	6
65	в то	7	6
66	в европе	2	6
67	и к	4	5
68	как к	1	5
69	должно быть	2	5
70	тех кто	4	5
71	в его	2	5
72	из всех	1	5
73	что это	1	5
74	многие из	1	5
75	другой стороны	1	5
76	его в	1	5
77	в которой	1	5
78	и с	2	5
79	именно в	2	5
80	и без	3	5
81	по сравнению	2	5
82	сравнению с	1	5
83	далеко не	1	5
84	в себе	3	5
85	что все	1	5
86	столь же	3	5
87	из них	2	5
88	но в	9	5
89	значительная часть	1	4
90	и то	1	4
91	этой области	1	4
92	в психологии	1	4
93	хотя и	3	4
94	в виде	2	4
95	что его	1	4
96	другие народы	2	4
97	с тем	3	4
98	не есть	1	4
99	в народе	1	4
100	а с	1	4
101	что мы	3	4
102	хотя бы	8	4
103	мы должны	4	4
104	что эта	1	4
105	без того	1	4
106	в области	11	4
107	если мы	1	4
108	то же	9	4
109	никогда не	1	4
110	что оно	1	3
111	только что	1	3
112	и по	1	3
113	в начале	2	3
114	с одной	3	3
115	тогда когда	1	3
116	для нас	2	3
117	в с	4	3
118	прежде всего	3	3
119	одно из	1	3
120	в этих	1	3
121	различия между	1	3
122	от тех	1	3
123	что по	1	3
124	в нем	3	3
125	заключается в	3	3
126	в жизни	2	3
127	случаях когда	1	3
128	по одному	1	3
129	же как	1	3
130	настоящее время	1	3
131	в истории	1	3
132	может не	1	3
133	и это	2	3
134	тем более	2	3
135	и потому	4	3
136	на этой	1	3
137	в данном	1	3
138	и других	2	3
139	отличие от	1	3
140	вопрос о	1	3
141	в ней	6	3
142	что если	1	3
143	это не	3	3
144	тем самым	3	3
145	не вполне	1	3
146	каждый из	1	3
147	а в	4	3
148	как известно	1	3
149	было бы	6	3
150	но не	3	3
151	в эти	1	3
152	в настоящее	1	3
153	тот же	3	3
154	представить себе	1	2
155	от нее	1	2
156	но на	1	2
157	в гораздо	4	2
158	мы и	1	2
159	многих других	1	2
160	них в	1	2
161	мы все	1	2
162	которого в	1	2
163	те же	1	2
164	а затем	1	2
165	но как	1	2
166	сводится к	3	2
167	тем чтобы	1	2
168	совершенно ясно	1	2
169	не было	2	2
170	не очень	1	2
171	помнить что	2	2
172	из нее	1	2
173	и где	1	2
174	на нее	1	2
175	том виде	1	2
176	но для	1	2
177	веры в	1	2
178	если он	1	2
179	эти черты	1	2
180	давно уже	1	2
181	что народ	1	2
182	с ними	3	2
183	чем другие	1	2
184	есть в	2	2
185	между прочим	2	2
186	в одно	1	2
187	в которых	5	2
188	они не	1	2
189	не имеет	1	2
190	в себя	1	2
191	более как	1	2
192	на каждом	1	2
193	должен быть	1	2
194	в а	2	2
195	в эту	2	2
196	у в	1	2
197	при виде	1	2
198	в них	2	2
199	этих двух	1	2
