N	2gram	Losev_Vesc	Hudozhes
1	в качестве	4	31
2	то есть	2	26
3	и в	44	23
4	не только	48	20
5	в том	15	20
6	при этом	1	19
7	может быть	37	19
8	в частности	3	18
9	и не	57	16
10	тогда как	3	15
11	но и	19	14
12	а не	34	13
13	но не	9	13
14	а в	6	13
15	я в	3	13
16	в себе	23	13
17	в этом	17	12
18	то же	12	12
19	так и	4	12
20	и его	4	12
21	сводится к	4	11
22	как бы	19	11
23	точки зрения	10	11
24	в его	5	11
25	но в	8	10
26	или иной	1	9
27	том что	13	9
28	с другой	8	9
29	не в	14	9
30	не может	44	9
31	в принципе	1	8
32	себя в	11	8
33	в то	11	8
34	что в	11	7
35	в самом	13	7
36	только в	23	7
37	в своей	6	7
38	в основе	4	7
39	же время	4	7
40	в отличие	1	7
41	отличие от	1	7
42	я и	8	7
43	не столько	2	7
44	как это	4	7
45	по своей	3	7
46	лишь в	1	7
47	отношение к	4	7
48	другой стороны	3	6
49	более или	4	6
50	приводит к	2	6
51	уже не	15	6
52	можно сказать	8	6
53	с ее	10	6
54	с его	2	6
55	мы имеем	8	6
56	в ее	8	6
57	а также	1	6
58	или менее	4	6
59	в нем	6	6
60	ни в	11	5
61	в виду	2	5
62	не на	2	5
63	не предполагает	4	5
64	что он	7	5
65	не менее	11	5
66	не является	3	5
67	того чтобы	4	5
68	для того	3	5
69	со стороны	9	5
70	как к	5	5
71	для него	8	5
72	того что	16	5
73	прежде всего	17	5
74	с другими	8	5
75	в их	4	5
76	а на	1	5
77	или иначе	5	5
78	i v	1	5
79	между ними	6	5
80	той или	3	5
81	тем самым	2	5
82	то что	47	5
83	могут быть	1	5
84	во втором	2	4
85	для себя	6	4
86	так или	5	4
87	не следует	1	4
88	отношения к	3	4
89	в слове	2	4
90	из которого	1	4
91	еще не	12	4
92	в данном	6	4
93	языка в	1	4
94	в другом	3	4
95	говорить о	9	4
96	сказать что	21	4
97	жизни как	1	4
98	к которому	1	4
99	в своем	9	4
100	к тому	3	4
101	на почве	6	4
102	и то	14	4
103	это не	9	4
104	в отношении	7	4
105	его в	8	4
106	и как	12	4
107	в этих	1	4
108	так в	1	4
109	в себя	13	4
110	а только	3	4
111	того или	1	4
112	личности в	1	4
113	он не	4	4
114	и тем	7	4
115	и что	22	4
116	далеко не	2	4
117	и о	4	4
118	однако в	3	4
119	в силу	4	4
120	хотя и	5	4
121	в той	6	3
122	и к	1	3
123	к действительности	2	3
124	и составляет	1	3
125	человеческой жизни	1	3
126	и на	2	3
127	с этой	6	3
128	даже в	1	3
129	была бы	3	3
130	о чем	2	3
131	подобно тому	5	3
132	однако при	1	3
133	если бы	8	3
134	и сам	3	3
135	есть в	4	3
136	а именно	1	3
137	в жизни	5	3
138	как и	15	3
139	к его	2	3
140	их в	6	3
141	никто не	1	3
142	себя и	8	3
143	тем не	11	3
144	и того	2	3
145	в противоположность	1	3
146	к нему	3	3
147	потому что	25	3
148	одной стороны	3	3
149	искусства и	1	3
150	как совокупность	1	3
151	отношении к	4	3
152	в одном	6	3
153	не обязательно	2	3
154	мог бы	7	3
155	за пределами	1	3
156	это отношение	1	3
157	во всей	1	3
158	от себя	1	3
159	и внешней	1	3
160	из этих	1	3
161	и для	13	3
162	в системе	1	3
163	он должен	1	3
164	таким образом	16	3
165	по преимуществу	2	3
166	с одной	3	3
167	с точки	6	3
168	как раз	16	3
169	и притом	4	3
170	связи с	1	3
171	но он	2	3
172	объекта и	1	3
173	в таком	1	3
174	в связи	1	3
175	во всех	5	3
176	однако если	1	3
177	тому как	5	3
178	личности и	1	3
179	субъекта и	1	3
180	в свою	5	3
181	в которой	5	3
182	не будет	13	3
183	одно и	6	3
184	в пределах	1	3
185	этом смысле	2	3
186	того же	5	3
187	что можно	1	3
188	тот или	1	3
189	одного и	1	3
190	слова в	2	3
191	и прежде	2	3
192	чем и	1	3
193	не случайно	2	3
194	в целом	3	3
195	и ее	19	3
196	более не	1	2
197	и другие	2	2
198	образом и	4	2
199	один из	5	2
200	жизни а	1	2
201	и который	2	2
202	своей является	1	2
203	об искусстве	1	2
204	с ним	8	2
205	строго говоря	1	2
206	из которых	3	2
207	не как	2	2
208	а затем	2	2
209	одно из	2	2
210	но чтобы	1	2
211	по себе	22	2
212	вещами и	3	2
213	в них	1	2
214	оно не	6	2
215	этой точки	3	2
216	самом деле	7	2
217	заключается в	3	2
218	все эти	5	2
