N	3gram	Tiupa_Narr	PoTuStor
1	с точки зрения	2	6
2	на самом деле	1	4
3	до сих пор	1	3
4	не может быть	5	3
5	по крайней мере	1	3
6	в этом смысле	1	3
7	можно сказать что	4	3
8	все то что	1	2
9	в конечном счете	2	2
10	так же как	2	2
11	по аналогии с	1	2
12	во всех его	1	2
13	о том что	6	2
14	в самом деле	1	2
15	так и в	1	1
16	в том что	8	1
17	друг с другом	1	1
18	а то и	1	1
19	и столь же	1	1
20	не что иное	2	1
21	что иное как	2	1
22	дело в том	1	1
23	мы узнаем о	1	1
24	той или иной	4	1
25	прежде всего к	1	1
26	этом своем качестве	1	1
27	подобно тому как	2	1
28	можно было бы	2	1
29	и прежде всего	1	1
30	в данном случае	4	1
31	в этом своем	1	1
32	в постель к	1	1
33	обратим внимание на	1	1
34	как это было	1	1
35	есть прежде всего	1	1
36	в себя и	2	1
37	разных местах и	1	1
38	же как и	1	1
39	то ни было	3	1
40	и того же	1	1
41	а иногда и	1	1
42	нельзя сказать о	1	1
43	этой точки зрения	2	1
44	в свое время	1	1
45	на первый взгляд	2	1
46	с этой точки	1	1
47	то же самое	1	1
48	она может быть	1	1
49	всех без исключения	1	1
50	а с другой	1	1
51	с одной стороны	7	1
52	в этом отношении	3	1
53	бы то ни	3	1
54	было на самом	1	1
55	имеем дело с	1	1
56	в году в	1	1
57	одного и того	1	1
58	в связи с	2	1
59	может быть только	1	1
