N	2gram	Nazirov_Vr	Problemy
1	и в	8	106
2	и не	5	90
3	как бы	4	70
4	может быть	4	66
5	т е	3	59
6	в его	3	56
7	в этом	8	52
8	в нем	6	51
9	не может	2	49
10	из подполья	3	48
11	как и	6	44
12	что он	4	44
13	у достоевского	4	43
14	точки зрения	2	40
15	но и	7	40
16	для него	2	39
17	и его	3	39
18	о себе	3	37
19	то же	5	36
20	не только	9	36
21	то что	7	33
22	но в	6	33
23	прежде всего	1	32
24	он не	3	29
25	в то	5	29
26	все это	4	29
27	и все	7	28
28	в одном	1	27
29	к себе	2	26
30	же время	5	26
31	в самом	1	25
32	и с	6	25
33	к нему	1	25
34	с точки	2	25
35	рядом с	2	23
36	что я	2	22
37	таким образом	2	22
38	все же	6	20
39	никогда не	2	20
40	потому что	1	20
41	что же	1	19
42	что в	7	19
43	достоевского в	7	19
44	с его	3	19
45	уже не	2	18
46	в себе	2	18
47	еще не	2	18
48	о нем	6	18
49	но не	1	18
50	с ним	4	17
51	а в	2	17
52	в том	3	17
53	это не	4	17
54	так и	1	17
55	так же	4	16
56	в своей	2	16
57	этом смысле	1	16
58	у него	5	15
59	до конца	1	15
60	достоевского не	4	15
61	и наконец	1	15
62	и сам	1	14
63	в своем	3	14
64	как раз	2	14
65	в конце	3	14
66	я не	3	14
67	он и	1	14
68	его в	3	13
69	в мире	2	13
70	и это	2	13
71	достоевского и	7	13
72	героя в	1	13
73	роман достоевского	2	13
74	в романе	6	13
75	в целом	1	13
76	при этом	4	12
77	отношении к	1	12
78	и как	3	12
79	и даже	6	12
80	во всяком	1	12
81	в котором	6	12
82	для достоевского	1	12
83	и что	8	12
84	было бы	1	12
85	между тем	5	12
86	как в	1	12
87	том что	3	12
88	но это	2	12
89	ничего не	1	12
90	в плане	1	12
91	тем что	3	11
92	их в	2	11
93	с другой	1	11
94	он сам	2	11
95	это слово	1	11
96	бы в	1	11
97	в форме	1	11
98	конце концов	1	11
99	более того	1	11
100	в речах	1	10
101	сих пор	1	10
102	в него	2	10
103	до сих	1	10
104	достоевский в	8	10
105	той же	1	10
106	творчества достоевского	1	10
107	далеко не	3	10
108	отношение к	2	10
109	в той	2	9
110	другой стороны	1	9
111	в них	2	9
112	что у	3	9
113	хотя и	1	9
114	но он	3	9
115	могут быть	1	9
116	всяком случае	1	9
117	самим собой	1	9
118	да и	1	9
119	героев достоевского	1	9
120	романе достоевского	1	9
121	раз и	1	9
122	человека в	3	9
123	произведений достоевского	1	8
124	о том	4	8
125	из них	2	8
126	и он	2	8
127	несмотря на	4	8
128	но как	2	8
129	одним из	3	8
130	и у	3	8
131	и от	1	8
132	что это	1	8
133	как к	1	8
134	уже в	4	8
135	того что	1	8
136	это и	1	8
137	же не	2	8
138	в стиле	1	8
139	и о	3	8
140	в виду	4	7
141	в жизни	1	7
142	отличается от	1	7
143	о достоевском	2	7
144	из своего	1	7
145	что они	1	7
146	не было	5	7
147	себя как	1	7
148	в этих	1	7
149	во всех	1	7
150	с которым	2	7
151	и ее	2	7
152	его с	2	7
153	в процессе	1	7
154	его и	2	7
155	на этот	1	7
156	но на	1	7
157	в их	1	7
158	все равно	1	7
159	и их	1	7
160	такой же	1	7
161	во всем	1	6
162	него в	1	6
163	в своих	4	6
164	не менее	2	6
165	с этим	1	6
166	достоевского это	1	6
167	как на	1	6
168	среди них	1	6
169	одна из	2	6
170	не мог	2	6
171	как же	2	6
172	у тургенева	11	6
173	человек и	1	6
174	но ведь	1	6
175	выражение в	1	6
176	а с	2	6
177	человека как	1	6
178	но зато	1	6
179	в этой	2	6
180	себя в	1	6
181	во время	2	6
182	в другой	1	6
183	отношения к	2	6
184	и во	3	6
185	друг друга	1	6
186	которым он	1	6
187	ну что	1	6
188	знаю что	1	6
189	но с	1	6
190	достоевский не	3	6
191	что ж	2	6
192	на них	1	6
193	как он	1	6
194	в начале	6	6
195	идет о	1	6
196	достоевского с	9	6
197	жизни и	1	6
198	на то	3	6
199	но для	1	6
200	мире а	1	5
201	не хочет	1	5
202	достоевского к	3	5
203	именно в	1	5
204	в высшей	1	5
205	а между	1	5
206	к которому	1	5
207	того же	1	5
208	крайней мере	1	5
209	тому же	1	5
210	в чем	3	5
211	однако в	1	5
212	бы его	1	5
213	один из	1	5
214	о своей	1	5
215	героев и	1	5
216	вместе с	2	5
217	по крайней	1	5
218	но у	1	5
219	тотчас же	1	5
220	том же	2	5
221	в ее	1	5
222	поэтому он	1	5
