N	2gram	Voloshinov	VeschiIm
1	не есть	2	79
2	и не	14	57
3	не только	28	48
4	то что	9	48
5	не может	13	46
6	и в	42	45
7	вещи и	1	40
8	и есть	1	40
9	может быть	13	39
10	а не	7	37
11	что я	1	26
12	потому что	7	25
13	не просто	4	24
14	было бы	7	24
15	только в	7	23
16	по себе	1	23
17	в себе	10	23
18	сказать что	3	22
19	и что	1	22
20	как бы	30	20
21	что такое	4	20
22	и следовательно	5	20
23	что это	4	19
24	что же	8	19
25	но и	16	19
26	в этом	10	18
27	все же	9	18
28	так как	8	17
29	что мы	11	17
30	прежде всего	22	17
31	и это	8	17
32	есть не	2	17
33	таким образом	8	16
34	того что	4	16
35	как раз	1	16
36	от всего	1	15
37	как и	12	15
38	уже не	4	15
39	в том	3	15
40	в ней	8	15
41	имя и	1	15
42	но это	2	14
43	и то	5	14
44	не в	6	14
45	в самом	5	13
46	не будет	3	13
47	том что	3	13
48	и больше	2	13
49	и для	3	13
50	это и	1	13
51	в себя	1	13
52	что в	1	12
53	и с	5	12
54	вещи как	1	12
55	то же	16	12
56	и даже	3	12
57	о том	4	12
58	еще не	3	12
59	не что	4	12
60	если мы	4	12
61	точки зрения	11	12
62	но если	1	12
63	ничего не	8	12
64	что иное	2	12
65	не значит	1	12
66	совершенно не	3	12
67	что и	3	12
68	и как	10	12
69	если она	1	12
70	иное как	2	12
71	и их	5	11
72	содержит в	1	11
73	не менее	1	11
74	себя в	4	11
75	и пр	4	11
76	общение с	1	11
77	еще и	2	11
78	тем не	1	11
79	ни в	1	11
80	вовсе не	2	11
81	также и	2	11
82	в то	9	11
83	по крайней	1	10
84	в чем	1	10
85	крайней мере	1	10
86	что оно	3	10
87	ясно что	2	10
88	я и	2	9
89	с ним	2	9
90	в результате	1	9
91	со стороны	1	9
92	бы и	2	9
93	хотя бы	18	9
94	как вещь	1	9
95	говорить о	1	9
96	в своем	1	9
97	должно быть	2	9
98	это не	3	9
99	у нас	4	9
100	есть явление	1	9
101	но что	3	9
102	бы в	6	9
103	она не	1	9
104	другими словами	7	9
105	так что	1	9
106	но не	2	9
107	на то	1	9
108	и его	7	9
109	как с	2	8
110	если бы	4	8
