N	2gram	Losev_Vesc	ViktorSh
1	в книге	1	3
2	конце концов	2	2
3	в конце	3	2
4	и в	44	2
5	в том	15	2
6	том что	13	2
7	в другом	3	1
8	все время	1	1
9	но это	14	1
10	одно и	6	1
11	том же	1	1
12	по существу	3	1
13	ведь это	1	1
14	главным образом	3	1
15	в самом	13	1
16	как же	6	1
17	в теории	1	1
18	более к	1	1
19	что слово	1	1
20	а только	3	1
21	от других	1	1
22	именно в	2	1
23	все то	2	1
24	ни к	3	1
25	имеется в	1	1
26	другое дело	2	1
27	самом деле	7	1
28	вещь и	18	1
29	и составляет	1	1
30	но разве	1	1
31	ясно что	10	1
32	с большой	1	1
33	в частности	3	1
34	и то	14	1
35	так в	1	1
36	крайней мере	10	1
37	и заключается	1	1
38	не хочу	1	1
39	этом и	2	1
40	достаточно но	1	1
41	стоит на	1	1
42	и его	4	1
43	сводится к	4	1
44	даже не	8	1
45	к чему	2	1
46	бы уже	1	1
47	на одном	1	1
48	хотя бы	9	1
49	сказать чтобы	1	1
50	по поводу	1	1
51	далеко не	2	1
52	тем более	3	1
53	по крайней	10	1
54	в которых	1	1
55	к этому	2	1
56	только в	23	1
57	одном и	2	1
58	потому что	25	1
59	ничуть не	1	1
60	в их	4	1
61	все дело	1	1
62	и только	11	1
63	то же	12	1
64	чего не	2	1
65	я занимаюсь	2	1
66	и том	1	1
67	и не	57	1
68	гораздо более	2	1
69	я не	7	1
70	дело в	6	1
71	да и	5	1
72	в этом	17	1
73	так как	17	1
74	все это	7	1
75	совершенно ясно	2	1
