N	3gram	Voloshinov	Problema
1	тем не менее	4	56
2	о том что	3	39
3	в том что	9	37
4	и т д	1	33
5	то же самое	2	30
6	вовсе не есть	1	30
7	в настоящее время	1	30
8	в данном случае	4	28
9	той или иной	1	26
10	по крайней мере	1	26
11	во всяком случае	8	25
12	с точки зрения	15	25
13	в таком случае	4	23
14	в конце концов	2	23
15	сам по себе	4	21
16	в этом смысле	2	19
17	ни в каком	2	18
18	как раз и	2	18
19	для того чтобы	3	17
20	в то же	6	17
21	и тем не	2	15
22	то что мы	2	15
23	как будто бы	1	14
24	до сих пор	3	14
25	не что иное	1	14
26	что иное как	1	14
27	в этом случае	1	14
28	ничего общего с	1	13
29	того или иного	1	13
30	и вовсе не	1	13
31	на самом деле	4	13
32	можно было бы	1	13
33	не может быть	14	12
34	но даже и	1	12
35	в каком случае	2	12
36	можно сказать что	5	12
37	в то время	1	12
38	дело в том	1	11
39	есть не что	1	11
40	или по крайней	1	11
41	бы то ни	3	11
42	с одной стороны	2	11
43	по своему содержанию	2	10
44	не только не	1	10
45	даже и не	1	10
46	вовсе не является	1	10
47	только то что	3	10
48	каком случае не	1	9
49	и ни в	2	9
50	не есть только	1	9
51	что же касается	3	9
52	может быть и	6	9
53	самом же деле	2	8
54	на самом же	2	8
55	что же такое	2	8
56	это вовсе не	4	8
57	заключается в том	2	8
58	мы не будем	1	8
59	а может быть	1	7
60	чем иным как	2	7
61	но и в	1	7
62	может быть даже	1	7
63	имеется в виду	1	7
64	то или иное	2	7
65	с самого начала	5	7
66	не чем иным	2	7
67	иметь в виду	1	7
68	мы находим в	1	7
69	хотя и не	1	7
70	это и есть	2	7
71	только потому что	1	7
72	тот или иной	1	7
73	в самом деле	10	6
74	и то же	1	6
75	так и в	3	6
76	и только в	1	6
77	ни в какой	2	6
78	то ни было	2	6
79	на первый план	4	6
80	есть прежде всего	1	6
81	на первый взгляд	1	6
82	в этом отношении	4	6
83	ни в каких	1	5
84	в собственном смысле	3	5
85	хотя бы и	2	5
86	в чем не	4	5
87	а также и	2	5
