N	2gram	Tiupa_Vved	KulturaY
1	и в	23	84
2	в том	21	74
3	потому что	7	68
4	не только	32	60
5	точки зрения	1	59
6	в этом	27	57
7	было бы	4	53
8	и не	24	52
9	может быть	25	47
10	что в	6	44
11	том что	16	44
12	того чтобы	2	44
13	в самом	6	41
14	для того	1	41
15	у нас	4	38
16	хотя бы	2	37
17	самом деле	6	37
18	в области	5	34
19	таким образом	6	33
20	а не	31	33
21	если бы	10	32
22	можно было	2	32
23	не в	12	30
24	в его	9	30
25	прежде всего	11	30
26	все же	10	29
27	не менее	4	28
28	того что	7	28
29	все эти	1	28
30	уже не	7	26
31	в силу	2	26
32	то что	9	25
33	русского языка	1	25
34	вовсе не	1	25
35	не может	14	25
36	с другой	10	24
37	еще не	8	24
38	то же	8	23
39	с помощью	1	23
40	только в	9	23
41	так и	14	23
42	тем не	3	21
43	по себе	2	20
44	во всяком	3	20
45	и что	2	20
46	но и	31	20
47	тем что	2	19
48	о том	7	19
49	что он	2	19
50	зависимости от	1	19
51	что же	6	19
52	всяком случае	3	19
53	но в	14	19
54	и с	2	18
55	с тем	1	18
56	к тому	9	18
57	в сущности	3	18
58	в качестве	18	18
59	связи с	2	18
60	между тем	3	18
61	вместе с	2	18
62	как бы	8	18
63	все это	3	18
64	в той	5	17
65	другой стороны	3	17
66	как это	2	17
67	что это	2	17
68	слова и	3	17
69	как раз	5	17
70	это не	7	17
71	в виду	3	16
72	в зависимости	1	16
73	что и	6	16
74	что не	2	16
75	тот же	1	16
76	ничего не	3	16
77	но не	9	16
78	при этом	43	15
79	именно в	1	15
80	в данном	22	15
81	в нашем	9	15
82	том чтобы	2	15
83	не было	5	15
84	и тем	3	15
85	один из	3	15
86	по отношению	11	15
87	ни к	3	15
88	целый ряд	2	15
89	только потому	1	15
90	того как	1	15
91	а в	15	15
92	лишь в	4	15
93	в них	4	14
94	и на	5	14
95	сказать что	1	14
96	хотя и	10	14
97	что такое	23	14
98	в связи	1	14
99	в ней	5	14
100	если мы	1	14
101	как мы	5	14
102	мы имеем	8	14
103	также и	6	14
104	отношению к	11	14
105	что она	2	13
106	крайней мере	1	13
107	между прочим	1	13
108	в этой	2	13
109	там где	1	13
110	не случайно	1	13
111	не могут	1	13
112	в которых	2	13
113	по крайней	1	13
114	той же	3	13
115	для нас	4	13
116	это и	1	13
117	слово это	2	13
118	в пределах	3	13
119	и его	9	13
120	говорить о	5	12
121	в результате	5	12
122	но также	2	12
123	того же	1	12
124	ясно что	2	12
125	а только	3	12
126	могут быть	5	12
127	как в	8	12
128	однако не	2	12
129	в рамках	5	12
130	для этого	2	12
131	те же	2	11
132	язык как	2	11
133	должен быть	3	11
134	языка как	1	11
135	в своем	9	11
136	на себе	1	11
137	речи и	1	11
138	он не	6	11
139	в нем	9	11
140	и здесь	2	11
141	должна быть	3	11
142	и то	1	11
143	еще и	2	11
144	совершенно не	2	11
145	из этих	5	11
146	и если	1	11
147	этом отношении	7	11
148	уже в	2	11
149	слова в	3	11
150	в их	2	11
151	в какой	4	11
152	или иной	5	11
153	в особенности	3	10
154	в первом	3	10
155	в речи	3	10
156	как и	21	10
157	речь идет	3	10
158	так же	2	10
159	к этому	3	10
160	несмотря на	2	10
161	бы в	4	10
162	этом смысле	1	10
163	не просто	2	10
164	в то	5	10
165	со стороны	15	10
166	они не	3	10
167	бы и	4	10
168	на фоне	3	10
169	тем более	3	10
170	того или	1	10
171	тех же	2	10
172	в нашей	1	10
173	тем самым	6	10
174	в своей	10	9
175	можно сказать	6	9
176	что все	1	9
177	но для	1	9
178	очевидно что	2	9
179	здесь не	2	9
180	и есть	2	9
181	или иного	1	9
182	не имеет	3	9
183	что мы	2	9
184	подобного рода	3	9
185	но это	4	9
186	и для	8	9
187	и вот	3	9
188	этого рода	1	9
189	а также	12	9
190	ли не	2	9
191	на то	3	9
192	в целом	4	9
193	своего рода	20	8
194	в этих	5	8
195	может служить	4	8
196	на практике	1	8
197	в структуре	1	8
198	что они	2	8
199	с одной	9	8
200	тому же	6	8
201	в таком	2	8
202	тому что	2	8
