N	4gram	Bakhtin_sl	Komedia
1	в то же время	15	16
2	в то время как	2	9
3	бы то ни было	1	7
4	в том что он	1	4
5	ни в чем не	1	3
6	в том числе и	1	3
7	до сих пор не	2	3
8	с этой точки зрения	1	2
9	с одной стороны и	2	2
10	в том что в	1	2
11	и в то же	6	2
12	мы имеем в виду	1	2
13	то же время он	1	1
14	и в этом случае	2	1
15	в этом случае в	1	1
16	и т п не	1	1
17	несколько иначе обстоит дело	1	1
18	не с точки зрения	1	1
19	с точки зрения самого	2	1
20	от которого он в	1	1
21	при всем различии в	1	1
22	и т п в	2	1
23	сложнее обстоит дело с	1	1
24	тем не менее в	1	1
25	в пределах того же	4	1
26	в целом ряде случаев	1	1
27	в большинстве случаев не	1	1
28	не выходят за пределы	1	1
