N	3gram	Bakhtin_sl	UchenyiS
1	не может быть	11	4
2	то ни было	1	3
3	с другой стороны	5	3
4	бы то ни	1	3
5	в то же	15	3
6	то же время	15	3
7	на каждом шагу	2	2
8	в том что	4	2
9	в противном случае	1	2
10	не могут быть	3	2
11	до сих пор	4	2
12	хотя бы и	5	2
13	тех или иных	1	2
14	и в частности	1	2
15	а между тем	2	2
16	в этом отношении	2	2
17	по крайней мере	1	2
18	он может быть	1	1
19	в эстетический объект	1	1
20	у стерна у	1	1
21	в которой все	1	1
22	у нас в	1	1
23	имеем в виду	1	1
24	друг с другом	2	1
25	ссылка на то	1	1
26	язык в его	1	1
27	так или иначе	1	1
28	на своем месте	1	1
29	сводится именно к	2	1
30	в широком смысле	3	1
31	не входит в	1	1
32	но в то	6	1
33	для всех этих	1	1
34	никогда не может	2	1
35	таким образом на	2	1
36	но по существу	2	1
37	по себе еще	1	1
38	большей или меньшей	5	1
39	к проблеме художественного	1	1
40	с одной стороны	7	1
41	но прежде всего	1	1
42	и с другой	2	1
43	его и в	1	1
44	можно сказать что	1	1
45	равно как и	1	1
46	конечно не в	1	1
47	это не только	1	1
48	на первый план	1	1
49	или меньшей степени	3	1
50	а не только	1	1
51	на то что	1	1
52	не только в	3	1
53	и прежде всего	1	1
54	более или менее	5	1
55	и в то	6	1
56	но это не	1	1
57	в данном случае	3	1
58	входит в эстетический	1	1
59	мы имеем в	1	1
60	в точном смысле	1	1
61	в этом случае	4	1
62	в большей или	3	1
63	все они в	1	1
64	он в той	1	1
65	но конечно не	1	1
66	это было бы	1	1
67	конечно не приходится	1	1
