N	2gram	Tiupa_Narr	Myshleni
1	в том	18	195
2	внутренней речи	1	191
3	в этом	17	167
4	то что	11	166
5	и в	19	162
6	том что	14	161
7	в развитии	1	151
8	таким образом	1	147
9	точки зрения	10	143
10	что в	3	119
11	не только	32	116
12	того что	2	109
13	в процессе	1	101
14	так же	2	100
15	речи и	1	99
16	потому что	1	95
17	может быть	25	89
18	с точки	2	89
19	что он	6	86
20	не может	10	81
21	как и	7	79
22	и не	20	78
23	только в	4	75
24	в целом	1	74
25	как мы	3	72
26	но и	23	70
27	в его	9	67
28	сказать что	4	65
29	как бы	4	64
30	представляет собой	13	60
31	было бы	4	60
32	в качестве	21	60
33	то же	4	58
34	в основе	5	58
35	могли бы	1	54
36	между собой	2	53
37	в силу	4	53
38	что мы	2	53
39	в самом	1	52
40	в сущности	3	51
41	к тому	7	49
42	что они	3	48
43	тем что	3	48
44	мы можем	1	48
45	мы не	1	47
46	если бы	1	46
47	по отношению	7	45
48	но не	6	45
49	с другой	8	45
50	в мышлении	1	44
51	же как	3	43
52	тем самым	6	43
53	как это	6	42
54	отношению к	6	42
55	в ходе	1	41
56	не является	8	41
57	о том	6	40
58	по своей	3	40
59	одной стороны	7	40
60	никогда не	3	39
61	с одной	7	39
62	так и	9	39
63	мы видели	1	38
64	в области	2	38
65	и к	1	37
66	не в	14	37
67	в этой	5	37
68	в своем	2	36
69	все эти	2	36
70	как в	7	36
71	а не	12	36
72	и его	5	36
73	того же	1	35
74	с другом	1	35
75	можно было	2	35
76	в себе	8	35
77	и т.д	7	35
78	друг с	1	35
79	он не	3	35
80	для себя	1	35
81	связи с	4	34
82	и как	5	34
83	приводит к	2	34
84	прежде всего	4	33
85	при этом	9	33
86	по себе	5	33
87	именно в	6	32
88	и на	3	32
89	что оно	1	32
90	по своему	1	32
91	же самое	1	32
92	что и	1	32
93	и тем	4	32
94	но в	6	32
95	все же	7	31
96	и то	1	31
97	мысли и	1	30
98	этом отношении	3	30
99	этого слова	2	29
100	между тем	3	29
101	и развития	1	29
102	как известно	2	29
103	могут быть	3	29
104	от того	1	29
105	самом деле	2	28
106	переход от	4	28
107	с этой	1	27
108	в результате	2	27
109	другой стороны	4	27
110	в то	3	27
111	и с	4	27
112	что все	1	27
113	речи но	1	27
114	перед нами	4	27
115	в их	1	26
116	в собственном	2	26
117	что это	3	26
118	для него	2	26
119	в частности	14	26
120	в чем	1	25
121	еще не	7	25
122	уже в	3	25
123	можно сказать	5	25
124	мы уже	1	25
125	это не	2	25
