N	3gram	Tiupa_Hudo	Problemy
1	то же время	11	26
2	в то же	11	26
3	с точки зрения	5	25
4	по отношению к	15	18
5	и т п	10	18
6	к себе самому	2	18
7	в этом смысле	1	16
8	на самом деле	1	15
9	не может быть	5	14
10	с самим собою	1	14
11	на чужое слово	1	13
12	но в то	3	11
13	в конце концов	1	11
14	в пределах одного	1	11
15	до сих пор	3	10
16	в самом деле	5	9
17	с другой стороны	1	9
18	с самого начала	1	9
19	с самим собой	1	9
20	во всяком случае	1	9
21	в том что	15	8
22	друг с другом	1	8
23	и в то	2	7
24	как раз и	1	7
25	бы то ни	1	7
26	и т д	5	7
27	как бы в	2	7
28	мы уже говорили	1	7
29	и в этом	3	7
30	же время не	1	6
31	себе самому и	1	6
32	между тем как	1	6
33	в отличие от	1	6
34	к чужому слову	1	6
35	как и все	1	6
36	том что он	1	6
37	хотя бы и	1	5
38	в высшей степени	1	5
39	той или иной	1	5
40	а не как	1	5
41	но все же	2	5
42	подобно тому как	4	5
43	можно было бы	5	5
44	с другим и	1	4
45	к тому чтобы	1	4
46	тем не менее	6	4
47	сами по себе	1	4
48	так и в	1	4
49	именно потому что	1	4
50	а между тем	3	4
51	более или менее	1	4
52	как нам кажется	1	4
53	то что было	2	4
54	о том что	14	4
55	как и в	5	4
56	зрения на мир	1	4
57	в этом отношении	4	4
58	самому и к	1	4
59	для него в	1	3
60	что она не	2	3
61	можно сказать что	1	3
62	в художественном мире	2	3
63	но при этом	3	3
64	в настоящее время	1	3
65	каждый из них	1	3
66	отношению к чужому	1	3
67	и к другому	1	3
68	в данном случае	3	3
69	и в других	1	3
70	они уже не	1	3
71	не только не	3	3
72	того что он	1	3
73	в том и	1	3
74	на то что	2	3
75	никогда не бывает	1	3
76	как мы знаем	1	3
77	и в самом	4	3
78	того и другого	1	3
79	все же не	2	3
80	в узком смысле	1	3
81	и это не	2	3
82	в этом случае	1	3
83	то что я	2	3
84	что он не	3	2
85	в сущности в	1	2
86	в письме к	1	2
87	как будто бы	3	2
88	перед его глазами	1	2
89	т е все	1	2
90	для того чтобы	2	2
91	как впрочем и	1	2
92	в свою очередь	1	2
93	дело в том	1	2
94	но тем не	2	2
95	перед нами в	1	2
96	ни одного слова	1	2
97	у него в	1	2
98	друг от друга	2	2
99	в такой же	2	2
100	между этими двумя	1	2
101	не согласиться с	2	2
102	в чем не	1	2
103	в столкновение с	2	2
104	в нем не	1	2
105	и по отношению	1	2
106	о том же	1	2
107	но в этом	1	2
108	самим по себе	1	2
109	а не в	1	2
110	то же самое	3	2
111	к тому что	8	2
112	не укладывается в	1	2
113	т п все	1	2
114	в одном из	1	2
115	рядом с собой	2	2
116	диалог в сущности	1	2
117	человека и его	1	2
118	сводится к тому	1	2
119	этой точки зрения	1	2
120	что же касается	2	2
121	в значительной степени	3	2
122	я не могу	1	2
123	и та же	1	2
124	в этом произведении	1	2
125	не только в	4	2
126	ибо в нем	1	2
127	к той же	1	2
128	же как и	2	2
129	приходит в столкновение	1	2
130	одна и та	1	2
131	в себе и	1	2
132	прежде всего в	1	2
133	ни в чем	1	2
134	но с другой	1	2
135	а не о	1	2
136	так же как	2	1
137	обойтись без другого	1	1
138	это в высшей	1	1
139	как она есть	1	1
140	в этот момент	1	1
141	и в жизни	1	1
142	одной стороны и	1	1
143	а они все	1	1
144	тому как он	1	1
145	по себе а	1	1
146	на вопрос что	1	1
147	о том как	4	1
148	отношения между ними	1	1
149	до известной степени	1	1
150	на себя роли	1	1
151	в ком не	1	1
152	в том числе	1	1
153	не в духе	2	1
154	же ты меня	1	1
155	самом деле в	2	1
156	что и от	1	1
157	не о нем	1	1
158	раз в жизни	1	1
159	заключает в себе	1	1
160	духе а в	1	1
