N	4gram	Vygotskiy_	VerxiiNi
1	бы то ни было	1	2
2	и для того чтобы	1	2
3	с этой точки зрения	3	2
4	мы должны признать что	2	2
5	в то же время	1	2
6	но вместе с тем	1	2
7	на них как на	1	1
8	состоит в том что	2	1
9	вместе с тем и	1	1
10	указывает на то что	3	1
11	до сих пор не	1	1
12	то же самое происходит	1	1
13	по ложному пути и	1	1
14	с точки зрения того	1	1
15	с психологической точки зрения	2	1
16	борющихся друг с другом	1	1
17	одного и того же	2	1
18	а с другой стороны	3	1
19	но совершенно ясно что	1	1
20	в самом деле если	2	1
21	в том или ином	1	1
22	один и тот же	1	1
