N	3gram	Tiupa_Narr	Mirosoze
1	не может быть	5	28
2	в том что	8	9
3	а не в	2	9
4	о том что	6	6
5	есть прежде всего	1	6
6	до сих пор	1	5
7	прежде всего в	1	5
8	может быть и	1	5
9	по отношению к	6	4
10	никогда не было	1	4
11	не мог бы	1	4
12	не что иное	2	4
13	можно было бы	2	4
14	что иное как	2	4
15	он уже не	1	3
16	как бы не	1	3
17	том что он	1	3
18	есть не что	1	3
19	не может не	2	3
20	а не только	1	3
21	но это не	1	3
22	и у нас	1	3
23	в мире и	1	3
24	и быть может	1	3
25	и не было	1	3
26	так же как	2	3
27	в значительной степени	2	3
28	же как и	1	3
29	на протяжении всего	1	3
30	как и в	1	3
31	не только в	2	2
32	он не может	1	2
33	том что в	1	2
34	в нем не	1	2
35	в мире не	1	2
36	никогда не бывает	1	2
37	так и не	2	2
38	к тому чтобы	1	2
39	подобно тому как	2	2
40	все равно что	1	2
41	по своей природе	1	2
42	в этом отношении	3	2
43	может быть художественно	1	1
44	мере в какой	1	1
45	как и на	2	1
46	бы он ни	1	1
47	того что существует	1	1
48	в той мере	1	1
49	во всех его	1	1
50	он ни был	1	1
51	что нет у	2	1
52	мог бы быть	2	1
53	в самом деле	1	1
54	вместить в себя	1	1
55	нет у него	2	1
56	ни с чем	1	1
57	он видит в	1	1
58	всю свою жизнь	1	1
59	сам по себе	1	1
60	друг с другом	1	1
61	в себе самом	1	1
62	и должна быть	1	1
63	свободного выбора в	1	1
64	речь идет о	2	1
65	и тем самым	3	1
66	в отличие от	5	1
67	той мере в	1	1
68	не только о	2	1
69	том что оно	1	1
70	не имеет для	1	1
71	с другой стороны	4	1
72	могли бы быть	1	1
73	должна быть признана	1	1
74	в чистом виде	1	1
75	и не быть	1	1
76	в другом и	1	1
77	они в сущности	1	1
78	той или иной	4	1
79	между людьми и	1	1
80	и как бы	1	1
81	но не может	1	1
82	это не так	1	1
83	с точки зрения	2	1
84	а не как	1	1
85	а иногда и	1	1
86	и не в	4	1
87	в мышлении и	1	1
88	в то же	3	1
89	ни на что	1	1
90	отношению к нему	1	1
91	все те же	4	1
92	то же время	3	1
93	на самом деле	1	1
94	все та же	2	1
95	она все же	1	1
96	на что не	1	1
97	только потому что	1	1
98	несет в себе	1	1
99	он не мог	1	1
100	и не то	1	1
101	она может быть	1	1
102	но и там	1	1
103	с одной стороны	7	1
104	то есть к	1	1
105	что это за	1	1
106	у нас нет	1	1
